feature,iraf_score,spearman_rho,p_value,source
fas2_pelvis_descent,iraf_total,-0.2848484848484848,0.4250381548921454,Pose
shoulder_asym,iraf_rörelseutförande,-0.2795894086082415,0.4340066161459318,Pose
peak_trunk_angular_velocity,iraf_rörelseutförande,-0.2795894086082415,0.4340066161459318,Pose
delta_hip_angle,iraf_utgångsposition,0.2735574946560291,0.4443991414688369,Pose
fas2_rms_pelvis_acc_y,iraf_utgångsposition,0.2735574946560291,0.4443991414688369,Pose
fas2_pelvis_descent,iraf_utgångsposition,-0.2674784392192283,0.4549860079540272,Pose
hip_descent,iraf_rörelseutförande,0.2671632126700974,0.4555380499252239,Pose
mean_head_trunk_angle,iraf_rörelsestart,0.2659080117391552,0.4577392042902286,Pose
rms_trunk_acceleration,iraf_rörelsestart,0.2659080117391552,0.4577392042902286,Pose
fas1_phase_duration,iraf_rörelsestart,-0.2659080117391552,0.4577392042902286,Pose
fas1_mean_knee_forward,iraf_rörelsestart,-0.2659080117391552,0.4577392042902286,Pose
max_trunk_angle,iraf_utgångsposition,-0.2613993837824278,0.4656847063864629,Pose
movement_duration,iraf_total,-0.2606060606060606,0.4670890543863402,Pose
fas2_knee_asym,iraf_rörelseutförande,-0.2547370167319533,0.4775363187873832,Pose
hip_descent,iraf_utgångsposition,-0.2492412729088265,0.4874104156153496,Pose
ROM_hip,iraf_utgångsposition,-0.2492412729088265,0.4874104156153496,Pose
fas2_rms_pelvis_acc_y,iraf_total,0.2484848484848484,0.4887763045192432,Pose
rms_trunk_acceleration,iraf_rörelseutförande,0.2423108207938092,0.4999859485037207,Pose
mean_left_knee_angle,iraf_utgångsposition,-0.2310041065984245,0.5207915330258044,Pose
stance_width,iraf_rörelseutförande,0.2298846248556651,0.5228706119592921,Pose
fas2_phase_duration,iraf_rörelsestart,-0.2286149784296062,0.5252326782870405,Pose
fas2_knee_asym,iraf_utgångsposition,0.2249250511616238,0.5321220586935935,Pose
fas1_delta_knee_forward,iraf_total,-0.2242424242424242,0.5334005612725947,Pose
shoulder_asym,iraf_total,-0.2242424242424242,0.5334005612725947,Pose
ROM_knee,iraf_utgångsposition,-0.2188459957248232,0.5435509174040242,Pose
fas1_ROM_knee,iraf_rörelseutförande,0.2174584289175211,0.5461731613903026,Pose
stance_to_hip_ratio,iraf_utgångsposition,-0.2066878848512219,0.5666951380068742,Pose
fas1_knee_asym,iraf_rörelseutförande,-0.205032232979377,0.5698756620265363,Pose
fas1_peak_pelvis_velocity_y,iraf_rörelseutförande,0.205032232979377,0.5698756620265363,Pose
rms_trunk_acceleration,iraf_total,0.1999999999999999,0.5795840000000002,Pose
fas2_phase_duration,iraf_total,-0.1945297739776207,0.5902067758594245,Pose
mean_right_knee_angle,iraf_rörelsestart,-0.1899342940993965,0.5991855935510639,Pose
movement_duration,iraf_rörelsestart,-0.1899342940993965,0.5991855935510639,Pose
fas2_pelvis_descent,iraf_rörelsestart,-0.1899342940993965,0.5991855935510639,Pose
fas2_rms_wrist_acceleration,iraf_rörelsestart,-0.1899342940993965,0.5991855935510639,Pose
fas1_delta_trunk_angle,iraf_rörelsestart,-0.1899342940993965,0.5991855935510639,Pose
delta_knee_angle,iraf_rörelsestart,-0.1899342940993965,0.5991855935510639,Pose
fas1_mean_knee_forward,iraf_total,0.1878787878787878,0.6032176100292089,Pose
knee_asym,iraf_utgångsposition,-0.1823716631040193,0.6140677514955036,Pose
stance_to_hip_ratio,iraf_rörelseutförande,0.1801798411030889,0.6184050539149766,Pose
fas1_rms_pelvis_acc_y,iraf_rörelseutförande,-0.1801798411030889,0.6184050539149766,Pose
fas2_knee_asym,iraf_total,-0.1757575757575757,0.6271883447764846,Pose
mean_trunk_angular_velocity,iraf_utgångsposition,-0.1702135522304181,0.6382593583672792,Pose
delta_hip_angle,iraf_total,0.1636363636363636,0.6514773427962428,Pose
fas1_knee_asym,iraf_total,-0.1636363636363636,0.6514773427962428,Pose
knee_asym,iraf_total,-0.1636363636363636,0.6514773427962428,Pose
hip_backward_displacement,iraf_utgångsposition,0.1580554413568168,0.6627622972444479,Pose
movement_duration,iraf_utgångsposition,-0.1580554413568168,0.6627622972444479,Pose
mean_head_trunk_angle,iraf_utgångsposition,-0.1458973304832155,0.6875567115411833,Pose
mean_right_knee_angle,iraf_utgångsposition,0.1458973304832155,0.6875567115411833,Pose
ROM_knee,iraf_rörelseutförande,0.1429012532886567,0.6937091361016313,Pose
fas2_rms_wrist_acceleration,iraf_utgångsposition,0.1337392196096141,0.7126222235089889,Pose
trunk_hip_correlation,iraf_rörelseutförande,0.1304750573505126,0.7193952011576737,Pose
hip_asym,iraf_rörelseutförande,-0.1304750573505126,0.7193952011576737,Pose
fas1_ROM_knee,iraf_utgångsposition,-0.1276601641728135,0.7252501396569363,Pose
fas1_ROM_knee,iraf_total,0.1272727272727272,0.7260570147627894,Pose
fas1_peak_pelvis_velocity_y,iraf_utgångsposition,-0.1215811087360129,0.7379379712336097,Pose
fas2_rms_wrist_acceleration,iraf_rörelseutförande,0.1180488614123686,0.745336725577503,Pose
delta_hip_angle,iraf_rörelseutförande,0.1180488614123686,0.745336725577503,Pose
fas2_rms_pelvis_acc_y,iraf_rörelsestart,0.1139605764596379,0.7539236059777022,Pose
fas1_peak_pelvis_velocity_y,iraf_rörelsestart,0.1139605764596379,0.7539236059777022,Pose
stance_width,iraf_rörelsestart,0.1139605764596379,0.7539236059777022,Pose
mean_trunk_angular_velocity,iraf_rörelsestart,-0.1139605764596379,0.7539236059777022,Pose
hip_backward_displacement,iraf_rörelsestart,-0.1139605764596379,0.7539236059777022,Pose
shoulder_asym,iraf_utgångsposition,-0.1033439424256109,0.7763340602409097,Pose
fas1_delta_knee_forward,iraf_utgångsposition,-0.0911858315520096,0.8021812915092663,Pose
trunk_hip_correlation,iraf_total,0.0909090909090908,0.8027717312071619,Pose
fas1_knee_asym,iraf_utgångsposition,0.085106776115209,0.8151715445415288,Pose
fas1_ROM_hip,iraf_utgångsposition,-0.085106776115209,0.8151715445415288,Pose
ROM_hip,iraf_rörelseutförande,-0.0807702735979364,0.8244631856221349,Pose
mean_trunk_angular_velocity,iraf_total,-0.0787878787878787,0.8287173946974606,Pose
hip_descent,iraf_total,0.0787878787878787,0.8287173946974606,Pose
fas2_hip_asym,iraf_utgångsposition,-0.066869609804807,0.8543750609172778,Pose
fas2_rms_wrist_acceleration,iraf_total,0.0666666666666666,0.8548130882487427,Pose
mean_right_knee_angle,iraf_rörelseutförande,0.0559178817216482,0.8780613891997648,Pose
trunk_hip_correlation,iraf_utgångsposition,0.0547114989312058,0.8806762012346145,Pose
mean_head_trunk_angle,iraf_total,0.0545454545454545,0.8810361811618526,Pose
ROM_knee,iraf_total,0.0545454545454545,0.8810361811618526,Pose
fas1_delta_trunk_angle,iraf_rörelseutförande,0.0434916857835042,0.9050416893941632,Pose
fas1_ROM_hip,iraf_rörelseutförande,-0.0434916857835042,0.9050416893941632,Pose
delta_knee_angle,iraf_rörelseutförande,-0.0434916857835042,0.9050416893941632,Pose
mean_head_trunk_angle,iraf_rörelseutförande,0.0434916857835042,0.9050416893941632,Pose
fas1_peak_pelvis_velocity_y,iraf_total,0.0424242424242424,0.907363817812816,Pose
fas1_delta_trunk_angle,iraf_total,0.0424242424242424,0.907363817812816,Pose
stance_to_hip_ratio,iraf_total,-0.0424242424242424,0.907363817812816,Pose
shoulder_asym,iraf_rörelsestart,0.0379868588198793,0.9170235505646718,Pose
delta_hip_angle,iraf_rörelsestart,0.0379868588198793,0.9170235505646718,Pose
stance_to_hip_ratio,iraf_rörelsestart,-0.0379868588198793,0.9170235505646718,Pose
fas1_ROM_hip,iraf_rörelsestart,0.0379868588198793,0.9170235505646718,Pose
peak_trunk_angular_velocity,iraf_rörelsestart,-0.0379868588198793,0.9170235505646718,Pose
ROM_hip,iraf_rörelsestart,0.0379868588198793,0.9170235505646718,Pose
trunk_hip_correlation,iraf_rörelsestart,0.0379868588198793,0.9170235505646718,Pose
knee_asym,iraf_rörelsestart,-0.0379868588198793,0.9170235505646718,Pose
rms_trunk_acceleration,iraf_utgångsposition,-0.0303952771840032,0.9335717251179998,Pose
