feature,iraf_score,spearman_rho,p_value,source
fas2_rms_pelvis_acc,iraf_rörelseutförande,0.7195255713165428,0.0189838986426591,MoLab
fas1_pelvis_lateral,iraf_rörelseutförande,-0.6280604563186774,0.0518412098445685,MoLab
peak_pelvis_gyro,iraf_rörelseutförande,0.5426930156540026,0.1050398937791359,MoLab
initial_trunk_angle,iraf_rörelseutförande,0.725623245649734,0.0175280564883425,Pose
mean_trunk_angle,iraf_rörelseutförande,0.6951348739837788,0.0256465440085638,Pose
fas2_pelvis_backward_displacement,iraf_rörelseutförande,0.6646465023178236,0.0360284612252284,Pose
