video,fas1_delta_trunk_angle,fas1_ROM_trunk,fas1_ROM_hip,fas1_ROM_knee,fas1_mean_knee_forward,fas1_delta_knee_forward,fas1_knee_asym,fas1_rms_pelvis_acc_y,fas1_peak_pelvis_velocity_y,fas2_pelvis_backward_displacement,fas2_pelvis_descent,fas2_rms_pelvis_acc_x,fas2_rms_pelvis_acc_y,fas2_hip_asym,fas2_knee_asym,fas2_rms_wrist_acceleration,fas1_phase_duration,fas2_phase_duration
028,8.668542706331198,19.033069877480465,50.307250327973016,48.06573324201703,-0.11816216170873849,-0.010989419925689692,0.06129153503362419,8.889346883615062,0.48100799322128296,0.006139487028121948,0.0004623830318450928,4.043042316075418,5.158913431881571,0.04476090129773147,0.12026177587678427,40.151242908343576,0.6699999999999999,0.25
030,6.242977333540271,21.496838609477365,52.76948131690455,54.59918746192448,-0.1168877730999037,-0.017088383436203003,0.051019176366022566,4.401270624845287,0.3013595938682556,0.002537548542022705,0.0009995698928833008,0.8234387017256906,1.3631373841007404,0.05944237748638735,0.11512435598250999,17.68913597379126,1.0200000000000014,0.5199999999999996
045,1.693591519942511,16.974693237763386,49.88907888207415,47.463479609920086,-0.07071173085055374,-0.008230879902839633,0.053038903141203075,2.709500429503414,0.25113821029663086,0.013011366128921509,-0.0009993314743041992,2.447803513463265,1.8713230763102877,0.0367854220890482,0.1356897425761943,20.90312928992616,0.7800000000000002,0.5199999999999996
047,13.31435085539231,25.032584488713127,59.78421729428781,46.8482494408637,-0.09352528459553049,-0.006221786141395624,0.07981613552665477,3.7650006972272934,0.290505588054657,0.0071218013763427734,0.001487046480178833,1.227827944891387,1.14120874057142,0.06309932813312173,0.1172405454740186,25.63482151194541,0.9599999999999991,0.5999999999999996
059,10.719535421628867,24.74853230296619,58.692335760844344,47.85620295883981,-0.10281089367928345,-0.001281989239997866,0.08499334965470198,3.0113040349366558,0.27232468128204346,0.0058547258377075195,-0.0042133331298828125,0.8553090714815133,2.0108563678992404,0.0760131781860128,0.13642522668484944,20.60691179245542,1.1899999999999995,0.6900000000000013
061,5.667933152251431,16.884541897394907,46.46235699526808,42.51877796975921,-0.11929749860235932,-0.005448281764984159,0.07938321239576132,2.5598463944962635,0.20908266305923462,0.0015228092670440674,0.005169540643692017,0.8174659297221787,1.5813580015650175,0.06374297277169559,0.16876369830470378,25.884253006474857,1.379999999999999,0.7400000000000002
074,11.679928296526752,13.00063550415261,52.20760061301319,50.223939044959224,-0.13864184367556862,-0.020345405361900354,0.046174744050162156,2.9507460288992524,0.4529133439064026,0.010120302438735962,0.004744231700897217,2.4248902259136274,4.309922028814762,0.048485482912453214,0.0962632182614858,38.13975912254328,0.5800000000000001,0.2600000000000007
076,6.305596092288707,14.254454705300509,54.77016863398634,57.07807255435038,-0.13767746605249495,-0.015486508607864324,0.0693142672019482,3.743399675983544,0.32160431146621704,0.005227714776992798,-0.0007066130638122559,1.3141548807829595,1.705967500699509,0.046978155562034565,0.10462683282152746,18.51575249311985,1.0099999999999998,0.5899999999999999
091,10.395924318669636,11.309687184671388,48.18291231652077,47.17146758476519,-0.08414834587788142,-0.019164562225341797,0.10023495576988214,3.4726876159930216,0.4347577691078186,0.0014395266771316528,-0.0001652836799621582,2.24816394267273,6.444986118550365,0.06179454903668642,0.15991522093540275,116.09288334984788,0.5099999999999998,0.08999999999999986
093,10.354939409059446,17.547024894915296,50.95148759537421,45.826433691194524,-0.08978867273507711,-0.009417951107025091,0.07777388209913724,3.1451332008647226,0.2826601266860962,0.0072084516286849976,0.0033905506134033203,1.1033970526832158,1.7272307037637036,0.07202443394491613,0.17239283629597005,31.53640187640635,0.8900000000000006,0.6600000000000001
