video,ned_initial_trunk_angle,ned_max_trunk_angle,ned_delta_trunk_angle,ned_ROM_trunk,ned_peak_trunk_angular_velocity,ned_mean_trunk_angular_velocity,ned_rms_trunk_acceleration,ned_ROM_hip,ned_ROM_knee,ned_mean_knee_forward,ned_delta_knee_forward,ned_knee_asym,ned_hip_descent,ned_hip_backward_displacement,ned_trunk_hip_correlation,ned_rms_pelvis_acc_y,ned_peak_pelvis_velocity_y,ned_phase_duration
028,0.7229043611899143,20.863578388612375,10.234356159707348,20.14067402742246,97.56484830049637,46.199720520587285,1590.221189219564,56.328556298171165,52.52550495650969,0.11579470844085628,0.09605538700125038,0.05991010759886753,0.1031031079343272,0.041655090937796624,0.7096226634033544,9.097352942925726,0.4865365008093758,0.6699999999999999
030,1.229846698987199,26.408623719334322,10.443120914501716,25.178777020347123,88.5265785978143,42.925748991986794,1027.0545889202308,73.5783451525006,72.04670126833373,0.11362796058939266,0.11421869209666695,0.049752473004944585,0.12090438782551804,0.049504540988010715,0.6741954331201562,5.042858246719895,0.37151523317086044,0.9400000000000013
045,7.381812652650095,25.442978308342386,3.3345687546748755,18.11643948375599,86.21192134874222,42.17732078568859,1204.2282051960851,56.50590969797444,54.26535936377079,0.06838861233451494,0.06488662110404139,0.051443288853656774,0.10558524906130184,0.03438198174386775,0.5636011900061856,2.7152628395640055,0.2702524541725704,0.7800000000000002
047,0.35783550329557307,28.875907795388244,17.265031721254697,28.518072292092672,78.6399725800841,41.75799260005905,926.0199097460511,80.9731071693974,65.10438250385684,0.08560375014745923,0.05321195394510946,0.07090584250497949,0.10594185372463238,0.05778347797932559,0.7942593312302706,4.089962107037337,0.30553102858062453,0.9599999999999991
059,1.2349100697293163,26.290384113054696,11.337036753858996,25.225561095709093,79.32218979391266,34.1277855959797,1009.2935928153449,61.47003985489701,50.07972425250605,0.1018225291523769,0.038031450085336066,0.08415597693746875,0.09497576421507059,0.05393924810153994,0.7081145855756675,3.058849620292026,0.2766337023244414,1.1899999999999995
061,-0.35236389243175,19.291537398964028,9.679922762426907,19.64390129139578,84.68082691806727,21.70924276418156,774.7894956344282,58.31698450135259,50.897366105610786,0.11521383336942567,0.06261031257548973,0.07635995732772073,0.08563141707961264,0.051104028509702526,0.8184962925268827,2.608606718629672,0.21844344919058623,1.379999999999999
074,1.8492969112071649,18.784180546789564,15.463670256683287,16.936641153189857,93.37856826839061,31.95913746893667,765.2508699543392,73.12519094617585,67.60667880227136,0.12791518471069158,0.1350922439881011,0.042422670841998765,0.12085841479890058,0.03762559075487526,0.9184081052209326,3.2438300778333766,0.5105949680613953,0.5800000000000001
076,-1.6366353820326314,18.720199509165415,13.735661551451093,20.356834891198048,84.25169571761266,27.07238253433299,921.5797241317132,81.9692005430276,76.06345929490203,0.12647430106355032,0.10657747494084693,0.06321510205215056,0.11223809086957892,0.0608795213495259,0.9049593241272661,4.131893928189425,0.3529860396959683,1.0099999999999998
091,4.380478581799994,18.219144746752928,12.92289486713527,14.046273828011167,84.46779674675282,30.339305577774127,955.4611917830825,60.113545514060725,56.660574968115576,0.0720827002111844,0.13167933970062654,0.07982239887017675,0.10207533797702051,0.027791544024126535,0.8936721290358991,3.6570717737450207,0.490533840755647,0.5099999999999998
093,-1.5813023776246788,21.45258749966394,17.74672857527598,23.03388987728862,69.4028025480546,33.715537118215785,701.0775376469626,72.44822805440984,58.81608912465818,0.08744096452165548,0.0794517407093282,0.0755657115131981,0.07728876049292355,0.05844914669421408,0.7570208987959037,3.291876621104565,0.32092105071103716,0.8399999999999999
