video,utg_mean_L_knee_flexion,utg_mean_R_knee_flexion,utg_delta_knee_asymmetry,utg_mean_L_hip_flexion,utg_mean_R_hip_flexion,utg_mean_pelvis_tilt,utg_mean_pelvis_lateral,utg_mean_L_ankle_flexion,utg_mean_R_ankle_flexion
028,3.5712378048780486,5.842018292682923,2.270780487804874,-2.068420731707315,2.7779451219512126,7.86498780487805,1.7353719512195123,65.45639634146342,62.94063414634147
030,-1.396426829268297,2.9004085365853625,4.29683536585366,-5.232731707317062,2.8568780487804997,13.207359756097562,2.161932926829268,68.60045731707316,65.65427439024387
045,14.139499999999998,10.412567073170734,3.7269329268292637,27.626536585365855,30.942835365853654,28.430103658536588,1.4805243902439023,73.3045487804878,64.63785975609757
047,-5.9395360772357675,-6.584499745934956,0.6449636686991882,-4.5435444613821225,1.4795373475609939,19.79855411585366,0.6601028963414634,76.0663531504065,69.62921112804877
059,-0.9421920731707321,-5.981426829268285,5.039234756097553,9.914503048780496,10.871103658536594,31.39995121951219,8.204365853658537,72.25185365853659,64.3224512195122
061,1.809319359756095,0.035317835365856975,1.774001524390238,10.191839176829262,12.869922256097563,31.24606097560976,4.207931402439025,75.48350457317073,70.02693445121952
074,10.94214024390243,3.6561707317073164,7.285969512195113,21.75310975609755,21.404140243902436,26.19967682926829,3.286164634146342,74.41137804878049,66.09677439024391
076,-5.145513255567345,-7.046998939554618,1.9014856839872731,0.17180434782609233,1.0341914103923693,24.593241781548247,0.935631495227996,76.87670413573706,70.74219989395547
091,-1.19513414634147,-3.266707317073166,2.0715731707316962,6.962231707317074,12.325871951219511,15.453121951219513,1.9651768292682923,57.23035975609755,52.55873780487806
093,-22.292033697047497,-20.851894736842112,1.4401389602053847,-20.59151251604622,-13.95710173299102,12.787993581514755,0.8817875481386395,67.47344383825418,60.09902310654685
