video,utg_stance_width,utg_stance_to_hip_ratio,utg_mean_left_knee_angle,utg_mean_right_knee_angle,utg_delta_knee_angle,utg_mean_left_hip_angle,utg_mean_right_hip_angle,utg_delta_hip_angle,utg_mean_trunk_angle,utg_mean_head_trunk_angle,utg_shoulder_asym,utg_hip_asym,utg_knee_asym,utg_mean_knee_forward
028,0.1398707995420983,1.181724347672954,2.442299632957088,7.826745454957958,5.38444582200087,0.2809440357424222,4.099882345586977,3.8189383098445546,0.6053467293139354,17.7849677197232,0.00506174676168805,0.005276599434999196,0.04082502650384823,0.04598423006199413
030,0.13935097544051808,0.9225981661704536,0.9239023805255141,0.3361856004099521,0.5991611741208963,-2.3862573954889097,-0.87579272114594,1.5104646743429697,0.6184062590587741,18.523472810578163,0.049119533914480415,0.008634604920162468,0.016711302337973494,0.03734605422470874
045,0.13865377030776094,0.9127681915025537,10.29032380379607,6.757989667932193,3.532334135863877,15.2313046901496,13.529441213454675,1.7018634766949248,7.419510078580481,16.27444948791934,0.0130325700052996,0.008075959618177198,0.0033248533044736295,0.022530416026690675
047,0.15362275666346545,1.0280774617001507,3.9120716080397475,1.2920554443438743,2.620016163695873,-1.2813544575070381,-0.21951811883294367,1.0618363386740945,0.24715317920185007,17.743622806823563,0.005170438267382952,0.01331631821959913,0.017390457591365097,0.04433704030001401
059,0.10704257583283927,0.8091045586048157,2.5877622780542637,6.061001722789591,3.473239444735327,-0.1559719413564551,0.6006189486286786,0.7565908899851337,1.325208688674849,17.169306127854462,0.021489106120756073,0.004035289569074119,0.048370414573385256,0.056549854354654455
061,0.11668938601348702,0.716314970560999,4.286789952382938,5.6629954937380536,1.376205541355116,-2.323249024588433,0.47232588791515795,2.795574912503591,-0.418398813425622,15.436219314302914,0.04700120029496271,0.010720751910679276,0.0441778030763323,0.06229667397211115
074,0.1651773991199013,1.3002544983746551,5.725561437311754,5.464799354761652,0.5595228294648535,4.707124651527394,6.5423999986780785,1.8352753471506844,2.0337031897336812,11.885598909379993,0.01966073618050395,0.003926912426071294,0.05386895777248091,0.0274491857694348
076,0.1086506368250491,0.6721408090205435,1.8392302728788466,-1.3078655244808515,3.147095797359698,-3.8534615845821265,-5.904909662464759,2.051448077882632,-1.5847665774838706,19.34094630989097,0.03795999982810179,0.005002128173513917,0.026140204556656835,0.042737254531789164
091,0.15797736940425477,1.124138903483696,4.444764577513737,2.361564761423537,2.0831998160902003,7.515305450755193,9.383771946663359,1.8684664959081658,4.535947715127296,17.50489429650051,0.006980044094554751,0.013802659951875962,0.03159133529056968,-0.006288581128492623
093,0.10267585038373539,0.8105860929504355,-1.5779500519195835,0.5810987579803872,2.1590488098999705,-6.811531774106747,-4.090628628245796,2.7209031458609503,-1.7086548541238264,20.87787070817636,0.028565607657049418,0.002999316922715565,0.020355815031997876,0.03402556627235946
