video,bak_initial_trunk_angle,bak_delta_trunk_flexion,bak_peak_trunk_angular_velocity,bak_mean_trunk_angular_velocity,bak_rms_trunk_acceleration,bak_ROM_knee,bak_ROM_hip,bak_trunk_hip_correlation,bak_pelvis_backward_displacement,bak_pelvis_descent,bak_rms_pelvis_acc_x,bak_rms_pelvis_acc_y,bak_hip_asym,bak_knee_asym,bak_rms_wrist_acceleration,bak_phase_duration
028,9.871785692834981,3.076077782642014,43.276529673893016,23.853708006333093,1579.1239489008237,7.709078276576626,8.377613603475872,-0.43482039530514244,0.00520812229567319,0.0008231775706690758,4.034713356450618,5.593549838737996,0.11635569128041433,0.11548396596769536,4.809716293995152,0.25
030,11.672967613488915,9.734628780979666,62.87659102647085,18.996908873078333,486.4518082982662,7.65470534907611,7.68721038823184,-0.42258434454164917,5.775784460437805e-05,0.0009084947882955774,0.994701926157502,1.6036798511736348,0.048487590664013196,0.10179791004164634,1.8714674578044703,0.5199999999999996
045,10.71638140732497,12.911742849378088,66.51012896056953,26.65379278334398,794.8872358866206,10.834660442991392,10.207397465773724,-0.3723118971275079,0.011975248177030995,2.7384435810851038e-05,2.4074708032193346,2.124994374518779,0.06721036298165116,0.12862910693291937,1.1868060549704147,0.5199999999999996
047,17.62286722455027,13.838888877436514,48.13397126879693,23.06481479572752,480.9110305696447,10.535766577130097,10.42953328986448,-0.5771480153546656,0.004428366717805998,0.0021460256252154863,1.24547001182772,1.4181371428092069,0.07044559327278045,0.10099520411396518,3.184398942903409,0.5999999999999996
059,11.736176575305882,10.694468772584427,56.224900335659896,16.64719579866276,478.11698950402644,5.481087067242768,10.779787231514199,0.8680376822055507,0.005888699199443126,-0.004132502192631393,0.8640720395945,2.0794588400273457,0.10375516878602396,0.13434613277756924,2.7954031551468246,0.6900000000000013
061,9.327558869995157,9.381732163764744,35.26660483322201,12.804126115037457,340.76196459061293,6.222973997366388,6.057643638870786,-0.9105777958398856,0.0005255817881927305,0.005126412896458765,0.8941685157611329,1.7095782671694366,0.09815505042444408,0.15896548916754813,3.1113479658118104,0.7400000000000002
074,17.312967167890452,2.6878173716028275,39.9324798874483,19.322720920887605,1314.6688968470842,8.708953548805901,8.16363606838889,-0.9778221015357896,0.006629221384951145,0.0071051558587965635,2.9857463615967226,4.734322521574467,0.06032180380432452,0.0821933185445054,4.5582377075033715,0.2600000000000007
076,11.568347883849624,6.742517446252079,52.93055246054226,12.648580509432573,623.9782072394114,5.163314522066962,6.154902074690817,-0.06211797955370422,0.0045249024743223565,-0.0010293763962057056,1.3733540567470297,2.024476128183142,0.061627064822535924,0.08995825907887373,1.7152240050916379,0.5899999999999999
091,17.45645936217915,-0.1730038337964821,8.513915780783243,3.147116474168987,201.49006663804235,2.4812297396198844,1.9975361871921251,0.13832678770825302,0.0013000827992276642,-0.0004436063475701246,1.8287442469877329,6.991901669179016,0.1201154027173356,0.14744484268418775,12.68596981893444,0.08999999999999986
093,16.165426197651303,9.628353374215536,51.403169115224664,15.949536607168925,676.6737205150135,5.398628556027823,5.7598441824846915,-0.9356637529661944,0.006142706928601305,0.004927439211692919,1.3207952405945314,1.7135570019284834,0.13438804074907554,0.15533454401211327,3.5114909118888225,0.6600000000000001
