video,bak_delta_pelvis_tilt,bak_mean_pelvis_gyro,bak_pelvis_lateral,bak_rms_pelvis_acc,bak_peak_pelvis_gyro,bak_ROM_knee,bak_ROM_hip
028,13.929999999999996,53.71061538461539,4.145237335834897,0.4050724531583112,78.379,1.6649999999999991,10.211000000000006
030,17.671,31.230907407407408,4.783305329719963,0.08897721306292103,84.195,2.3355000000000032,12.796999999999997
045,47.214,88.55242592592593,0.7262958446251129,0.7265454154701829,483.498,2.372000000000007,41.5185
047,27.058,42.99841935483872,0.2721542092840284,0.11258709889996134,91.558,1.8495000000000061,24.213500000000003
059,11.999000000000002,18.286557142857145,4.48732299651568,0.4541180935143885,53.218,0.6994999999999933,10.330999999999996
061,21.195999999999998,28.395776315789465,2.826283376123235,0.14753309173841214,101.006,2.7934999999999945,15.527500000000003
074,6.265000000000001,30.143964285714283,0.34834059233449494,0.722165963315517,67.899,4.677499999999995,4.513000000000005
076,20.229,32.14791666666666,0.7683239837398375,0.13388988012542247,50.549,2.1025000000000063,16.829499999999996
091,1.4449999999999932,33.448100000000004,2.0350268292682925,0.9434395052148282,111.864,0.5039999999999978,2.167999999999992
093,17.768,25.601426470588233,0.3805007173601147,0.25027437884426434,79.8,3.538000000000004,11.463500000000003
