video,fas1_ROM_hip,fas1_ROM_knee,fas1_knee_angle_diff,fas1_rms_pelvis_acc,fas1_peak_shank_gyro,fas1_pelvis_lateral,fas1_peak_thigh_gyro,fas2_pelvis_lateral,fas2_rms_pelvis_acc,fas2_peak_pelvis_gyro,fas2_ROM_knee,fas2_ROM_hip
028,91.6405,95.102,2.1902098278335718,0.8077254738934946,62.513,2.747769010043041,208.973,4.145237335834897,0.4050724531583112,78.379,1.6649999999999991,10.211000000000006
030,101.34,99.4285,6.057442776735461,0.3939021012696116,52.528,3.063258677298312,143.262,4.783305329719963,0.08897721306292103,84.195,2.3355000000000032,12.796999999999997
045,82.773,72.4765,2.0524289634146355,0.91104186237516,48.38,0.8680003048780488,113.033,0.7262958446251129,0.7265454154701829,483.498,2.372000000000007,41.5185
047,110.337,88.4585,2.854953210552513,0.4779627258970502,43.476,1.7762974116475856,142.506,0.2721542092840284,0.11258709889996134,91.558,1.8495000000000061,24.213500000000003
059,83.2935,91.86449999999999,7.910259756097555,0.8051956077045295,24.107,6.127615853658537,121.115,4.48732299651568,0.4541180935143885,53.218,0.6994999999999933,10.330999999999996
061,72.67600000000002,87.7675,7.075231881533094,0.3744431007700445,38.507,2.743122473867596,93.232,2.826283376123235,0.14753309173841214,101.006,2.7934999999999945,15.527500000000003
074,94.385,89.874,8.09001951219511,0.8399575782938882,97.647,2.6948146341463417,177.313,0.34834059233449494,0.722165963315517,67.899,4.677499999999995,4.513000000000005
076,104.24849999999999,104.20400000000001,5.398611429937826,0.2807380853197863,53.56,1.4755064562410334,120.934,0.7683239837398375,0.13388988012542247,50.549,2.1025000000000063,16.829499999999996
091,95.619,88.119,1.819812851782367,1.086148957414363,111.899,1.0155037523452155,228.109,2.0350268292682925,0.9434395052148282,111.864,0.5039999999999978,2.167999999999992
093,115.3005,103.10900000000001,1.1783222222222232,0.1888796795140582,55.179,0.9356170731707318,163.081,0.3805007173601147,0.25027437884426434,79.8,3.538000000000004,11.463500000000003
