video,ned_delta_pelvis_tilt,ned_peak_pelvis_gyro,ned_mean_pelvis_gyro,ned_ROM_hip,ned_ROM_knee,ned_knee_angle_diff,ned_rms_pelvis_acc,ned_peak_shank_gyro,ned_pelvis_lateral,ned_peak_thigh_gyro
028,26.281,116.043,70.09961764705882,91.6405,95.102,2.1902098278335718,0.8077254738934946,62.513,2.747769010043041,208.973
030,30.552999999999997,99.878,51.02674999999999,100.458,99.235,6.105303353658537,0.40904591734914064,52.528,3.1306953760162606,143.262
045,32.085,125.708,68.491525,82.773,72.4765,2.0524289634146355,0.91104186237516,48.38,0.8680003048780488,113.033
047,45.217000000000006,108.712,70.20213265306123,110.337,88.4585,2.854953210552513,0.4779627258970502,43.476,1.7762974116475856,142.506
059,26.212,79.373,39.52433333333333,83.2935,91.86449999999999,7.910259756097555,0.8051956077045295,24.107,6.127615853658537,121.115
061,19.385,62.564,26.124100000000002,72.67600000000002,87.7675,7.075231881533094,0.3744431007700445,38.507,2.743122473867596,93.232
074,29.158000000000005,258.384,63.84346666666668,94.385,89.874,8.09001951219511,0.8399575782938882,97.647,2.6948146341463417,177.313
076,27.069,108.315,44.97270588235293,104.24849999999999,104.20400000000001,5.398611429937826,0.2807380853197863,53.56,1.4755064562410334,120.934
091,30.968999999999994,122.634,64.5255576923077,95.619,88.119,1.819812851782367,1.086148957414363,111.899,1.0155037523452155,228.109
093,36.403,101.778,60.44830232558137,112.86699999999999,101.306,1.1772524106636428,0.18853856554475643,55.179,0.9256213840045379,163.081
