video,initial_trunk_angle,max_trunk_angle,delta_trunk_flexion,peak_trunk_angular_velocity,mean_trunk_angular_velocity,rms_trunk_acceleration,ROM_knee,ROM_hip,hip_descent,hip_backward_displacement,trunk_hip_correlation,movement_duration
028,0.722904361190002,20.863578388612385,20.140674027422385,97.5648483004985,40.5458481447499,1624.4085560465714,62.41706554801014,65.50876098610468,0.10612891667990576,0.047107152657090146,0.33112538472836917,0.9199999999999999
030,1.1268771704880625,26.408623719334322,25.28174654884626,88.5265785978178,32.6909504092765,852.4449121238879,79.247011580722,75.53442420286952,0.12185016531912063,0.04967890041895695,0.10116026525483547,1.540000000000001
045,7.381812652650033,25.442978308342393,18.06116565569236,86.21192134874187,35.90352204605242,1079.9428458109737,61.40387203281884,56.50590969797444,0.1056126334971127,0.046357229920898746,-0.2588517991636165,1.2999999999999998
047,0.35783550329496017,28.875907795388237,28.518072292093276,78.63997258008446,34.56830882916271,792.5258744554694,71.17625937819513,81.20478011040535,0.10808787934984787,0.06221184469713159,0.1951535393177231,1.5599999999999987
059,1.2349100697294024,26.29038411305468,25.05547404332528,79.32218979391389,27.886516167356433,849.634977408747,53.72389885016984,61.3467839926811,0.09131815284175249,0.06088579705160346,0.05884261907001054,1.8800000000000008
061,0.35236389242999017,19.291537398964028,18.939173506534036,84.680826918067,18.575638355262406,659.0578332156186,53.837490950114876,57.39072610182159,0.0907578299760714,0.051629610297895256,0.11934912438419529,2.119999999999999
074,1.8492969112070614,18.784180546789564,16.9348836355825,93.37856826839061,28.04786568025482,964.1614025890327,75.64427393429233,80.63192375400146,0.12796357065769715,0.044254812139826405,0.8354077592846697,0.8400000000000007
076,1.6366353820325832,18.72019950916542,17.083564127132835,84.2516957176155,21.757037999951777,832.4340308012216,78.38855645911448,77.18448289449807,0.1117479282456435,0.06627243707869068,0.4376860756985823,1.5999999999999996
091,4.380478581799922,18.21914474675292,13.838666164952999,84.46779674675291,25.9575133667741,881.2875653113077,56.745358159199235,60.35112917288947,0.09979048350693631,0.02936233059601645,0.8994229937343987,0.5999999999999996
093,1.6610178111705056,21.452587499663938,19.791569688493432,69.40280254805735,25.019556085250624,694.1949849702331,62.14039268588408,66.84601646388725,0.08191993481776039,0.06471139073791243,0.3430096398893533,1.5500000000000007
