frame,time,nose_x,nose_y,nose_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence,nose_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated
352,7.04,0.5088281,0.4832685,0.6552734,0.55093396,0.5347809,0.74943227,0.5076542,0.53648335,0.76833636,0.55206275,0.63843757,0.8803286,0.50494903,0.62058127,0.8753568,0.5265559,0.7162657,0.6862326,,,0.48593518,0.558133,0.6747727,0.91163176,0.53051007,0.67077106,0.70829415,0.48759964,0.7158174,0.6221258,0.47283757,0.7044162,0.9241421,0.50221163,0.8559913,0.9065976,0.48080245,0.8381666,0.67883193,False,False,False,False,False,False,False,False,False,False,False,False,False
353,7.06,0.5085299,0.48357692,0.6040708,0.55122244,0.53586847,0.78054816,0.5083482,0.5363212,0.9225365,0.55161583,0.6384546,0.81905264,0.5053024,0.6198025,0.9003093,0.5267818,0.71639687,0.66810787,,,0.40473008,0.5573813,0.6750109,0.8367206,0.52962005,0.6716514,0.7899068,0.4875321,0.716091475,0.57051337,0.47295603,0.7030105,0.90846664,0.50406915,0.8571901,0.9345911,0.48112556,0.83754253,0.66549164,False,False,False,False,False,False,False,False,False,True,False,False,False
354,7.08,0.5094145,0.48248625,0.82965016,0.5504253,0.53472245,0.730872,0.5072284,0.5361013,0.7221104,0.55178714,0.63763165,0.8932447,0.50549525,0.61981493,0.89426595,0.52654324,0.716337826,0.53719795,,,0.4474831,0.5574415,0.67559636,0.91841894,0.5293469,0.6709404,0.766458,0.48746456,0.71636555,0.599929,0.47251034,0.7041245,0.920948,0.5042518,0.8588915,0.9372564,0.48126265,0.8397277,0.68892205,False,False,False,False,False,True,False,False,False,True,False,False,False
355,7.1,0.50918454,0.48288924,0.76032585,0.5503825,0.5354474,0.72788984,0.50785834,0.5366037,0.785428,0.55228955,0.63795775,0.8689239,0.5057994,0.61935425,0.8475481,0.52630468,0.716278782,0.5420558,,,0.44593236,0.5568765,0.6759033,0.9149543,0.5296453,0.6714534,0.7447553,0.48739701999999996,0.716639625,0.59969705,0.47287542,0.70439273,0.91084826,0.5032187,0.85641843,0.7299894,0.48118106,0.8370184,0.76218164,False,False,False,False,False,True,False,False,False,True,False,False,False
356,7.12,0.5088877,0.48308897,0.8057747,0.55012614,0.5348754,0.7137087,0.5075515,0.5366694,0.7751097,0.5522555,0.63861585,0.88650984,0.50564253,0.61958706,0.8746422,0.52606612,0.716219738,0.50610197,,,0.471981,0.5574802,0.67615074,0.9191699,0.5296511,0.67149603,0.7450101,0.48732948,0.7169137,0.6160001,0.4729238,0.70459133,0.91581166,0.5032561,0.8559023,0.74990404,0.48100325,0.83603287,0.77586764,False,False,False,False,False,True,False,False,False,False,False,False,False
357,7.14,0.5091889,0.48326358,0.7614595,0.5506961,0.5349736,0.7509611,0.5076425,0.5366923,0.7811854,0.55204666,0.63788754,0.8770714,0.50544155,0.6194113,0.87483764,0.52582756,0.716160694,0.53435254,,,0.4568216,0.5581325,0.675483,0.9199875,0.53008485,0.67155087,0.7318947,0.48760742,0.7169891,0.6436821,0.47309917,0.70488256,0.9128558,0.50274265,0.85570115,0.64374286,0.48144904,0.83709276,0.74557036,False,False,False,False,False,True,False,False,False,False,False,False,False
358,7.16,0.50869554,0.48401862,0.6678644,0.55082005,0.53476685,0.7238848,0.50781006,0.53672034,0.7679553,0.5517233,0.63795465,0.85639906,0.5052813,0.619314,0.89400333,0.525589,0.71610165,0.67115325,,,0.48523706,0.5586871,0.67482173,0.92517793,0.5302871,0.6707851,0.7322036,0.48748276,0.7169453,0.6088631,0.47303453,0.7037258,0.9233009,0.5034965,0.85739034,0.9346528,0.48150253,0.83860326,0.84143686,False,False,False,False,False,False,False,False,False,False,False,False,False
359,7.18,0.50949764,0.48313814,0.7547294,0.5497228,0.53669864,0.9138702,0.5085468,0.5373277,0.9306919,0.55172235,0.6375904,0.7744503,0.5050367,0.6202656,0.8907105,0.52737224,0.71622425,0.6507904,,,0.44771942,0.557409,0.6750824,0.83334273,0.53003156,0.6727739,0.7801908,0.48751004,0.7169197,0.50210696,0.47274464,0.70336145,0.89039284,0.50436044,0.85883486,0.9230661,0.48140705,0.83834666,0.8518314,False,False,False,False,False,False,False,False,False,True,False,False,False
360,7.2,0.5093562,0.4820227,0.8151193,0.55027884,0.5351588,0.65423954,0.50728387,0.5370445,0.6994058,0.5520449,0.6383011,0.88079,0.50573957,0.6191148,0.9028565,0.526205,0.71709716,0.7211213,,,0.44228882,0.5576861,0.6760707,0.9244375,0.5301258,0.67181015,0.75776064,0.48753732,0.7168941,0.60336983,0.47331256,0.7033098,0.9366395,0.5033498,0.8579514,0.7095585,0.48110512,0.83901405,0.68152344,False,False,False,False,False,False,False,False,False,False,False,False,False
361,7.22,0.509022,0.48312226,0.80402154,0.5503716,0.5341716,0.68634534,0.5074913,0.53635037,0.7583856,0.551556,0.6381394,0.8697681,0.50520426,0.61935073,0.89598304,0.5255175,0.7167426,0.7027074,,,0.46684226,0.5585443,0.674436,0.91469985,0.5316139,0.6704988,0.68407184,0.48774892,0.7163864,0.65169394,0.4731551,0.7040205,0.9318699,0.5031581,0.8586077,0.9344403,0.4805085,0.83951557,0.64597553,False,False,False,False,False,False,False,False,False,False,False,False,False
