movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_1,f1,11,Nacke i neutral cervikallordos,059,1.0
2a_1,f1,11,Nacke i neutral cervikallordos,061,1.0
2a_1,f1,11,Nacke i neutral cervikallordos,074,0.4934
2a_1,f1,11,Nacke i neutral cervikallordos,076,0.7232
2a_1,f1,11,Nacke i neutral cervikallordos,091,0.6679
2a_1,f1,11,Nacke i neutral cervikallordos,093,0.6409
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),028,0.0
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),030,0.0
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),045,0.7115
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),047,0.735
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),059,0.7411
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),061,0.6976
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),074,1.0
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),076,1.0
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),091,0.8712
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),093,0.8196
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),028,0.0
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),030,0.0
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),045,0.5307
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),047,0.4846
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),059,0.4759
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),061,0.4066
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),074,1.0
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),076,0.468
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),091,0.7979
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),093,1.0
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,028,0.0
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,030,0.0
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,045,0.6265
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,047,0.8714
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,059,1.0
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,061,1.0
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,074,0.7762
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,076,0.9888
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,091,0.6399
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,093,0.1288
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,028,0.0
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,030,0.0
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,045,0.5
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,047,0.6667
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,059,0.5
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,061,1.0
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,074,1.0
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,076,0.3333
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,091,0.5
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,093,0.6667
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,028,0.0
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,030,0.0
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,045,0.6101
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,047,0.5728
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,059,0.7408
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,061,0.6621
