movement,phase,aspect_id,video_id,aspect_score,aspect_name
2a_1,f1,11,091,0.0,Nacke i neutral cervikallordos
2a_1,f1,11,030,1.0,Nacke i neutral cervikallordos
2a_1,f1,11,047,0.2277,Nacke i neutral cervikallordos
2a_1,f1,11,061,0.0,Nacke i neutral cervikallordos
2a_1,f1,11,076,0.2768,Nacke i neutral cervikallordos
2a_1,f1,11,093,0.3591,Nacke i neutral cervikallordos
2a_1,f3,1,028,0.7942,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,045,0.2736,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,059,0.1896,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,074,0.1518,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,091,0.7689,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,030,0.6349,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,047,0.753,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,061,0.227,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,076,0.8374,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,1,093,0.0755,Rörelsen utförs med jämt flöde (fluid och smooth)
2a_1,f3,3,028,0.3403,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,045,0.3663,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,059,0.5986,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,074,0.3025,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,091,0.4512,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,030,0.8666,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,047,0.8916,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,061,0.4514,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
