Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
457,"-0,137","0,030","-0,234","-0,080","-0,174","0,025","0,039","0,089","-0,002","-0,070","-0,284","0,032","0,111","-0,099","-0,052","0,029","0,168","-0,072","0,051","-0,188","-0,017"
458,"-0,198","0,013","-0,099","0,040","-0,124","-0,048","-0,040","0,077","-0,308","-0,027","-0,139","-0,089","0,048","-0,141","-0,093","-0,017","0,262","-0,084","0,172","-0,249","-0,080"
459,"-0,015","0,070","-0,119","-0,080","-0,054","0,005","-0,048","0,049","-0,427","0,005","-0,157","0,056","-0,083","-0,013","-0,111","-0,066","0,230","-0,148","0,214","-0,029","-0,033"
460,"-0,198","0,013","-0,099","-0,024","-0,084","-0,177","-0,051","-0,084","-0,457","0,017","-0,101","0,034","-0,137","-0,063","-0,066","-0,170","0,190","-0,048","0,134","-0,001","-0,096"
461,"-0,137","0,013","-0,099","-0,080","0,006","-0,005","-0,176","-0,038","-0,524","-0,012","-0,004","-0,076","-0,146","-0,055","-0,152","-0,257","0,069","-0,038","0,167","0,199","-0,106"
462,"0,046","0,128","-0,139","-0,141","0,007","-0,004","0,014","-0,011","-0,416","0,135","-0,116","0,057","-0,331","0,023","-0,125","-0,410","-0,002","-0,002","0,139","0,216","-0,238"
463,"0,046","0,030","-0,234","0,042","0,126","-0,028","0,078","0,062","-0,375","0,124","0,009","0,204","-0,322","0,140","0,015","-0,250","0,045","-0,264","0,103","0,093","-0,189"
464,"0,046","0,050","-0,176","0,045","0,146","0,093","-0,033","0,047","-0,176","0,218","-0,012","0,026","-0,270","0,150","-0,076","-0,348","-0,161","-0,261","0,114","0,036","-0,171"
465,"0,107","0,090","-0,061","-0,018","0,076","0,044","0,041","0,281","0,014","0,107","0,161","0,072","-0,007","0,059","0,062","-0,223","-0,094","-0,216","0,067","-0,029","-0,141"
466,"0,107","-0,028","-0,213","0,042","0,126","-0,028","0,114","0,145","0,231","0,264","0,211","-0,060","-0,013","-0,019","-0,032","0,034","0,017","-0,351","0,175","-0,075","0,055"
467,"0,168","-0,147","-0,365","0,045","0,086","0,102","0,063","0,189","0,412","-0,041","0,273","-0,062","0,048","0,109","0,017","-0,034","-0,201","-0,248","0,059","-0,168","0,039"
