Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"0,313","0,219","-0,095","-0,278","0,635","-0,695","-0,085","0,357","0,116","0,447","-0,554","0,157","0,279","-0,245","-0,616","0,213","0,108","-0,328","-0,192","-0,423","0,158"
1,"0,240","0,259","-0,120","-0,098","0,850","-0,641","-0,250","0,232","-0,072","0,131","0,278","0,161","0,131","-0,292","-0,419","0,219","-0,053","-0,179","-0,303","-0,356","0,116"
2,"0,076","0,196","-0,041","-0,155","0,809","-0,562","-0,211","0,168","0,135","0,284","0,588","-0,090","-0,554","-0,126","-0,385","0,165","-0,153","-0,036","-0,351","-0,214","0,113"
3,"-0,094","0,093","-0,007","0,093","0,699","-0,535","-0,245","0,057","-0,019","0,494","0,153","0,020","-0,530","-0,194","-0,553","0,101","-0,162","-0,093","-0,258","-0,081","-0,007"
4,"0,032","-0,107","-0,093","-0,002","0,400","-0,053","-0,186","0,145","0,267","0,387","-0,302","-0,088","-0,415","-0,112","-0,504","0,046","-0,142","0,030","0,003","-0,101","-0,106"
5,"0,025","-0,022","-0,086","-0,044","0,028","0,194","-0,424","0,216","0,945","0,222","-0,330","-0,015","-0,107","-0,185","-0,497","0,049","-0,133","0,091","-0,175","-0,188","-0,219"
6,"0,427","-0,208","-0,057","-0,336","-0,327","0,316","-0,192","0,138","1,506","-0,047","0,533","0,056","-0,009","-0,057","-0,335","-0,009","-0,062","0,144","-0,121","-0,169","-0,155"
7,"0,209","-0,090","-0,133","-0,390","-0,580","0,334","-0,239","0,067","1,278","0,134","0,404","0,214","0,047","-0,225","-0,259","-0,009","-0,002","0,134","-0,265","-0,242","-0,068"
8,"0,177","-0,312","-0,094","-0,396","-0,635","0,160","-0,120","0,031","0,939","-0,117","-0,035","0,143","0,083","-0,155","-0,083","-0,012","0,049","0,064","-0,343","-0,346","-0,028"
9,"0,216","-0,049","-0,088","-0,155","-0,495","0,171","-0,105","-0,189","0,418","-0,288","0,054","-0,059","-0,332","0,110","0,215","0,113","-0,003","0,128","-0,374","0,012","0,006"
10,"0,149","0,030","-0,068","-0,166","-0,128","0,119","-0,169","-0,224","-0,533","0,124","0,085","-0,082","-0,219","0,135","0,287","0,363","-0,046","0,246","-0,045","0,041","-0,109"
11,"0,143","-0,157","0,100","0,075","0,089","0,170","-0,084","-0,371","-1,026","0,131","-0,082","-0,179","-0,491","-0,019","0,045","0,481","-0,116","0,189","-0,028","0,257","-0,073"
12,"-0,080","-0,205","-0,072","0,071","0,129","0,094","-0,241","-0,362","-1,192","0,363","-0,289","-0,190","-0,357","-0,167","-0,473","0,667","-0,108","0,240","-0,121","0,123","0,047"
13,"0,038","0,080","-0,261","0,065","0,303","0,039","-0,160","-0,180","-0,809","0,531","-0,135","-0,210","-0,145","-0,311","-0,650","0,670","-0,098","0,300","-0,190","0,074","0,063"
14,"0,062","0,367","-0,028","0,063","0,208","-0,059","-0,078","0,002","-0,426","0,819","-0,536","-0,114","-0,134","-0,221","-0,751","0,609","-0,098","0,304","-0,243","-0,051","-0,087"
