Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
0,"0,896","0,439","0,062","0,000","0,983","-0,170","0,066","0,000","0,992","-0,124","0,031","0,000","0,883","0,457","-0,105","0,000","0,985","-0,171","-0,007","0,000","0,983","-0,184","0,003","0,000","0,969","-0,247","0,016","0,000"
1,"0,897","0,438","0,063","0,000","0,982","-0,170","0,081","0,000","0,992","-0,125","0,031","0,000","0,883","0,458","-0,105","0,000","0,985","-0,174","-0,005","0,000","0,983","-0,184","0,010","0,000","0,969","-0,247","0,016","0,000"
2,"0,895","0,442","0,063","0,000","0,982","-0,169","0,088","0,000","0,992","-0,125","0,031","0,000","0,882","0,459","-0,105","0,000","0,985","-0,174","0,003","0,000","0,982","-0,186","0,011","0,000","0,969","-0,247","0,016","0,000"
3,"0,895","0,443","0,063","0,000","0,985","-0,152","0,087","0,000","0,993","-0,111","0,024","0,000","0,882","0,459","-0,107","0,000","0,985","-0,171","0,002","0,000","0,982","-0,186","0,011","0,000","0,970","-0,245","0,008","0,000"
4,"0,893","0,445","0,063","0,000","0,984","-0,152","0,091","0,000","0,993","-0,111","0,024","0,000","0,882","0,459","-0,108","0,000","0,985","-0,171","0,002","0,000","0,982","-0,186","0,013","0,000","0,970","-0,245","0,008","0,000"
5,"0,893","0,447","0,059","0,000","0,985","-0,149","0,086","0,000","0,994","-0,109","0,018","0,000","0,881","0,460","-0,109","0,000","0,986","-0,166","0,001","0,000","0,983","-0,185","0,013","0,000","0,971","-0,241","0,005","0,000"
6,"0,893","0,447","0,063","0,000","0,985","-0,149","0,086","0,000","0,994","-0,109","0,018","0,000","0,881","0,461","-0,109","0,000","0,986","-0,166","0,001","0,000","0,983","-0,185","0,013","0,000","0,971","-0,241","0,007","0,000"
7,"0,891","0,449","0,063","0,000","0,985","-0,149","0,085","0,000","0,994","-0,107","0,013","0,000","0,879","0,464","-0,108","0,000","0,987","-0,162","0,001","0,000","0,983","-0,185","0,013","0,000","0,971","-0,239","0,005","0,000"
8,"0,891","0,449","0,063","0,000","0,985","-0,150","0,085","0,000","0,994","-0,108","0,018","0,000","0,878","0,467","-0,109","0,000","0,987","-0,162","0,001","0,000","0,983","-0,185","0,013","0,000","0,971","-0,239","0,005","0,000"
9,"0,891","0,449","0,063","0,000","0,985","-0,149","0,084","0,000","0,994","-0,108","0,018","0,000","0,878","0,466","-0,110","0,000","0,987","-0,159","-0,001","0,000","0,983","-0,183","0,012","0,000","0,971","-0,238","0,005","0,000"
10,"0,890","0,451","0,064","-0,001","0,985","-0,150","0,082","0,000","0,994","-0,112","0,019","0,001","0,876","0,468","-0,112","0,001","0,988","-0,156","-0,001","0,000","0,983","-0,181","0,011","0,000","0,972","-0,235","0,006","0,000"
11,"0,889","0,453","0,066","-0,001","0,985","-0,152","0,083","0,001","0,993","-0,116","0,019","0,002","0,875","0,470","-0,114","0,002","0,988","-0,153","-0,003","-0,001","0,984","-0,179","0,010","0,000","0,972","-0,235","0,003","0,000"
12,"0,888","0,455","0,064","0,000","0,985","-0,154","0,083","0,001","0,993","-0,119","0,018","0,003","0,874","0,472","-0,115","0,002","0,988","-0,152","-0,006","-0,001","0,984","-0,176","0,010","0,000","0,972","-0,237","0,003","0,000"
13,"0,889","0,454","0,061","0,001","0,984","-0,156","0,082","0,001","0,992","-0,123","0,018","0,003","0,873","0,474","-0,117","0,003","0,989","-0,150","-0,008","-0,002","0,985","-0,174","0,010","0,001","0,972","-0,235","0,005","0,000"
14,"0,889","0,454","0,059","0,003","0,984","-0,158","0,081","0,001","0,992","-0,126","0,018","0,003","0,872","0,475","-0,120","0,004","0,988","-0,151","-0,006","-0,001","0,985","-0,172","0,010","0,001","0,973","-0,233","0,005","0,001"
15,"0,890","0,452","0,056","0,004","0,984","-0,161","0,080","0,001","0,991","-0,129","0,018","0,003","0,871","0,477","-0,120","0,004","0,988","-0,151","-0,003","-0,001","0,986","-0,169","0,010","0,002","0,973","-0,230","0,005","0,001"
16,"0,890","0,451","0,059","0,003","0,983","-0,163","0,079","0,001","0,991","-0,132","0,018","0,003","0,871","0,477","-0,117","0,002","0,988","-0,154","-0,001","0,000","0,986","-0,167","0,010","0,002","0,974","-0,228","0,005","0,001"
17,"0,891","0,450","0,061","0,002","0,983","-0,166","0,078","0,000","0,991","-0,135","0,019","0,003","0,872","0,475","-0,116","0,002","0,988","-0,152","0,001","0,001","0,986","-0,165","0,008","0,002","0,974","-0,225","0,006","0,002"
18,"0,892","0,448","0,063","0,001","0,983","-0,169","0,078","0,000","0,990","-0,138","0,020","0,004","0,873","0,475","-0,114","0,001","0,988","-0,155","0,001","0,001","0,986","-0,168","0,007","0,003","0,974","-0,227","0,008","0,003"
19,"0,892","0,448","0,066","-0,001","0,982","-0,172","0,079","0,000","0,990","-0,141","0,021","0,004","0,873","0,475","-0,111","-0,001","0,988","-0,154","-0,002","0,001","0,986","-0,168","0,010","0,004","0,973","-0,229","0,010","0,004"
20,"0,891","0,449","0,065","0,000","0,981","-0,174","0,081","0,001","0,989","-0,143","0,020","0,004","0,874","0,474","-0,113","0,000","0,988","-0,152","-0,002","0,001","0,985","-0,170","0,013","0,004","0,973","-0,231","0,012","0,005"
21,"0,891","0,450","0,062","0,002","0,981","-0,174","0,084","0,002","0,990","-0,140","0,020","0,004","0,873","0,475","-0,111","-0,001","0,988","-0,154","0,000","0,002","0,985","-0,171","0,015","0,005","0,972","-0,234","0,011","0,005"
22,"0,892","0,448","0,060","0,003","0,981","-0,173","0,086","0,003","0,990","-0,142","0,022","0,004","0,874","0,473","-0,110","-0,001","0,988","-0,156","0,000","0,002","0,985","-0,173","0,018","0,006","0,972","-0,236","0,009","0,004"
23,"0,893","0,446","0,059","0,004","0,982","-0,171","0,084","0,004","0,989","-0,145","0,024","0,005","0,875","0,471","-0,110","-0,001","0,987","-0,158","0,002","0,002","0,984","-0,175","0,019","0,006","0,971","-0,237","0,007","0,004"
24,"0,892","0,448","0,060","0,004","0,981","-0,174","0,083","0,004","0,989","-0,146","0,021","0,005","0,875","0,470","-0,113","0,001","0,987","-0,161","0,001","0,002","0,984","-0,176","0,022","0,007","0,971","-0,240","0,005","0,004"
25,"0,892","0,447","0,063","0,003","0,981","-0,175","0,080","0,004","0,989","-0,146","0,024","0,006","0,876","0,469","-0,115","0,002","0,987","-0,159","-0,002","0,002","0,984","-0,179","0,020","0,007","0,970","-0,242","0,006","0,004"
26,"0,893","0,446","0,061","0,004","0,981","-0,175","0,077","0,004","0,989","-0,146","0,027","0,008","0,877","0,467","-0,114","0,002","0,988","-0,157","-0,003","0,002","0,983","-0,180","0,018","0,007","0,971","-0,240","0,004","0,004"
27,"0,893","0,446","0,064","0,003","0,982","-0,175","0,074","0,004","0,989","-0,145","0,024","0,008","0,876","0,469","-0,114","0,001","0,988","-0,157","-0,006","0,001","0,983","-0,181","0,015","0,006","0,970","-0,242","0,002","0,003"
28,"0,894","0,444","0,065","0,002","0,982","-0,174","0,076","0,004","0,989","-0,145","0,027","0,009","0,875","0,469","-0,116","0,002","0,988","-0,154","-0,006","0,001","0,983","-0,182","0,012","0,006","0,971","-0,241","-0,001","0,003"
29,"0,893","0,445","0,067","0,002","0,981","-0,177","0,077","0,004","0,989","-0,146","0,030","0,009","0,874","0,471","-0,118","0,003","0,988","-0,157","-0,006","0,001","0,983","-0,182","0,009","0,006","0,971","-0,239","0,001","0,003"
30,"0,893","0,445","0,067","0,002","0,981","-0,178","0,077","0,004","0,989","-0,146","0,029","0,010","0,874","0,471","-0,117","0,003","0,988","-0,157","-0,006","0,002","0,983","-0,182","0,008","0,006","0,971","-0,239","0,001","0,003"
31,"0,893","0,445","0,067","0,002","0,981","-0,179","0,077","0,004","0,989","-0,146","0,029","0,010","0,874","0,471","-0,117","0,003","0,987","-0,158","-0,006","0,002","0,983","-0,182","0,008","0,006","0,971","-0,238","0,001","0,003"
32,"0,893","0,445","0,067","0,002","0,981","-0,180","0,077","0,004","0,989","-0,146","0,029","0,010","0,874","0,471","-0,117","0,003","0,987","-0,158","-0,006","0,002","0,983","-0,182","0,008","0,007","0,971","-0,238","0,001","0,003"
33,"0,893","0,445","0,066","0,002","0,981","-0,181","0,077","0,004","0,989","-0,146","0,028","0,010","0,874","0,471","-0,116","0,003","0,987","-0,158","-0,006","0,002","0,983","-0,182","0,007","0,007","0,971","-0,238","0,001","0,003"
34,"0,893","0,445","0,066","0,002","0,980","-0,181","0,076","0,003","0,989","-0,145","0,028","0,010","0,874","0,471","-0,116","0,002","0,987","-0,159","-0,005","0,002","0,983","-0,183","0,007","0,007","0,971","-0,238","0,001","0,003"
