Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
674,"0,996","0,058","-0,062","-0,023","0,988","-0,080","-0,077","0,111","0,987","-0,127","-0,015","0,093","0,995","0,085","0,060","-0,003","0,990","-0,110","0,012","-0,086","0,791","-0,612","-0,007","0,030","0,990","-0,079","0,045","-0,106"
675,"0,996","0,059","-0,065","-0,023","0,987","-0,081","-0,080","0,114","0,987","-0,128","-0,016","0,093","0,994","0,087","0,062","-0,002","0,990","-0,110","0,013","-0,087","0,787","-0,616","-0,006","0,030","0,990","-0,080","0,048","-0,108"
676,"0,996","0,061","-0,065","-0,024","0,986","-0,082","-0,083","0,116","0,987","-0,128","-0,017","0,092","0,994","0,089","0,064","-0,002","0,990","-0,110","0,013","-0,087","0,783","-0,621","-0,005","0,030","0,989","-0,082","0,051","-0,111"
677,"0,996","0,062","-0,065","-0,024","0,986","-0,084","-0,085","0,118","0,987","-0,129","-0,018","0,091","0,994","0,090","0,066","-0,001","0,990","-0,110","0,015","-0,085","0,779","-0,626","-0,004","0,030","0,988","-0,085","0,056","-0,116"
678,"0,996","0,063","-0,064","-0,025","0,985","-0,087","-0,086","0,120","0,987","-0,129","-0,019","0,090","0,994","0,091","0,066","0,000","0,990","-0,111","0,016","-0,082","0,775","-0,631","-0,003","0,030","0,987","-0,089","0,060","-0,120"
679,"0,996","0,064","-0,063","-0,026","0,985","-0,092","-0,086","0,122","0,987","-0,130","-0,020","0,089","0,994","0,091","0,065","0,001","0,990","-0,111","0,018","-0,079","0,772","-0,635","-0,002","0,030","0,986","-0,093","0,064","-0,122"
680,"0,996","0,065","-0,063","-0,027","0,984","-0,097","-0,084","0,123","0,987","-0,131","-0,020","0,088","0,994","0,091","0,066","0,001","0,990","-0,112","0,019","-0,078","0,770","-0,638","-0,001","0,030","0,985","-0,098","0,068","-0,124"
681,"0,995","0,066","-0,064","-0,027","0,984","-0,103","-0,081","0,124","0,987","-0,132","-0,021","0,087","0,994","0,091","0,065","0,000","0,990","-0,113","0,020","-0,078","0,770","-0,637","-0,001","0,029","0,984","-0,102","0,071","-0,125"
682,"0,995","0,067","-0,064","-0,027","0,983","-0,111","-0,077","0,124","0,987","-0,134","-0,022","0,087","0,994","0,090","0,065","0,000","0,990","-0,114","0,022","-0,078","0,771","-0,636","-0,001","0,028","0,983","-0,107","0,076","-0,127"
683,"0,995","0,069","-0,064","-0,027","0,982","-0,119","-0,072","0,125","0,987","-0,135","-0,023","0,087","0,994","0,090","0,065","-0,001","0,990","-0,115","0,023","-0,078","0,773","-0,634","-0,001","0,027","0,982","-0,114","0,079","-0,128"
684,"0,995","0,070","-0,065","-0,027","0,982","-0,127","-0,068","0,125","0,987","-0,136","-0,024","0,087","0,994","0,089","0,066","-0,001","0,990","-0,116","0,025","-0,079","0,775","-0,631","-0,001","0,026","0,981","-0,122","0,082","-0,128"
685,"0,995","0,071","-0,066","-0,027","0,981","-0,136","-0,065","0,125","0,986","-0,137","-0,025","0,087","0,994","0,089","0,066","-0,002","0,990","-0,117","0,027","-0,079","0,777","-0,629","-0,001","0,024","0,979","-0,133","0,083","-0,129"
686,"0,995","0,071","-0,067","-0,027","0,980","-0,145","-0,061","0,125","0,986","-0,138","-0,026","0,086","0,994","0,088","0,066","-0,003","0,990","-0,118","0,029","-0,079","0,780","-0,626","0,000","0,023","0,978","-0,145","0,082","-0,129"
687,"0,995","0,072","-0,067","-0,026","0,979","-0,155","-0,057","0,123","0,986","-0,139","-0,026","0,086","0,994","0,088","0,066","-0,003","0,989","-0,118","0,031","-0,079","0,782","-0,623","0,000","0,022","0,976","-0,158","0,081","-0,129"
688,"0,995","0,072","-0,067","-0,026","0,977","-0,166","-0,051","0,121","0,986","-0,138","-0,025","0,086","0,994","0,088","0,066","-0,004","0,989","-0,118","0,032","-0,079","0,784","-0,620","0,001","0,020","0,974","-0,170","0,079","-0,129"
689,"0,995","0,072","-0,066","-0,026","0,976","-0,178","-0,044","0,117","0,987","-0,137","-0,025","0,085","0,994","0,087","0,066","-0,004","0,989","-0,118","0,033","-0,079","0,787","-0,617","0,001","0,019","0,971","-0,183","0,077","-0,129"
690,"0,995","0,071","-0,066","-0,026","0,974","-0,191","-0,036","0,113","0,987","-0,136","-0,023","0,085","0,994","0,087","0,066","-0,005","0,989","-0,118","0,034","-0,079","0,790","-0,613","0,001","0,018","0,969","-0,197","0,077","-0,128"
691,"0,995","0,070","-0,065","-0,026","0,972","-0,205","-0,027","0,109","0,987","-0,135","-0,022","0,084","0,994","0,087","0,066","-0,005","0,989","-0,117","0,034","-0,079","0,793","-0,609","0,001","0,016","0,966","-0,210","0,077","-0,127"
692,"0,995","0,069","-0,063","-0,026","0,970","-0,219","-0,021","0,106","0,987","-0,132","-0,021","0,085","0,994","0,086","0,065","-0,005","0,990","-0,116","0,035","-0,078","0,796","-0,605","0,001","0,014","0,963","-0,225","0,077","-0,125"
693,"0,995","0,067","-0,063","-0,026","0,967","-0,232","-0,016","0,103","0,988","-0,129","-0,020","0,086","0,994","0,085","0,065","-0,006","0,990","-0,115","0,036","-0,078","0,800","-0,600","0,001","0,012","0,960","-0,240","0,077","-0,123"
694,"0,996","0,066","-0,062","-0,026","0,964","-0,246","-0,012","0,100","0,988","-0,126","-0,019","0,086","0,994","0,084","0,064","-0,006","0,990","-0,112","0,036","-0,077","0,804","-0,595","0,001","0,010","0,956","-0,255","0,076","-0,121"
695,"0,996","0,066","-0,060","-0,025","0,961","-0,260","-0,008","0,098","0,989","-0,122","-0,019","0,085","0,995","0,083","0,063","-0,007","0,990","-0,110","0,037","-0,076","0,808","-0,589","0,001","0,009","0,952","-0,271","0,076","-0,120"
696,"0,996","0,065","-0,059","-0,025","0,957","-0,275","-0,005","0,096","0,989","-0,118","-0,020","0,083","0,995","0,082","0,063","-0,007","0,991","-0,106","0,039","-0,075","0,813","-0,582","0,001","0,008","0,948","-0,286","0,076","-0,118"
697,"0,996","0,064","-0,057","-0,025","0,953","-0,290","-0,001","0,093","0,990","-0,114","-0,021","0,081","0,995","0,081","0,062","-0,008","0,991","-0,102","0,040","-0,074","0,819","-0,574","0,000","0,007","0,943","-0,301","0,076","-0,116"
698,"0,996","0,063","-0,057","-0,024","0,948","-0,306","0,002","0,090","0,991","-0,109","-0,022","0,078","0,995","0,081","0,061","-0,008","0,992","-0,097","0,041","-0,073","0,824","-0,566","-0,001","0,006","0,938","-0,317","0,077","-0,114"
699,"0,996","0,062","-0,056","-0,024","0,943","-0,323","0,005","0,087","0,991","-0,103","-0,024","0,076","0,995","0,081","0,061","-0,008","0,992","-0,091","0,041","-0,073","0,830","-0,557","-0,001","0,005","0,933","-0,332","0,080","-0,112"
700,"0,996","0,062","-0,056","-0,023","0,937","-0,339","0,007","0,085","0,992","-0,097","-0,026","0,073","0,995","0,081","0,062","-0,009","0,993","-0,083","0,041","-0,074","0,836","-0,548","-0,002","0,004","0,927","-0,348","0,083","-0,110"
