Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"7,255","2,366","-1,341","-3,903","2,059","1,094","-0,630","0,719","-3,671","6,559","-1,408","4,145","7,508","1,935","8,124","-5,373","2,884","0,583","-10,671","3,507","6,388"
1,"8,768","2,752","-1,913","-2,382","2,614","1,619","-1,277","0,997","-2,062","8,289","-2,500","3,618","7,401","1,414","5,791","-5,927","2,493","0,418","-10,187","3,149","6,503"
2,"9,798","3,117","-2,428","-1,338","3,054","1,870","-2,309","1,528","-0,888","9,415","-3,678","3,517","6,913","1,036","5,208","-6,179","1,829","0,222","-8,850","3,163","5,378"
3,"10,446","3,207","-2,627","0,701","3,234","2,257","-3,703","2,583","1,425","10,442","-3,499","3,526","6,602","0,636","5,147","-6,432","0,994","0,093","-8,115","3,612","5,065"
4,"10,015","4,065","-2,317","3,165","3,226","2,648","-4,965","2,333","1,885","11,248","-3,340","2,485","5,874","0,802","5,024","-6,924","0,626","-0,016","-8,421","3,661","4,629"
5,"9,528","4,543","-2,099","4,494","2,294","2,728","-6,632","2,676","2,640","11,441","-3,705","1,647","5,211","1,082","4,670","-7,165","0,557","0,146","-8,124","3,259","3,873"
6,"8,147","5,299","-1,554","7,583","1,459","4,667","-8,165","2,610","1,344","11,424","-4,462","1,267","4,604","1,439","4,934","-7,463","0,350","0,624","-6,859","2,400","2,658"
7,"6,698","4,952","-0,940","14,376","2,258","7,803","-9,583","3,069","0,970","10,900","-3,899","1,119","3,755","1,124","3,943","-7,210","0,354","1,141","-5,037","1,983","2,031"
8,"6,230","2,254","-0,176","18,117","3,042","8,666","-10,243","4,515","4,400","9,839","-4,324","0,828","3,222","0,707","1,701","-7,503","0,291","1,825","-2,655","2,233","2,287"
9,"5,489","-0,098","-0,030","15,509","3,707","7,113","-9,668","6,099","10,458","8,818","-4,423","0,250","3,053","0,495","-0,094","-7,987","0,247","2,048","-0,219","2,087","1,925"
10,"4,100","-2,333","0,390","13,565","4,721","7,433","-8,761","6,253","13,799","7,711","-3,403","0,460","2,691","0,482","-0,541","-8,166","-0,027","2,354","2,875","1,202","0,566"
11,"2,141","-2,721","0,315","11,841","4,414","6,712","-8,251","5,481","12,024","6,529","-3,071","0,606","2,327","0,217","-1,161","-7,863","-0,279","2,380","3,956","0,212","-0,509"
12,"0,509","-3,828","0,138","9,770","4,252","4,864","-7,712","4,430","7,340","5,096","-2,764","0,146","2,145","0,297","-1,124","-6,638","-0,690","2,840","1,942","-0,028","-0,086"
13,"-1,096","-3,445","0,218","7,257","4,875","4,372","-6,970","3,420","3,014","3,695","-1,121","0,047","2,088","0,027","-1,935","-5,469","-0,898","3,484","-0,972","0,607","1,196"
14,"-2,376","-2,538","0,641","4,722","3,982","3,353","-6,008","2,454","0,571","2,090","0,444","-0,024","2,015","0,300","-0,354","-4,416","-0,996","4,416","-2,185","0,830","1,988"
