Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"0,071","-0,013","0,140","0,065","-0,154","0,068","0,187","-0,115","0,146","-0,979","-1,326","-0,672","0,119","0,011","-0,027","0,001","0,237","-0,109","0,283","-0,389","0,282"
1,"0,113","-0,002","0,044","0,007","-0,290","0,048","0,126","-0,054","0,148","-0,256","-0,876","-0,584","-0,116","0,250","0,500","0,185","0,072","-0,063","0,452","-0,022","0,273"
2,"-0,059","-0,105","0,073","-0,051","-0,407","0,087","-0,026","-0,020","-0,019","-0,498","-0,750","-0,594","-0,093","0,213","0,386","0,306","0,102","-0,118","0,365","0,158","0,181"
3,"-0,041","-0,110","0,158","0,007","-0,290","0,048","-0,116","-0,168","-0,168","-0,446","-0,338","-0,378","0,070","-0,067","-0,077","0,247","0,096","0,019","0,182","0,099","0,118"
4,"-0,124","-0,151","0,040","0,130","-0,346","0,064","-0,086","-0,196","-0,357","-0,384","-0,445","-0,258","-0,053","-0,187","-0,063","0,370","-0,069","0,065","0,035","0,027","0,198"
5,"-0,035","-0,195","0,151","0,070","-0,328","0,124","-0,319","-0,181","-0,632","-0,127","-0,565","0,183","-0,258","-0,214","0,034","0,431","-0,016","0,095","-0,169","-0,143","0,181"
6,"-0,087","-0,287","0,156","-0,110","-0,371","0,204","-0,326","-0,254","-0,306","-0,062","-0,545","0,353","-0,303","-0,082","0,243","0,308","-0,010","-0,041","-0,064","-0,292","0,194"
7,"-0,171","-0,202","0,091","0,010","-0,216","0,281","-0,214","-0,208","-0,020","-0,245","-0,375","0,228","-0,169","0,056","0,487","0,125","-0,041","0,014","-0,142","-0,316","0,262"
8,"-0,160","-0,121","0,182","-0,055","-0,119","0,187","-0,283","-0,161","0,298","-0,203","-0,470","0,245","-0,239","0,130","0,514","-0,058","0,041","-0,008","0,090","-0,319","0,361"
9,"-0,160","-0,121","0,182","0,006","-0,042","0,225","-0,162","-0,162","0,277","-0,128","-0,287","-0,002","-0,227","0,112","0,457","-0,059","0,018","-0,091","0,132","-0,283","0,148"
