Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
0,"59,014","10,016","-5,603","-15,235","2,874","0,474","-25,656","-5,780","0,897","71,260","12,792","-6,545","-24,207","4,004","-0,185","14,924","-2,168","0,284","-20,907","-0,754","0,173"
1,"59,216","9,916","-5,389","-15,634","2,856","0,472","-26,058","-5,425","0,924","71,398","12,464","-6,368","-24,179","4,007","-0,183","14,946","-2,171","0,285","-20,885","-0,751","0,174"
2,"59,198","9,840","-5,270","-15,730","2,994","0,511","-26,150","-5,424","0,960","71,470","12,477","-6,393","-24,144","3,978","-0,183","14,946","-2,171","0,285","-20,917","-0,750","0,175"
3,"59,184","9,856","-5,355","-15,675","2,921","0,499","-26,072","-5,424","0,925","71,446","12,664","-6,514","-24,208","3,973","-0,188","14,906","-2,102","0,275","-20,926","-0,810","0,143"
4,"59,211","9,902","-5,382","-15,814","2,929","0,502","-26,209","-5,432","0,933","71,460","12,501","-6,477","-24,278","4,189","-0,231","14,906","-2,102","0,275","-20,994","-1,096","0,051"
5,"59,141","9,902","-5,427","-15,677","2,865","0,488","-26,129","-5,424","0,911","71,452","12,611","-6,539","-24,190","4,190","-0,229","14,906","-2,075","0,271","-20,905","-1,120","0,037"
6,"59,221","9,948","-5,454","-15,677","2,852","0,482","-26,073","-5,425","0,906","71,495","12,689","-6,710","-24,189","4,011","-0,247","14,906","-2,088","0,273","-20,905","-1,108","0,044"
7,"59,168","9,920","-5,454","-15,619","2,827","0,475","-26,073","-5,427","0,903","71,480","12,668","-6,668","-24,150","3,971","-0,233","14,906","-2,088","0,273","-20,868","-1,030","0,069"
8,"59,168","9,949","-5,469","-15,660","2,821","0,471","-26,115","-5,433","0,906","71,473","12,656","-6,661","-24,150","3,971","-0,233","14,906","-2,102","0,275","-20,868","-1,017","0,075"
9,"59,120","9,920","-5,453","-15,706","2,820","0,470","-26,156","-5,431","0,910","71,460","12,670","-6,669","-24,095","3,754","-0,208","14,853","-2,103","0,274","-20,854","-0,809","0,143"
10,"59,064","10,045","-5,634","-15,823","2,490","0,270","-26,296","-5,270","0,929","71,336","12,489","-6,341","-23,600","4,016","-0,134","14,538","-2,220","0,312","-20,865","-0,700","0,228"
11,"58,646","10,125","-5,744","-15,566","2,753","0,437","-26,574","-5,876","0,907","71,421","12,670","-6,648","-23,789","3,426","-0,269","14,865","-2,241","0,325","-20,500","-0,395","0,436"
12,"58,893","10,344","-6,070","-15,787","2,373","0,202","-26,153","-5,639","0,887","70,894","12,743","-6,786","-24,418","3,514","-0,281","14,548","-2,355","0,361","-21,111","-0,335","0,515"
13,"58,989","10,046","-5,637","-15,643","2,651","0,369","-25,905","-5,331","0,882","70,979","12,423","-6,211","-24,150","4,106","-0,147","14,388","-2,061","0,290","-21,077","-0,795","0,181"
14,"59,308","9,988","-5,554","-15,567","2,755","0,432","-26,004","-5,210","0,896","70,886","12,702","-6,703","-24,258","4,179","-0,135","14,710","-2,128","0,309","-20,620","-0,980","0,024"
15,"59,306","10,031","-5,616","-15,661","2,281","0,150","-25,703","-5,210","0,872","70,955","12,605","-6,523","-23,957","3,896","-0,176","14,471","-2,363","0,371","-20,884","-0,506","0,370"
16,"59,398","10,155","-5,796","-15,523","2,459","0,257","-26,102","-5,746","0,865","70,849","12,629","-6,569","-23,974","4,104","-0,134","14,796","-2,420","0,385","-20,269","-0,497","0,340"
17,"59,126","9,999","-5,557","-15,136","2,520","0,307","-25,821","-5,190","0,884","71,328","12,513","-6,339","-23,552","3,772","-0,179","14,950","-2,130","0,307","-20,029","-0,468","0,344"
18,"58,565","9,997","-5,535","-15,175","2,504","0,290","-25,872","-4,826","0,914","70,781","12,594","-6,515","-24,123","3,832","-0,185","14,662","-1,954","0,260","-20,568","-0,768","0,153"
19,"58,320","9,664","-5,052","-15,320","2,859","0,487","-26,395","-4,678","0,965","70,737","12,715","-6,736","-24,128","3,256","-0,297","14,809","-1,663","0,182","-20,588","-0,778","0,146"
20,"58,871","9,793","-5,245","-15,399","2,862","0,484","-26,162","-5,257","0,913","71,004","12,565","-6,467","-24,137","3,908","-0,168","14,742","-1,991","0,266","-20,735","-0,770","0,159"
21,"58,749","10,055","-5,622","-15,762","2,427","0,212","-26,350","-5,406","0,925","71,173","12,632","-6,586","-24,096","3,901","-0,169","14,626","-2,307","0,346","-21,101","-0,369","0,467"
22,"58,871","10,220","-5,853","-15,784","2,765","0,407","-25,762","-5,711","0,856","71,286","12,684","-6,685","-24,389","3,873","-0,191","14,347","-2,114","0,292","-21,531","-0,769","0,204"
23,"59,152","9,914","-5,412","-15,333","3,170","0,662","-25,375","-5,621","0,827","71,473","12,636","-6,602","-23,889","3,844","-0,176","14,563","-1,866","0,219","-21,068","-1,128","-0,076"
24,"59,538","9,864","-5,337","-15,809","2,814","0,441","-25,459","-5,199","0,870","71,411","12,632","-6,598","-23,820","3,888","-0,172","14,357","-2,132","0,277","-21,110","-0,668","0,253"
25,"59,151","10,009","-5,529","-16,050","2,517","0,259","-25,936","-5,490","0,885","71,315","12,562","-6,473","-23,885","3,827","-0,197","14,414","-2,461","0,354","-20,784","-0,269","0,520"
26,"58,605","9,890","-5,340","-15,864","2,637","0,342","-26,029","-5,319","0,904","71,780","12,635","-6,582","-23,760","3,688","-0,223","14,351","-2,136","0,262","-21,024","-0,318","0,491"
