Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"-0,299","0,187","0,022","-0,136","0,086","-0,521","0,252","0,292","-0,362","0,160","0,176","-0,099","-0,159","0,305","-0,488","0,911","0,028","-0,614","0,433","-0,007","-1,044"
1,"-0,185","0,284","0,013","-0,064","0,142","-0,420","0,177","0,382","-0,067","0,083","0,361","0,066","-0,155","0,275","-0,606","1,033","-0,080","-0,531","0,615","-0,162","-0,947"
2,"-0,197","0,211","-0,084","-0,093","0,371","-0,123","0,307","0,304","-0,237","0,115","0,135","0,063","-0,046","0,365","-0,247","1,033","-0,080","-0,531","0,182","0,186","-0,379"
3,"-0,294","0,102","0,009","0,084","0,338","-0,193","0,072","0,286","-0,431","0,129","0,187","0,034","-0,188","0,453","0,354","0,728","-0,260","-0,498","-0,006","0,388","0,068"
4,"-0,359","0,060","-0,028","0,251","0,193","-0,341","0,188","0,298","-0,304","0,113","0,249","0,137","-0,055","0,247","0,033","0,301","-0,092","-0,594","0,361","0,325","-0,033"
5,"-0,376","0,073","-0,112","0,310","0,245","-0,375","0,237","0,321","-0,058","0,159","0,075","0,106","-0,109","0,202","-0,146","-0,125","-0,272","-0,562","0,670","0,103","-0,394"
6,"-0,305","0,030","-0,089","0,384","0,194","-0,216","0,246","0,304","-0,240","-0,100","0,202","0,204","-0,113","0,350","-0,057","-0,003","-0,224","-0,633","0,426","0,103","-0,397"
7,"-0,365","0,145","-0,015","0,627","0,189","-0,238","0,115","0,260","-0,058","-0,061","0,160","0,020","0,067","0,247","0,038","0,180","-0,235","-0,692","0,421","0,389","0,072"
8,"-0,294","0,102","0,009","0,634","0,164","-0,156","0,292","0,333","0,066","-0,039","0,181","-0,061","0,005","0,321","0,080","0,302","-0,306","-0,740","0,605","0,358","0,021"
9,"-0,157","0,102","0,069","0,756","0,161","-0,167","0,232","0,393","0,057","0,006","0,121","-0,018","0,080","0,158","-0,317","0,119","-0,355","-0,669","0,485","0,282","-0,220"
10,"-0,271","0,005","0,079","0,645","0,222","-0,049","0,241","0,437","-0,131","0,028","0,040","0,106","0,204","0,203","-0,387","0,057","-0,152","-0,584","0,672","0,112","-0,614"
11,"-0,115","0,120","-0,026","0,451","0,222","-0,168","0,371","0,237","-0,289","-0,126","0,086","-0,017","0,073","0,203","-0,140","0,118","-0,141","-0,524","0,553","-0,067","-0,791"
12,"-0,103","0,192","0,071","0,321","0,060","-0,206","0,437","0,226","-0,408","-0,140","0,135","-0,193","0,299","0,337","0,400","0,301","-0,009","-0,486","0,309","0,120","-0,837"
13,"-0,138","0,217","-0,096","0,061","-0,022","-0,344","0,625","0,154","-0,514","0,006","0,121","-0,018","0,307","0,278","0,164","0,422","0,265","-0,352","0,312","-0,123","-1,118"
14,"-0,222","0,181","0,094","-0,361","0,125","-0,310","0,730","0,128","-0,139","-0,067","0,077","-0,003","0,378","0,145","-0,115","0,116","0,370","-0,125","0,494","-0,007","-1,043"
15,"-0,066","0,295","-0,010","-0,465","0,214","-0,138","0,614","0,116","-0,266","0,028","0,141","-0,098","0,315","0,278","-0,087","-0,067","0,131","-0,080","0,495","-0,226","-1,052"
16,"-0,114","0,241","0,036","-0,232","0,097","-0,238","0,518","0,125","-0,823","-0,118","0,054","-0,069","0,250","0,189","0,059","-0,067","0,239","-0,163","0,552","-0,223","-0,696"
17,"-0,163","0,187","0,083","-0,181","-0,016","-0,322","0,588","0,108","-1,002","-0,132","0,003","-0,040","0,382","0,115","-0,233","-0,129","0,082","-0,009","0,793","0,040","-0,497"
18,"-0,168","0,272","0,097","0,050","-0,079","-0,451","0,454","0,131","-0,766","-0,023","0,017","0,040","0,196","0,262","-0,150","-0,129","0,165","0,099","0,912","0,199","-0,236"
19,"-0,032","0,150","0,095","0,213","0,013","-0,030","0,304","0,188","-0,165","0,044","-0,023","0,002","0,120","0,248","0,291","-0,068","0,034","0,063","0,420","0,213","0,251"
20,"-0,168","0,150","0,034","0,421","0,261","0,162","-0,018","0,223","0,184","0,117","0,021","-0,012","0,053","0,292","0,466","-0,008","-0,003","0,194","0,476","0,279","0,711"
21,"-0,038","0,113","0,046","0,670","0,230","0,222","0,040","0,229","0,248","0,191","-0,151","0,103","0,055","0,277","0,407","0,358","-0,134","0,159","0,476","0,123","0,806"
