Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
21,"0,887","0,453","0,094","0,000","0,964","-0,262","0,041","-0,001","0,999","-0,036","-0,007","0,000","0,863","0,487","-0,134","0,002","0,995","-0,101","-0,013","0,000","0,992","-0,127","0,020","0,000","0,952","-0,307","0,022","-0,001"
22,"0,887","0,451","0,095","-0,001","0,965","-0,260","0,043","0,000","0,999","-0,039","-0,008","0,000","0,862","0,489","-0,133","0,001","0,995","-0,100","-0,010","0,000","0,992","-0,125","0,019","0,000","0,951","-0,308","0,024","0,000"
23,"0,887","0,453","0,094","0,000","0,965","-0,258","0,044","0,000","0,999","-0,040","-0,005","0,000","0,863","0,489","-0,130","0,000","0,995","-0,102","-0,008","0,000","0,992","-0,127","0,016","0,000","0,952","-0,306","0,026","0,000"
24,"0,886","0,454","0,095","0,000","0,965","-0,260","0,043","0,000","0,999","-0,041","-0,003","0,000","0,862","0,489","-0,133","0,001","0,995","-0,102","-0,011","0,000","0,992","-0,125","0,019","0,000","0,952","-0,305","0,023","0,000"
25,"0,887","0,452","0,095","0,000","0,964","-0,263","0,043","0,000","0,999","-0,040","-0,005","0,000","0,861","0,491","-0,132","0,000","0,995","-0,099","-0,012","0,000","0,992","-0,125","0,022","0,000","0,953","-0,302","0,022","-0,001"
26,"0,888","0,451","0,093","0,001","0,965","-0,260","0,042","-0,001","0,999","-0,037","-0,006","0,000","0,860","0,492","-0,134","0,001","0,995","-0,101","-0,013","0,000","0,992","-0,125","0,019","0,000","0,953","-0,304","0,020","-0,002"
27,"0,887","0,453","0,093","0,000","0,964","-0,263","0,040","-0,001","0,999","-0,038","-0,003","0,000","0,861","0,491","-0,132","0,001","0,994","-0,104","-0,014","-0,001","0,992","-0,124","0,016","0,000","0,952","-0,305","0,023","-0,001"
28,"0,887","0,452","0,096","-0,001","0,965","-0,260","0,041","-0,001","0,999","-0,037","-0,006","0,000","0,862","0,489","-0,133","0,001","0,995","-0,101","-0,013","0,000","0,992","-0,124","0,019","0,000","0,953","-0,302","0,024","0,000"
29,"0,886","0,454","0,095","0,000","0,965","-0,258","0,043","0,000","0,999","-0,038","-0,009","-0,001","0,862","0,490","-0,131","0,000","0,995","-0,098","-0,012","0,000","0,992","-0,127","0,019","0,000","0,952","-0,305","0,022","-0,001"
30,"0,886","0,454","0,095","-0,001","0,965","-0,258","0,043","0,000","0,999","-0,038","-0,008","-0,001","0,862","0,490","-0,131","0,000","0,995","-0,098","-0,012","0,000","0,992","-0,127","0,019","0,000","0,952","-0,305","0,023","-0,001"
31,"0,886","0,454","0,095","0,000","0,965","-0,258","0,043","0,000","0,999","-0,038","-0,008","-0,001","0,862","0,490","-0,131","0,000","0,995","-0,099","-0,012","0,000","0,992","-0,127","0,019","0,000","0,952","-0,304","0,023","-0,001"
32,"0,886","0,454","0,095","0,000","0,965","-0,258","0,043","0,000","0,999","-0,037","-0,008","-0,001","0,862","0,490","-0,132","0,000","0,995","-0,099","-0,012","0,000","0,992","-0,127","0,018","0,000","0,952","-0,304","0,023","-0,001"
33,"0,886","0,454","0,095","0,000","0,965","-0,258","0,043","0,000","0,999","-0,037","-0,008","-0,001","0,862","0,489","-0,132","0,000","0,995","-0,099","-0,012","0,000","0,992","-0,127","0,018","-0,001","0,952","-0,304","0,023","-0,001"
34,"0,886","0,453","0,095","0,000","0,965","-0,258","0,043","-0,001","0,999","-0,037","-0,008","-0,001","0,862","0,490","-0,132","0,000","0,995","-0,099","-0,012","0,000","0,992","-0,127","0,018","-0,001","0,952","-0,304","0,023","-0,001"
35,"0,886","0,454","0,095","0,000","0,965","-0,258","0,042","-0,001","0,999","-0,037","-0,008","-0,001","0,862","0,489","-0,132","0,000","0,995","-0,099","-0,012","0,000","0,992","-0,127","0,018","-0,001","0,952","-0,304","0,023","-0,001"
36,"0,886","0,453","0,095","0,000","0,965","-0,258","0,042","-0,001","0,999","-0,036","-0,008","-0,001","0,862","0,489","-0,132","0,000","0,995","-0,099","-0,011","0,000","0,992","-0,126","0,018","-0,001","0,952","-0,304","0,023","-0,001"
37,"0,886","0,453","0,095","0,000","0,965","-0,258","0,042","-0,001","0,999","-0,036","-0,008","-0,001","0,862","0,489","-0,132","0,000","0,995","-0,099","-0,011","0,000","0,992","-0,126","0,018","-0,001","0,952","-0,304","0,023","-0,001"
38,"0,886","0,453","0,095","0,000","0,965","-0,258","0,042","-0,001","0,999","-0,036","-0,008","-0,001","0,862","0,489","-0,132","0,000","0,995","-0,099","-0,011","0,000","0,992","-0,126","0,018","-0,001","0,952","-0,304","0,023","-0,001"
39,"0,886","0,453","0,095","0,000","0,965","-0,258","0,042","-0,001","0,999","-0,036","-0,007","-0,001","0,862","0,489","-0,132","0,000","0,995","-0,099","-0,011","0,000","0,992","-0,125","0,018","-0,001","0,952","-0,304","0,023","-0,001"
40,"0,886","0,454","0,094","0,000","0,965","-0,258","0,042","-0,001","0,999","-0,036","-0,007","-0,001","0,862","0,489","-0,132","0,001","0,995","-0,100","-0,011","0,000","0,992","-0,125","0,018","-0,001","0,952","-0,304","0,023","-0,001"
41,"1,000","0,000","0,000","-0,002","1,000","-0,003","0,000","-0,002","1,000","-0,002","-0,003","-0,002","1,000","0,000","0,001","-0,002","1,000","0,000","0,000","-0,002","1,000","0,000","-0,001","-0,002","1,000","-0,001","0,001","-0,002"
