Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
1330,"0,626","-0,642","-0,406","-0,177","0,988","0,119","-0,070","0,065","0,745","-0,645","0,068","-0,154","0,998","-0,040","-0,038","-0,010","0,992","-0,091","-0,089","-0,014","0,999","-0,051","-0,008","0,014","0,996","-0,023","-0,089","-0,023"
1331,"0,626","-0,642","-0,406","-0,177","0,988","0,119","-0,070","0,064","0,745","-0,645","0,068","-0,154","0,998","-0,041","-0,040","-0,010","0,992","-0,092","-0,088","-0,013","0,999","-0,051","-0,008","0,014","0,996","-0,024","-0,088","-0,022"
1332,"0,626","-0,642","-0,406","-0,178","0,988","0,120","-0,070","0,064","0,745","-0,645","0,068","-0,154","0,998","-0,042","-0,041","-0,010","0,992","-0,092","-0,088","-0,012","0,999","-0,051","-0,007","0,014","0,996","-0,024","-0,089","-0,022"
1333,"0,626","-0,642","-0,406","-0,178","0,988","0,120","-0,069","0,064","0,746","-0,645","0,069","-0,154","0,998","-0,043","-0,042","-0,010","0,992","-0,093","-0,088","-0,011","0,999","-0,051","-0,008","0,014","0,996","-0,024","-0,089","-0,022"
1334,"0,626","-0,641","-0,406","-0,178","0,988","0,120","-0,069","0,064","0,746","-0,645","0,069","-0,153","0,998","-0,044","-0,043","-0,010","0,992","-0,093","-0,088","-0,010","0,999","-0,051","-0,008","0,014","0,995","-0,025","-0,089","-0,022"
1335,"0,626","-0,641","-0,406","-0,178","0,988","0,120","-0,069","0,063","0,746","-0,644","0,070","-0,153","0,998","-0,045","-0,044","-0,011","0,992","-0,092","-0,088","-0,010","0,999","-0,051","-0,008","0,014","0,995","-0,025","-0,089","-0,022"
1336,"0,627","-0,641","-0,406","-0,178","0,988","0,120","-0,068","0,063","0,746","-0,644","0,070","-0,153","0,998","-0,045","-0,045","-0,011","0,992","-0,092","-0,088","-0,010","0,999","-0,051","-0,008","0,014","0,995","-0,025","-0,089","-0,022"
1337,"0,627","-0,641","-0,406","-0,178","0,988","0,120","-0,068","0,063","0,746","-0,644","0,070","-0,153","0,998","-0,046","-0,045","-0,011","0,992","-0,092","-0,088","-0,010","0,999","-0,051","-0,008","0,014","0,995","-0,025","-0,089","-0,023"
1338,"0,627","-0,641","-0,406","-0,178","0,989","0,120","-0,067","0,063","0,746","-0,644","0,070","-0,153","0,998","-0,047","-0,046","-0,011","0,992","-0,092","-0,088","-0,009","0,999","-0,051","-0,008","0,014","0,995","-0,025","-0,089","-0,023"
1339,"0,627","-0,641","-0,406","-0,177","0,989","0,120","-0,067","0,063","0,746","-0,644","0,070","-0,152","0,998","-0,048","-0,047","-0,011","0,992","-0,092","-0,088","-0,008","0,999","-0,052","-0,008","0,014","0,996","-0,025","-0,089","-0,022"
