Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"-0,134","0,039","-0,075","0,474","0,340","1,064","0,355","-0,470","-0,852","-0,137","-0,369","-0,151","0,124","-0,424","-0,991","0,665","-0,287","-0,729","-0,153","-0,648","-1,476"
1,"-0,260","0,200","-0,023","-0,097","-0,044","0,426","0,414","-0,564","-0,706","0,136","-0,345","-0,270","0,311","-0,633","-1,045","0,726","-0,277","-0,921","-0,325","-0,252","-1,901"
2,"-0,175","0,027","0,149","-0,486","-0,322","-0,800","0,350","-0,407","-0,553","-0,216","-0,032","-0,202","0,039","-0,456","-0,474","0,666","-0,294","-0,980","-0,142","-0,196","-1,924"
3,"-0,318","0,113","-0,038","-1,108","-0,238","-0,889","0,412","-0,598","-0,574","-0,105","-0,209","-0,233","-0,143","-0,399","-0,501","0,422","-0,369","-1,024","0,152","-0,402","-1,526"
4,"-0,308","-0,106","-0,047","-1,396","-0,245","-0,720","0,167","-0,467","-0,544","-0,108","-0,098","-0,153","-0,134","-0,394","-0,693","0,422","-0,343","-1,157","0,454","-0,614","-1,401"
5,"-0,537","0,699","-0,098","-0,831","-0,388","-1,128","-0,011","-0,471","-0,857","-0,097","-0,045","-0,180","-0,205","-0,457","-0,486","0,422","-0,209","-1,131","0,187","-0,599","-0,728"
6,"-0,074","-0,074","-0,153","-0,291","0,080","-0,781","-0,181","-0,636","-1,636","-0,234","0,246","0,065","-0,262","-0,359","-0,583","0,483","-0,251","-1,056","-0,809","-0,374","-0,195"
7,"-0,118","-0,233","-0,052","-0,436","-0,174","-0,929","-0,385","-0,238","-0,352","0,061","-0,171","-0,094","-0,346","-0,274","-0,102","0,666","-0,176","-1,013","-1,109","-0,571","-0,310"
8,"0,063","-0,224","-0,069","0,191","-0,629","-1,816","-0,395","-0,052","0,232","0,065","-0,089","-0,068","-0,313","-0,037","0,465","0,421","-0,144","-0,896","-1,054","-0,484","-0,146"
9,"0,130","-0,272","-0,043","0,570","-0,091","-1,279","-0,343","0,135","0,816","-0,012","-0,107","0,003","-0,218","-0,193","-0,248","0,421","-0,111","-0,779","-0,979","0,284","1,037"
10,"0,008","-0,279","-0,032","0,966","-0,241","-1,006","-0,518","0,093","0,324","-0,005","-0,136","-0,051","-0,143","-0,340","-0,519","0,603","-0,036","-0,735","-0,713","0,993","1,983"
11,"0,190","-0,385","-0,120","1,744","-0,166","-1,195","-0,514","-0,090","0,051","0,054","-0,142","-0,040","-0,082","-0,340","-0,516","0,968","0,072","-0,574","-0,196","0,650","1,219"
12,"0,133","-0,241","0,009","1,451","-0,505","-1,555","-0,384","-0,191","-0,424","0,116","0,044","0,076","0,037","-0,379","-0,434","0,968","0,088","-0,515","-0,514","-0,121","0,027"
13,"0,138","-0,292","0,041","1,183","-0,194","-0,722","-0,079","-0,382","-0,441","0,108","-0,120","0,024","0,133","-0,159","0,078","1,090","0,029","-0,498","-1,147","-0,697","-0,936"
14,"0,299","0,040","-0,029","0,872","-0,262","-0,199","0,098","-0,293","-0,021","0,116","0,044","0,076","0,195","-0,101","0,063","1,272","0,036","-0,246","-0,942","-0,630","-1,585"
15,"0,125","-0,105","-0,002","0,422","-0,200","0,160","0,216","-0,242","0,220","0,108","-0,120","0,024","0,266","-0,288","-0,131","1,394","-0,215","-0,240","-0,379","-0,772","-1,972"
16,"0,186","0,014","0,065","0,039","-0,314","0,053","0,156","-0,255","0,159","0,171","-0,044","0,061","0,199","-0,311","0,000","1,211","-0,333","-0,208","0,102","-0,736","-1,765"
17,"0,109","0,051","-0,096","-0,127","-0,577","-0,286","0,218","-0,267","0,101","0,046","-0,306","-0,093","0,069","-0,142","0,133","1,089","-0,418","-0,058","0,215","-0,620","-1,546"
18,"-0,081","0,293","-0,019","-0,431","-0,655","-1,337","-0,082","-0,272","-0,215","-0,037","-0,296","0,031","0,084","-0,231","-0,158","0,906","-0,360","-0,075","-0,295","-0,309","-0,971"
19,"-0,063","-0,062","-0,017","-1,476","-0,815","-1,872","-0,089","-0,064","0,177","-0,084","-0,347","-0,087","-0,083","-0,456","-0,480","0,967","-0,360","-0,075","-0,445","0,009","-0,247"
