Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"0,284","0,062","-0,005","0,271","-0,042","-0,491","0,060","0,297","1,370","-0,206","-0,177","-0,156","0,680","-0,232","-0,868","-0,709","-0,218","-0,954","-0,891","-0,655","-2,259"
1,"0,228","-0,027","-0,012","0,401","0,613","0,629","-0,014","0,414","1,783","-0,174","-0,075","-0,214","0,557","-0,159","-0,825","-1,021","-0,287","-0,640","0,196","-0,366","-1,566"
2,"0,335","-0,003","-0,113","0,148","0,393","0,019","-0,201","0,369","1,906","-0,024","-0,107","-0,314","0,001","-0,092","-0,541","-0,659","0,047","-0,505","-0,361","-0,006","-1,144"
3,"0,292","-0,107","-0,036","0,369","0,444","-0,218","-0,189","0,320","1,544","0,057","0,004","-0,078","-0,058","-0,046","-0,615","-0,177","0,151","-0,264","-0,062","0,003","-0,731"
4,"0,223","-0,062","-0,062","0,300","0,242","0,316","-0,171","0,299","0,932","0,232","-0,023","-0,031","-0,306","-0,006","-0,443","0,183","0,195","-0,016","0,909","0,338","-0,477"
5,"-0,035","0,018","-0,094","0,304","0,070","0,377","-0,266","0,125","0,090","0,470","0,154","-0,101","-0,422","-0,001","-0,697","0,857","-0,124","-0,069","0,954","0,521","0,530"
6,"-0,229","0,139","-0,086","0,166","-0,172","-0,303","-0,179","0,072","-0,762","0,338","0,121","-0,103","-0,611","-0,007","-0,450","0,979","-0,364","-0,024","1,015","0,413","0,587"
7,"-0,344","0,284","0,047","0,742","-0,033","-0,677","-0,119","0,080","-0,699","0,294","0,296","-0,076","-0,720","-0,011","-1,015","0,855","-0,354","0,034","1,916","0,459","1,473"
8,"-0,435","0,513","-0,030","1,272","-0,275","-0,846","0,060","0,097","-0,573","0,026","0,476","-0,163","-0,540","-0,043","-0,878","0,186","-0,307","-0,052","1,002","0,564","1,402"
9,"-0,487","0,458","0,013","1,313","-0,644","-0,980","0,246","-0,039","-0,672","0,052","0,365","-0,088","-0,432","0,153","-0,295","-0,117","-0,319","-0,118","-0,277","0,259","1,334"
