Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
2694,"1,000","0,014","-0,008","-0,009","1,000","-0,005","0,010","0,003","0,993","0,110","-0,042","-0,002","1,000","0,018","-0,014","0,010","0,996","0,091","-0,010","0,007","0,993","0,110","-0,014","-0,025","0,999","-0,011","-0,046","0,012"
2695,"1,000","0,014","-0,009","-0,009","1,000","-0,005","0,006","0,005","0,993","0,109","-0,043","-0,001","1,000","0,018","-0,014","0,009","0,996","0,092","-0,009","0,005","0,993","0,117","-0,014","-0,025","0,999","-0,010","-0,047","0,012"
2696,"1,000","0,014","-0,010","-0,009","1,000","-0,004","0,002","0,008","0,993","0,109","-0,043","0,000","1,000","0,018","-0,013","0,009","0,996","0,093","-0,009","0,004","0,992","0,123","-0,013","-0,025","0,999","-0,010","-0,049","0,013"
2697,"1,000","0,014","-0,010","-0,009","1,000","-0,003","-0,001","0,010","0,993","0,108","-0,044","0,001","1,000","0,017","-0,012","0,008","0,996","0,093","-0,008","0,003","0,991","0,128","-0,013","-0,025","0,999","-0,010","-0,050","0,013"
2698,"1,000","0,015","-0,010","-0,009","1,000","-0,002","-0,002","0,011","0,993","0,108","-0,045","0,001","1,000","0,017","-0,011","0,007","0,996","0,093","-0,008","0,002","0,991","0,134","-0,012","-0,025","0,999","-0,010","-0,049","0,012"
2699,"1,000","0,015","-0,010","-0,009","1,000","0,000","-0,001","0,010","0,993","0,107","-0,046","0,001","1,000","0,016","-0,010","0,007","0,996","0,093","-0,007","0,001","0,990","0,138","-0,012","-0,025","0,999","-0,010","-0,047","0,011"
2700,"1,000","0,015","-0,010","-0,009","1,000","0,001","0,002","0,009","0,993","0,107","-0,046","0,001","1,000","0,016","-0,009","0,007","0,996","0,093","-0,006","0,001","0,989","0,143","-0,011","-0,025","0,999","-0,010","-0,046","0,009"
2701,"1,000","0,015","-0,010","-0,008","1,000","0,002","0,004","0,008","0,993","0,106","-0,047","0,001","1,000","0,015","-0,009","0,006","0,996","0,093","-0,005","0,002","0,989","0,147","-0,011","-0,025","0,999","-0,009","-0,044","0,008"
2702,"1,000","0,015","-0,010","-0,008","1,000","0,003","0,005","0,007","0,993","0,107","-0,048","0,001","1,000","0,015","-0,009","0,006","0,996","0,093","-0,004","0,002","0,988","0,152","-0,011","-0,025","0,999","-0,009","-0,044","0,008"
2703,"1,000","0,015","-0,011","-0,008","1,000","0,003","0,006","0,006","0,993","0,107","-0,048","0,002","1,000","0,016","-0,008","0,006","0,996","0,094","-0,004","0,003","0,987","0,156","-0,011","-0,025","0,999","-0,009","-0,044","0,009"
2704,"1,000","0,015","-0,012","-0,008","1,000","0,003","0,006","0,007","0,993","0,107","-0,048","0,002","1,000","0,016","-0,008","0,006","0,996","0,094","-0,003","0,004","0,987","0,159","-0,010","-0,025","0,999","-0,010","-0,044","0,010"
2705,"1,000","0,015","-0,013","-0,008","1,000","0,004","0,005","0,007","0,993","0,107","-0,048","0,003","1,000","0,016","-0,007","0,007","0,996","0,094","-0,003","0,005","0,986","0,163","-0,010","-0,025","0,999","-0,011","-0,045","0,011"
