Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
0,"55,911","6,239","2,027","82,386","2,375","-1,577","80,297","7,168","-1,483","63,785","18,504","-3,636","78,912","-2,478","-10,502","9,472","-0,217","0,018","75,487","13,444","-8,912"
1,"55,746","6,298","1,996","82,382","2,384","-1,503","80,293","7,141","-1,508","63,847","18,554","-3,699","78,940","-2,558","-10,541","9,472","-0,314","0,026","75,531","13,509","-9,033"
2,"55,832","6,317","1,997","82,372","2,333","-1,270","80,292","7,155","-1,508","63,811","18,610","-3,759","78,957","-2,622","-10,550","9,472","-0,552","0,046","75,585","13,588","-9,264"
3,"55,765","6,221","2,020","82,437","2,328","-1,405","80,119","7,173","-1,484","63,623","18,562","-3,724","78,777","-2,753","-10,668","9,472","-0,384","0,032","75,581","13,699","-9,216"
4,"55,997","6,238","2,029","82,437","2,357","-1,427","80,350","7,150","-1,500","63,676","18,554","-3,724","78,801","-2,598","-10,514","9,472","-0,384","0,032","75,579","13,516","-9,096"
5,"55,822","6,275","1,946","82,437","2,372","-1,496","80,243","7,038","-1,511","63,706","18,503","-3,716","78,672","-2,598","-10,481","9,470","-0,314","0,026","75,507","13,476","-9,007"
6,"55,978","6,241","2,028","82,437","2,474","-1,572","80,335","7,058","-1,589","63,719","18,516","-3,736","78,740","-2,622","-10,499","9,470","-0,314","0,026","75,566","13,482","-9,021"
7,"55,914","6,270","1,955","82,384","2,380","-1,560","80,373","7,046","-1,502","63,668","18,498","-3,725","78,659","-2,765","-10,626","9,395","-0,244","0,020","75,416","13,621","-9,049"
8,"55,914","6,270","1,955","82,416","2,386","-1,563","80,330","7,040","-1,505","63,789","18,534","-3,749","78,741","-2,631","-10,501","9,470","-0,245","0,020","75,472","13,463","-8,942"
9,"55,798","6,217","1,969","82,405","2,389","-1,577","80,218","7,036","-1,510","63,746","18,504","-3,724","78,693","-2,618","-10,489","9,458","-0,230","0,019","75,413","13,454","-8,918"
10,"55,460","6,489","1,554","82,316","2,189","-0,924","79,920","7,209","-1,467","63,503","18,819","-4,198","78,538","-3,248","-10,592","9,393","-0,566","0,073","75,436","13,728","-9,553"
11,"55,324","6,103","1,956","82,559","2,371","-1,518","80,130","7,252","-1,464","63,441","18,776","-4,154","78,301","-2,748","-10,425","9,484","-0,243","0,019","75,490","13,460","-8,936"
12,"55,661","6,293","1,825","82,248","2,464","-1,833","80,218","6,581","-1,553","63,867","18,604","-3,811","78,625","-2,192","-10,382","9,139","-0,259","0,021","75,227","13,343","-8,658"
13,"55,149","6,295","1,706","82,779","2,529","-2,046","80,095","6,501","-1,562","63,705","18,613","-3,869","78,453","-2,802","-10,474","9,473","-0,260","0,022","75,425","13,450","-8,894"
14,"55,531","6,092","2,040","82,464","2,411","-1,650","80,266","7,149","-1,496","63,121","18,489","-3,852","78,366","-2,540","-10,395","9,135","-0,331","0,033","75,336","13,436","-8,858"
15,"55,464","6,514","1,523","82,205","2,440","-1,733","80,000","7,060","-1,494","63,715","18,685","-3,957","78,500","-2,410","-10,399","9,045","-0,004","-0,019","74,969","13,206","-8,320"
16,"55,739","6,278","1,851","82,557","2,600","-2,247","80,403","6,826","-1,538","63,235","18,357","-3,635","78,448","-2,400","-10,390","9,304","0,207","-0,054","75,349","13,236","-8,384"
17,"55,627","6,095","2,024","82,754","2,531","-2,000","80,301","6,780","-1,539","63,815","18,511","-3,674","78,512","-2,486","-10,436","9,276","-0,133","0,001","75,136","13,345","-8,631"
18,"55,745","6,248","1,870","82,732","2,375","-1,459","80,800","7,050","-1,530","63,336","18,583","-3,870","78,533","-2,673","-10,498","9,112","-0,432","0,050","75,294","13,471","-8,920"
19,"55,640","6,502","1,543","82,263","2,444","-1,690","80,259","6,887","-1,526","63,827","18,682","-3,870","79,012","-2,641","-10,616","8,881","-0,180","0,009","75,229","13,455","-8,878"
20,"55,869","6,436","1,671","82,472","2,483","-1,806","80,503","6,379","-1,598","64,309","18,682","-3,746","79,075","-2,172","-10,534","9,144","-0,395","0,041","75,352","13,435","-8,830"
21,"55,835","6,162","1,973","82,754","2,549","-2,022","80,476","6,719","-1,551","63,774","18,554","-3,719","78,710","-2,624","-10,553","9,182","-0,060","-0,012","75,270","13,430","-8,813"
22,"55,264","5,976","2,033","82,325","2,441","-1,666","79,937","6,938","-1,493","63,785","18,554","-3,736","78,710","-3,029","-10,635","9,009","-0,353","0,035","75,392","13,633","-9,281"
23,"55,827","6,200","1,902","82,631","2,423","-1,605","80,356","7,210","-1,471","63,317","18,481","-3,785","78,184","-2,842","-10,454","9,231","-0,096","-0,006","75,299","13,501","-8,974"
24,"55,895","6,256","1,845","82,092","2,362","-1,410","80,445","7,167","-1,474","63,761","18,858","-4,195","78,363","-2,761","-10,471","8,951","-0,285","0,025","74,993","13,446","-8,840"
25,"55,948","6,416","1,666","82,513","2,357","-1,385","80,943","6,814","-1,537","63,748","18,815","-4,158","78,411","-2,780","-10,473","9,190","-0,529","0,065","75,091","13,624","-9,251"
26,"55,855","6,182","1,910","82,309","2,473","-1,778","80,386","6,861","-1,503","63,700","18,773","-4,131","78,360","-2,795","-10,450","9,215","-0,189","0,009","75,251","13,418","-8,784"
27,"55,357","6,336","1,611","81,902","2,469","-1,777","79,888","6,520","-1,521","63,724","18,729","-4,074","78,606","-2,996","-10,545","8,985","-0,435","0,048","75,040","13,652","-9,326"
28,"55,893","6,421","1,649","82,315","2,444","-1,678","80,305","6,643","-1,529","63,833","18,750","-4,080","78,635","-2,991","-10,546","9,269","-0,241","0,014","75,274","13,434","-8,828"
29,"55,336","6,167","1,808","82,001","2,343","-1,342","79,756","6,789","-1,489","64,201","19,080","-4,433","78,795","-2,843","-10,548","9,211","-0,574","0,066","75,104","13,464","-8,900"
30,"55,393","6,195","1,794","82,039","2,340","-1,326","79,793","6,810","-1,493","64,202","19,044","-4,369","78,819","-2,815","-10,550","9,244","-0,557","0,061","75,162","13,457","-8,895"
31,"55,453","6,206","1,803","82,044","2,344","-1,333","79,804","6,837","-1,495","64,188","19,008","-4,301","78,798","-2,805","-10,549","9,271","-0,533","0,054","75,167","13,451","-8,891"
32,"55,471","6,207","1,811","82,078","2,350","-1,346","79,830","6,891","-1,496","64,144","18,981","-4,240","78,759","-2,803","-10,555","9,283","-0,500","0,047","75,154","13,443","-8,880"
33,"55,517","6,238","1,793","82,112","2,355","-1,363","79,869","6,880","-1,503","64,091","18,989","-4,224","78,755","-2,809","-10,571","9,295","-0,467","0,042","75,180","13,439","-8,882"
34,"55,559","6,253","1,789","82,128","2,360","-1,379","79,918","6,919","-1,505","64,024","18,982","-4,200","78,739","-2,823","-10,584","9,288","-0,431","0,035","75,186","13,431","-8,878"
35,"55,546","6,277","1,763","82,173","2,370","-1,409","79,910","6,904","-1,510","63,985","18,970","-4,171","78,724","-2,819","-10,589","9,306","-0,403","0,029","75,188","13,427","-8,879"
36,"55,585","6,302","1,747","82,183","2,380","-1,438","79,968","6,912","-1,515","63,934","18,956","-4,152","78,706","-2,820","-10,590","9,287","-0,372","0,023","75,167","13,423","-8,879"
37,"55,585","6,342","1,704","82,215","2,392","-1,481","79,974","6,873","-1,522","63,874","18,925","-4,124","78,660","-2,833","-10,580","9,294","-0,338","0,017","75,155","13,416","-8,871"
38,"55,568","6,346","1,702","82,203","2,390","-1,479","79,970","6,896","-1,523","63,875","18,878","-4,076","78,649","-2,825","-10,568","9,256","-0,338","0,017","75,109","13,425","-8,894"
39,"55,538","6,307","1,738","82,235","2,394","-1,500","79,967","6,931","-1,515","63,832","18,853","-4,069","78,648","-2,818","-10,555","9,262","-0,305","0,011","75,123","13,419","-8,886"
40,"55,587","6,297","1,759","82,216","2,406","-1,546","80,008","6,917","-1,516","63,783","18,825","-4,067","78,647","-2,804","-10,538","9,228","-0,290","0,009","75,107","13,418","-8,883"
41,"-0,173","0,077","0,000","0,419","0,306","-0,002","0,283","-0,209","0,000","0,101","0,295","0,000","0,055","-0,273","0,000","-0,079","0,084","-0,009","0,036","0,207","0,000"
42,"-0,040","0,073","0,000","0,172","0,486","-0,001","0,259","-0,383","-0,001","0,104","0,258","0,000","0,057","-0,370","0,000","-0,079","0,084","-0,009","0,036","0,207","0,000"
43,"-0,043","-0,064","0,000","0,172","0,495","-0,001","0,256","-0,242","-0,001","0,348","0,023","0,000","0,403","-0,362","-0,002","-0,079","0,084","-0,009","0,036","0,199","0,000"
44,"-0,143","-0,065","0,000","0,124","0,515","-0,001","0,156","-0,232","0,000","0,089","-0,074","0,000","0,167","-0,265","0,000","-0,126","0,114","-0,009","0,101","0,169","0,000"
45,"-0,069","-0,028","0,000","0,125","0,485","-0,001","0,236","-0,232","-0,001","0,089","-0,074","0,000","0,161","-0,183","0,000","-0,125","0,084","-0,009","0,096","0,118","0,000"
46,"-0,063","-0,065","0,000","0,225","0,307","-0,001","0,399","-0,052","-0,001","-0,030","-0,280","0,000","0,042","-0,059","0,000","-0,189","0,085","-0,009","0,032","0,198","0,000"
47,"-0,063","-0,065","0,000","0,199","0,293","-0,001","0,373","-0,052","-0,001","-0,036","-0,267","0,000","0,032","-0,072","0,000","-0,189","0,071","-0,009","0,022","0,213","0,000"
48,"0,027","-0,006","0,000","0,177","0,293","-0,001","0,373","-0,126","-0,001","-0,031","-0,240","0,000","0,032","-0,059","0,000","-0,210","0,071","-0,009","0,000","0,213","0,000"
49,"-0,063","0,009","0,000","0,062","0,293","-0,001","0,236","-0,126","0,000","-0,036","-0,280","0,000","0,032","-0,036","0,000","-0,189","0,071","-0,009","0,022","0,190","0,000"
50,"-0,078","-0,006","0,000","0,187","0,293","-0,001","0,346","-0,125","-0,001","-0,090","-0,301","0,000","-0,016","0,007","0,000","-0,189","0,071","-0,009","0,032","0,189","0,000"
51,"0,439","-0,440","0,006","0,145","-0,024","0,000","0,248","0,247","-0,006","-0,375","0,057","-0,004","0,306","-0,554","0,005","0,093","-0,134","-0,009","0,578","0,616","-0,005"
