Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
629,"0,998","0,048","-0,040","-0,011","0,888","-0,453","-0,018","0,070","0,998","0,010","-0,056","-0,002","0,999","0,042","0,009","0,007","1,000","0,013","0,011","-0,017","0,979","-0,205","-0,015","-0,002","0,887","-0,452","0,074","-0,062"
630,"0,998","0,046","-0,039","-0,011","0,881","-0,467","-0,018","0,071","0,998","0,016","-0,060","-0,007","0,999","0,042","0,008","0,006","1,000","0,020","0,013","-0,016","0,980","-0,197","-0,016","-0,003","0,880","-0,464","0,078","-0,064"
631,"0,998","0,044","-0,038","-0,010","0,874","-0,481","-0,018","0,071","0,998","0,023","-0,064","-0,012","0,999","0,041","0,007","0,006","0,999","0,026","0,014","-0,016","0,982","-0,188","-0,017","-0,004","0,873","-0,476","0,082","-0,065"
632,"0,998","0,043","-0,037","-0,010","0,866","-0,494","-0,017","0,071","0,997","0,029","-0,068","-0,016","0,999","0,041","0,006","0,006","0,999","0,033","0,015","-0,014","0,984","-0,180","-0,017","-0,004","0,866","-0,488","0,086","-0,065"
633,"0,998","0,041","-0,035","-0,009","0,859","-0,507","-0,015","0,070","0,997","0,035","-0,072","-0,020","0,999","0,040","0,005","0,006","0,999","0,039","0,017","-0,012","0,985","-0,171","-0,018","-0,005","0,859","-0,500","0,089","-0,065"
634,"0,999","0,040","-0,034","-0,009","0,851","-0,520","-0,012","0,068","0,996","0,042","-0,075","-0,022","0,999","0,038","0,004","0,005","0,999","0,045","0,019","-0,009","0,986","-0,163","-0,019","-0,005","0,852","-0,512","0,091","-0,065"
635,"0,999","0,040","-0,033","-0,008","0,844","-0,532","-0,008","0,066","0,995","0,047","-0,079","-0,025","0,999","0,037","0,003","0,005","0,998","0,051","0,021","-0,006","0,988","-0,155","-0,020","-0,006","0,844","-0,524","0,093","-0,064"
636,"0,999","0,039","-0,032","-0,008","0,837","-0,544","-0,004","0,064","0,995","0,053","-0,082","-0,027","0,999","0,035","0,001","0,005","0,998","0,057","0,023","-0,002","0,989","-0,147","-0,021","-0,006","0,837","-0,536","0,093","-0,064"
637,"0,999","0,039","-0,031","-0,008","0,829","-0,556","0,001","0,062","0,994","0,059","-0,085","-0,029","0,999","0,034","-0,001","0,005","0,998","0,062","0,025","0,002","0,990","-0,139","-0,021","-0,007","0,829","-0,548","0,092","-0,062"
638,"0,999","0,039","-0,030","-0,008","0,821","-0,568","0,006","0,058","0,994","0,064","-0,089","-0,031","0,999","0,033","-0,003","0,005","0,997","0,067","0,027","0,005","0,991","-0,132","-0,022","-0,008","0,821","-0,560","0,090","-0,061"
639,"0,999","0,039","-0,030","-0,008","0,813","-0,579","0,012","0,055","0,993","0,070","-0,092","-0,033","0,999","0,032","-0,004","0,005","0,997","0,072","0,029","0,008","0,992","-0,125","-0,022","-0,008","0,813","-0,573","0,088","-0,059"
640,"0,999","0,038","-0,029","-0,008","0,806","-0,590","0,019","0,052","0,992","0,075","-0,096","-0,035","0,999","0,031","-0,005","0,006","0,996","0,077","0,032","0,010","0,993","-0,119","-0,022","-0,008","0,805","-0,585","0,084","-0,058"
641,"0,999","0,038","-0,029","-0,008","0,798","-0,601","0,025","0,048","0,991","0,080","-0,099","-0,037","0,999","0,031","-0,005","0,006","0,996","0,082","0,034","0,012","0,993","-0,113","-0,023","-0,008","0,797","-0,596","0,081","-0,055"
642,"0,999","0,038","-0,029","-0,008","0,790","-0,611","0,032","0,043","0,990","0,084","-0,102","-0,039","0,999","0,031","-0,005","0,006","0,995","0,087","0,036","0,013","0,994","-0,107","-0,023","-0,008","0,789","-0,608","0,078","-0,053"
