Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
691,"10,250","-12,580","-5,737","21,624","2,195","0,161","29,426","3,101","5,008","-20,267","-7,739","-11,910","95,514","0,592","-12,949","5,745","-7,390","1,603","33,222","5,748","5,474"
692,"10,408","-13,067","-6,120","21,520","2,412","0,314","29,123","3,023","5,215","-20,613","-7,633","-11,769","96,107","0,635","-13,037","5,812","-7,345","1,671","33,280","5,843","5,548"
693,"10,527","-13,806","-6,760","21,376","2,678","0,521","28,820","2,964","5,510","-21,095","-7,528","-11,609","96,699","0,685","-13,082","5,868","-7,306","1,751","33,335","5,950","5,637"
694,"10,551","-14,458","-7,642","21,255","3,000","0,849","28,535","2,826","5,877","-21,722","-7,452","-11,482","97,285","0,779","-13,082","5,916","-7,280","1,838","33,395","6,079","5,749"
695,"10,610","-14,964","-8,411","21,165","3,357","1,326","28,320","2,660","5,992","-22,422","-7,429","-11,440","97,863","0,928","-13,037","5,958","-7,269","1,925","33,470","6,217","5,875"
696,"10,647","-15,359","-8,868","21,139","3,664","1,930","28,211","2,589","5,673","-23,137","-7,436","-11,558","98,396","1,134","-12,915","5,989","-7,270","2,010","33,528","6,315","6,018"
697,"10,740","-15,502","-8,958","21,140","3,844","2,524","28,154","2,542","5,076","-23,831","-7,420","-11,813","98,888","1,358","-12,793","6,029","-7,345","2,103","33,594","6,466","6,109"
698,"10,821","-15,586","-8,976","21,186","3,909","2,915","28,171","2,569","4,662","-24,458","-7,334","-12,105","99,350","1,569","-12,701","6,074","-7,410","2,200","33,663","6,602","6,182"
699,"10,797","-15,639","-9,121","21,234","3,817","3,011","28,184","2,659","4,721","-25,022","-7,159","-12,377","99,799","1,774","-12,662","6,119","-7,448","2,295","33,747","6,713","6,248"
700,"10,765","-15,555","-9,208","21,257","3,578","2,801","28,169","2,751","5,070","-25,538","-6,907","-12,604","100,243","1,990","-12,682","6,153","-7,463","2,376","33,837","6,800","6,314"
701,"10,736","-15,481","-9,135","21,200","3,301","2,407","28,117","2,840","5,445","-25,967","-6,622","-12,763","100,687","2,218","-12,754","6,161","-7,461","2,430","33,911","6,865","6,367"
702,"10,700","-15,435","-9,014","21,162","3,144","2,002","28,027","2,848","5,744","-26,238","-6,381","-12,884","101,113","2,431","-12,853","6,215","-7,414","2,450","34,028","6,855","6,386"
703,"10,692","-15,300","-8,868","21,138","3,086","1,754","27,920","2,810","5,858","-26,344","-6,238","-12,987","101,528","2,586","-12,979","6,288","-7,385","2,444","34,163","6,801","6,319"
704,"10,685","-15,223","-8,722","21,137","3,151","1,706","27,824","2,742","5,754","-26,346","-6,178","-13,072","101,928","2,671","-13,120","6,368","-7,355","2,413","34,309","6,678","6,180"
705,"10,620","-15,090","-8,626","21,175","3,286","1,797","27,701","2,656","5,554","-26,293","-6,163","-13,137","102,325","2,721","-13,277","6,454","-7,317","2,374","34,471","6,520","6,014"
706,"10,557","-14,970","-8,521","21,235","3,370","1,940","27,602","2,698","5,349","-26,196","-6,166","-13,227","102,701","2,761","-13,475","6,544","-7,273","2,333","34,609","6,406","5,834"
707,"10,458","-14,983","-8,501","21,283","3,427","2,036","27,496","2,761","5,265","-26,077","-6,166","-13,387","103,078","2,818","-13,626","6,631","-7,225","2,292","34,759","6,298","5,678"
708,"10,389","-14,986","-8,505","21,342","3,461","2,059","27,419","2,809","5,287","-25,975","-6,143","-13,622","103,449","2,893","-13,723","6,699","-7,179","2,256","34,895","6,211","5,552"
709,"10,331","-15,016","-8,512","21,343","3,510","2,037","27,297","2,817","5,343","-25,916","-6,070","-13,902","103,809","2,988","-13,790","6,753","-7,131","2,223","35,014","6,143","5,470"
710,"10,286","-15,100","-8,553","21,316","3,580","2,049","27,198","2,822","5,383","-25,897","-5,956","-14,229","104,156","3,102","-13,817","6,771","-7,090","2,189","35,087","6,096","5,421"
711,"10,237","-15,202","-8,669","21,288","3,711","2,142","27,086","2,806","5,409","-25,923","-5,813","-14,574","104,488","3,205","-13,822","6,785","-7,048","2,154","35,143","6,057","5,384"
712,"10,202","-15,323","-8,782","21,303","3,783","2,322","27,026","2,761","5,357","-26,001","-5,678","-14,924","104,799","3,305","-13,816","6,815","-7,069","2,123","35,205","6,087","5,326"
713,"10,187","-15,423","-8,861","21,291","3,805","2,510","26,958","2,750","5,289","-26,124","-5,550","-15,266","105,075","3,416","-13,828","6,830","-7,107","2,094","35,222","6,151","5,294"
714,"10,192","-15,480","-8,905","21,277","3,798","2,656","26,884","2,747","5,242","-26,270","-5,437","-15,563","105,320","3,524","-13,876","6,853","-7,148","2,066","35,221","6,219","5,289"
