Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"0,085","-0,180","-0,213","0,026","0,033","-0,150","-0,280","0,269","-0,448","-0,113","-0,073","0,292","0,126","-0,316","-0,106","-0,391","0,046","-0,006","0,119","-0,228","0,416"
1,"0,084","-0,054","-0,161","-0,404","0,154","-0,109","-0,308","0,186","-0,620","-0,447","0,344","0,163","-0,589","-0,286","-0,283","-0,331","0,276","-0,106","0,491","-0,028","0,311"
2,"0,131","-0,003","-0,213","-0,169","0,412","-0,133","-0,367","0,065","-0,594","0,045","-0,006","0,271","-0,183","-0,189","-0,121","-0,453","0,197","-0,216","0,329","0,053","0,245"
3,"0,006","-0,054","-0,233","-0,044","0,282","-0,161","-0,239","0,119","-0,186","-0,063","0,141","0,277","-0,129","-0,161","-0,502","-0,331","0,207","-0,156","0,140","0,143","0,032"
4,"-0,054","0,066","-0,168","0,207","0,191","-0,077","-0,101","0,119","0,289","0,203","0,469","0,128","0,010","-0,129","-0,616","-0,331","0,267","-0,166","-0,004","0,171","-0,143"
5,"-0,271","0,311","-0,195","0,149","0,131","-0,057","0,050","0,081","0,457","0,113","-0,124","0,059","0,148","-0,157","-0,716","-0,148","0,146","-0,147","0,051","0,270","-0,045"
6,"-0,052","0,339","-0,329","-0,033","0,219","0,050","-0,002","0,210","0,511","0,023","-0,117","0,114","-0,783","0,083","0,167","-0,269","0,286","-0,046","-0,153","0,188","-0,038"
7,"-0,331","0,432","-0,130","-0,032","0,143","0,009","-0,001","0,089","0,526","-0,134","-0,183","0,135","-0,617","0,235","0,279","0,218","0,377","-0,248","-0,190","0,107","0,064"
8,"-0,114","0,187","-0,104","-0,100","0,239","-0,082","0,190","0,034","0,565","0,013","-0,676","0,035","-0,505","0,252","0,355","0,035","0,336","-0,117","-0,092","-0,046","0,087"
9,"-0,021","0,289","-0,207","-0,099","0,163","-0,123","0,196","0,210","0,977","-0,119","-0,164","-0,046","-0,290","0,136","0,162","0,340","0,276","-0,109","-0,081","0,115","0,146"
10,"0,045","0,335","-0,174","-0,037","0,183","-0,067","0,306","0,322","0,882","0,220","0,013","-0,122","0,210","0,115","0,113","0,523","0,206","-0,160","-0,089","0,260","0,005"
11,"0,189","0,129","-0,173","0,081","0,227","-0,148","0,288","0,260","0,395","0,162","-0,226","-0,255","0,244","0,055","-0,121","0,401","0,225","-0,039","-0,052","0,342","-0,097"
12,"0,220","0,079","-0,051","0,142","0,229","-0,151","0,123","0,055","-0,237","0,008","0,367","-0,247","0,554","0,046","-0,136","0,584","0,155","-0,091","-0,090","0,604","-0,301"
13,"-0,119","0,166","0,161","0,265","0,327","-0,057","0,075","0,016","-0,535","0,087","0,400","-0,258","0,796","-0,056","-0,520","0,524","0,195","0,150","0,498","0,632","-0,356"
14,"0,137","0,038","-0,167","-0,022","-0,014","0,121","0,113","0,047","-0,296","-0,001","0,341","-0,394","0,830","-0,010","-0,336","0,584","0,155","-0,091","0,189","0,505","-0,207"
15,"0,241","0,347","-0,128","-0,006","-0,194","0,367","0,110","0,080","0,447","-0,104","0,264","-0,349","0,237","0,129","-0,077","0,462","0,165","-0,030","0,050","0,082","-0,159"
16,"0,183","0,215","-0,167","-0,244","-0,147","0,552","0,169","0,066","0,813","-0,148","0,425","-0,172","-0,187","0,168","0,296","0,645","0,045","-0,011","-0,023","0,036","-0,149"
17,"0,229","0,266","-0,218","-0,253","0,009","0,440","0,051","-0,040","0,472","-0,103","0,171","0,072","-0,462","0,330","0,913","0,523","0,095","-0,081","-0,223","-0,152","-0,226"
18,"0,077","0,032","-0,155","-0,080","0,172","0,321","-0,048","-0,071","0,243","0,018","-0,301","0,197","-0,910","0,473","1,447","0,462","0,045","-0,010","-0,090","0,072","-0,108"
19,"0,281","-0,042","-0,115","-0,025","0,290","0,283","-0,047","-0,131","0,251","0,008","-0,544","0,417","-1,127","0,259","0,834","0,462","0,095","-0,080","-0,078","-0,062","-0,247"
20,"0,154","0,159","-0,031","0,027","0,373","0,128","-0,088","-0,176","0,388","0,205","-0,508","0,602","-0,342","0,226","0,512","0,157","0,206","-0,158","-0,167","0,064","-0,323"
21,"-0,174","0,181","-0,091","-0,216","0,289","0,098","-0,010","0,021","0,474","0,222","-0,364","0,474","-0,420","0,149","0,203","-0,025","0,175","0,033","-0,082","0,045","-0,163"
22,"-0,040","-0,105","-0,181","0,024","0,185","-0,070","-0,129","-0,099","0,509","0,111","-0,467","0,372","-0,403","-0,093","-0,750","-0,025","0,115","0,043","0,051","-0,332","-0,161"
23,"0,024","0,067","-0,097","-0,095","0,199","-0,006","-0,271","-0,067","0,777","0,116","-0,283","0,289","-0,039","-0,074","-1,146","-0,086","0,055","0,053","-0,004","-0,360","0,050"
24,"0,036","0,021","-0,058","-0,275","0,059","-0,021","-0,180","-0,030","0,571","-0,048","-0,441","-0,028","0,487","-0,034","-0,952","-0,147","-0,065","0,073","-0,157","-0,306","-0,071"
25,"0,108","-0,018","-0,032","-0,150","0,004","-0,008","-0,200","-0,046","0,451","-0,047","-0,031","-0,150","0,823","-0,088","-1,143","-0,330","-0,005","0,064","-0,013","-0,334","0,104"
26,"0,135","-0,361","-0,058","0,028","-0,026","-0,133","-0,137","-0,093","0,074","0,019","0,326","-0,292","0,908","-0,191","-1,295","-0,209","-0,145","-0,038","-0,077","-0,406","0,060"
27,"0,226","-0,406","0,052","0,148","-0,040","-0,196","-0,106","-0,117","-0,115","0,074","0,315","-0,268","0,456","-0,285","-0,702","-0,270","-0,215","-0,088","-0,066","-0,244","0,120"
28,"0,219","-0,320","0,059","0,103","-0,221","0,052","-0,065","-0,193","-0,236","0,063","0,765","-0,345","-0,233","-0,193","-0,636","-0,453","-0,114","-0,227","0,056","-0,251","-0,132"
29,"0,103","-0,185","-0,129","0,584","0,063","0,077","-0,005","-0,194","-0,246","0,452","0,746","-0,314","-0,595","-0,153","-0,254","-0,393","-0,064","-0,297","0,092","-0,288","-0,039"
30,"0,138","-0,088","-0,219","-0,028","-0,068","-0,054","-0,045","-0,043","-0,508","0,023","0,794","-0,550","-0,741","0,055","0,307","-0,271","-0,174","-0,218","0,250","-0,261","0,111"
31,"0,071","0,118","-0,148","-0,084","-0,186","-0,016","-0,236","0,011","-0,546","-0,134","0,728","-0,530","-0,377","0,227","0,761","-0,210","-0,114","-0,228","0,412","-0,342","0,178"
32,"0,000","0,031","-0,226","-0,023","-0,184","-0,018","-0,185","-0,057","-0,608","-0,041","0,562","-0,354","-0,015","0,387","1,664","-0,026","-0,225","-0,149","0,090","-0,406","0,156"
33,"0,072","-0,008","-0,200","-0,031","-0,010","-0,072","0,014","0,077","-0,533","-0,223","0,042","-0,177","-0,189","0,415","2,012","0,279","-0,206","-0,030","0,387","-0,488","0,451"
34,"0,118","0,043","-0,251","0,094","-0,064","-0,059","0,085","-0,037","-0,468","-0,240","-0,102","-0,050","0,044","0,329","1,687","0,401","-0,215","-0,091","-0,018","-0,344","0,383"
35,"0,149","-0,008","-0,129","0,159","-0,273","-0,125","0,274","0,030","-0,445","-0,356","-0,264","-0,015","-0,019","0,103","1,291","0,218","-0,095","-0,110","0,107","0,025","0,359"
36,"0,118","0,043","-0,251","0,162","-0,237","-0,008","0,093","0,092","-0,423","-0,167","-0,253","0,023","0,007","-0,048","0,697","0,157","-0,155","-0,100","0,236","0,286","0,252"
