Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
29,"61,216","9,396","-6,789","-9,438","7,033","1,243","-13,174","-8,938","0,160","69,290","14,750","-7,363","-14,987","1,606","0,184","9,244","1,362","-0,199","-16,688","-1,496","-0,472"
30,"61,277","9,371","-6,779","-9,384","6,996","1,220","-13,104","-8,912","0,171","69,315","14,772","-7,424","-14,976","1,542","0,191","9,260","1,341","-0,194","-16,655","-1,444","-0,453"
31,"61,297","9,355","-6,779","-9,332","6,962","1,210","-13,039","-8,945","0,168","69,329","14,792","-7,484","-15,006","1,530","0,207","9,261","1,309","-0,186","-16,675","-1,429","-0,447"
32,"61,349","9,312","-6,752","-9,365","6,976","1,224","-12,996","-8,953","0,166","69,346","14,798","-7,486","-15,015","1,463","0,194","9,217","1,294","-0,179","-16,728","-1,383","-0,427"
33,"61,397","9,258","-6,720","-9,407","6,943","1,220","-12,983","-8,928","0,180","69,371","14,840","-7,518","-15,049","1,420","0,175","9,193","1,262","-0,169","-16,776","-1,341","-0,416"
34,"61,413","9,209","-6,693","-9,423","6,883","1,207","-12,930","-8,879","0,191","69,412","14,875","-7,534","-15,036","1,442","0,164","9,162","1,237","-0,158","-16,825","-1,327","-0,411"
35,"61,461","9,145","-6,669","-9,455","6,826","1,204","-12,891","-8,835","0,207","69,463","14,902","-7,559","-15,012","1,432","0,158","9,129","1,214","-0,148","-16,872","-1,297","-0,396"
36,"61,509","9,059","-6,641","-9,502","6,837","1,217","-12,865","-8,844","0,238","69,472","14,896","-7,548","-14,974","1,401","0,158","9,092","1,195","-0,136","-16,908","-1,253","-0,374"
37,"61,567","8,997","-6,638","-9,572","6,813","1,205","-12,863","-8,842","0,283","69,487","14,885","-7,539","-14,963","1,375","0,166","9,056","1,175","-0,127","-16,962","-1,220","-0,364"
38,"61,625","8,962","-6,653","-9,609","6,768","1,187","-12,830","-8,823","0,313","69,517","14,925","-7,593","-14,979","1,346","0,161","9,015","1,162","-0,121","-17,038","-1,202","-0,359"
39,"61,642","8,984","-6,710","-9,649","6,715","1,170","-12,840","-8,828","0,322","69,464","14,921","-7,584","-15,046","1,323","0,158","8,984","1,135","-0,114","-17,101","-1,167","-0,345"
40,"61,678","8,960","-6,679","-9,625","6,659","1,152","-12,775","-8,799","0,318","69,524","14,933","-7,590","-15,017","1,282","0,141","8,977","1,103","-0,109","-17,112","-1,107","-0,314"
41,"0,640","-0,394","0,002","0,041","-0,358","0,001","0,757","0,256","0,001","-1,032","0,832","0,001","-0,639","-0,904","0,013","-0,093","-0,376","0,110","0,494","1,040","-0,007"
42,"0,640","-0,397","0,002","-0,041","-0,512","0,000","0,676","0,259","0,001","0,377","0,743","0,000","0,123","-0,181","-0,001","-0,093","-0,529","0,110","-0,421","0,471","0,003"
43,"0,601","-0,397","0,001","-0,041","-0,514","0,000","0,842","0,259","0,002","0,262","0,684","0,000","0,122","-0,233","-0,001","-0,093","-0,531","0,110","-0,422","0,312","0,003"
44,"0,511","-0,397","0,001","-0,148","-0,439","0,000","0,676","0,259","0,001","0,051","0,730","0,000","0,221","-0,180","0,000","-0,200","-0,456","0,110","-0,104","0,398","0,000"
