Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
121,"0,192","0,066","0,007","-0,148","-0,031","0,046","0,219","0,057","-0,044","0,267","-0,317","-0,081","-0,185","0,089","-0,043","-0,098","0,024","0,155","-0,266","0,017","0,029"
122,"0,127","0,074","0,007","-0,161","0,028","0,049","0,198","0,033","-0,047","0,234","-0,258","-0,083","-0,174","0,059","-0,041","-0,124","0,049","0,154","-0,259","-0,008","0,030"
123,"0,156","0,016","0,007","-0,128","0,058","0,052","0,202","0,033","-0,049","0,240","-0,250","-0,085","-0,228","0,072","-0,041","-0,091","0,047","0,153","-0,251","-0,037","0,033"
124,"0,190","0,008","0,006","-0,176","0,104","0,054","0,199","0,038","-0,046","0,228","-0,215","-0,087","-0,188","0,020","-0,042","-0,123","0,065","0,151","-0,263","-0,033","0,036"
125,"0,145","0,043","0,003","-0,199","0,082","0,057","0,199","0,040","-0,046","0,241","-0,206","-0,088","-0,192","0,025","-0,044","-0,158","0,078","0,150","-0,289","-0,085","0,039"
126,"0,111","0,027","0,001","-0,146","0,052","0,058","0,193","0,050","-0,044","0,233","-0,158","-0,088","-0,169","0,033","-0,044","-0,127","0,078","0,150","-0,255","-0,123","0,041"
127,"0,177","0,028","0,001","-0,095","0,049","0,060","0,253","0,062","-0,046","0,199","-0,145","-0,090","-0,168","0,033","-0,045","-0,102","0,097","0,149","-0,223","-0,178","0,042"
128,"0,160","0,058","0,000","-0,145","-0,002","0,061","0,192","0,088","-0,045","0,202","-0,135","-0,091","-0,196","0,046","-0,047","-0,125","0,071","0,149","-0,246","-0,187","0,044"
129,"0,171","0,092","0,003","-0,150","-0,037","0,060","0,197","0,096","-0,049","0,262","-0,103","-0,089","-0,166","0,065","-0,049","-0,099","0,053","0,150","-0,222","-0,204","0,046"
130,"0,177","0,123","0,006","-0,123","-0,084","0,059","0,229","0,118","-0,054","0,295","-0,113","-0,087","-0,134","0,077","-0,049","-0,070","0,040","0,153","-0,190","-0,226","0,047"
131,"0,153","0,100","0,010","-0,120","-0,100","0,060","0,166","0,119","-0,060","0,295","-0,120","-0,086","-0,097","0,098","-0,047","-0,036","0,036","0,153","-0,154","-0,256","0,045"
132,"0,168","0,121","0,013","-0,119","-0,093","0,060","0,122","0,064","-0,064","0,295","-0,123","-0,085","-0,074","0,118","-0,045","-0,011","0,016","0,154","-0,140","-0,266","0,043"
133,"0,200","0,173","0,017","-0,093","-0,049","0,060","0,146","0,011","-0,070","0,226","-0,117","-0,086","-0,131","0,134","-0,042","0,021","0,024","0,155","-0,132","-0,294","0,042"
134,"0,229","0,133","0,018","-0,129","-0,058","0,062","0,154","-0,008","-0,073","0,230","-0,089","-0,085","-0,122","0,146","-0,040","0,013","-0,009","0,155","-0,166","-0,278","0,039"
135,"0,292","0,155","0,018","-0,188","-0,080","0,062","0,164","0,018","-0,072","0,230","-0,135","-0,084","-0,091","0,198","-0,036","-0,023","-0,004","0,154","-0,197","-0,311","0,034"
136,"0,314","0,131","0,018","-0,185","-0,080","0,062","0,171","0,021","-0,071","0,216","-0,141","-0,085","-0,118","0,238","-0,032","-0,037","-0,034","0,154","-0,245","-0,284","0,031"
137,"0,316","0,130","0,017","-0,249","-0,078","0,061","0,153","0,003","-0,068","0,204","-0,134","-0,085","-0,171","0,279","-0,027","-0,068","-0,018","0,155","-0,306","-0,314","0,029"
138,"0,315","0,131","0,011","-0,254","-0,092","0,058","0,208","0,043","-0,060","0,228","-0,083","-0,085","-0,137","0,226","-0,023","-0,103","-0,015","0,156","-0,334","-0,279","0,029"
139,"0,292","0,190","0,007","-0,193","-0,090","0,054","0,215","0,034","-0,056","0,218","-0,108","-0,085","-0,171","0,190","-0,019","-0,075","0,002","0,158","-0,305","-0,255","0,029"
140,"0,354","0,210","0,008","-0,184","-0,067","0,050","0,275","0,016","-0,054","0,205","-0,159","-0,085","-0,234","0,200","-0,017","-0,100","0,028","0,162","-0,364","-0,267","0,030"
141,"0,340","0,191","0,009","-0,185","-0,047","0,045","0,261","0,037","-0,054","0,199","-0,195","-0,085","-0,300","0,202","-0,016","-0,068","0,040","0,165","-0,366","-0,261","0,032"
142,"0,390","0,176","0,011","-0,252","-0,055","0,042","0,245","0,072","-0,054","0,205","-0,187","-0,085","-0,310","0,136","-0,016","-0,102","0,038","0,169","-0,393","-0,221","0,034"
143,"0,383","0,122","0,011","-0,197","-0,021","0,041","0,242","0,068","-0,054","0,202","-0,169","-0,082","-0,316","0,109","-0,018","-0,070","0,047","0,171","-0,332","-0,210","0,035"
144,"0,319","0,104","0,011","-0,252","0,008","0,043","0,192","0,046","-0,056","0,180","-0,222","-0,083","-0,292","0,110","-0,015","-0,109","0,047","0,173","-0,353","-0,176","0,035"
145,"0,274","0,156","0,015","-0,224","0,060","0,041","0,165","-0,011","-0,059","0,114","-0,235","-0,083","-0,332","0,096","-0,013","-0,081","0,068","0,176","-0,336","-0,160","0,035"
146,"0,280","0,172","0,016","-0,166","0,052","0,040","0,167","-0,040","-0,061","0,133","-0,206","-0,082","-0,325","0,077","-0,012","-0,054","0,051","0,179","-0,336","-0,120","0,037"
147,"0,262","0,142","0,017","-0,157","0,011","0,039","0,163","-0,028","-0,062","0,165","-0,252","-0,081","-0,266","0,069","-0,009","-0,076","0,025","0,182","-0,329","-0,074","0,038"
148,"0,264","0,129","0,016","-0,164","-0,001","0,037","0,153","0,001","-0,064","0,140","-0,294","-0,080","-0,274","0,057","-0,009","-0,107","0,042","0,187","-0,333","-0,069","0,043"
149,"0,278","0,107","0,017","-0,207","-0,038","0,035","0,178","0,032","-0,068","0,178","-0,237","-0,081","-0,258","0,003","-0,009","-0,140","0,041","0,192","-0,376","-0,035","0,050"
150,"0,319","0,080","0,019","-0,228","-0,082","0,033","0,223","0,057","-0,071","0,185","-0,251","-0,080","-0,254","0,038","-0,011","-0,171","0,032","0,196","-0,376","-0,038","0,056"
151,"0,313","0,056","0,017","-0,277","-0,116","0,032","0,170","0,086","-0,069","0,162","-0,265","-0,079","-0,217","0,080","-0,013","-0,200","0,026","0,198","-0,372","-0,041","0,059"
152,"0,343","0,079","0,017","-0,238","-0,174","0,034","0,186","0,079","-0,070","0,121","-0,222","-0,079","-0,221","0,089","-0,016","-0,181","-0,004","0,198","-0,324","-0,030","0,060"
153,"0,372","0,071","0,018","-0,231","-0,223","0,036","0,189","0,083","-0,072","0,093","-0,281","-0,080","-0,240","0,148","-0,018","-0,152","-0,023","0,197","-0,293","-0,044","0,061"
154,"0,372","0,073","0,021","-0,229","-0,280","0,038","0,138","0,126","-0,077","0,114","-0,291","-0,079","-0,238","0,144","-0,020","-0,131","-0,050","0,197","-0,264","0,018","0,063"
155,"0,321","0,101","0,025","-0,239","-0,329","0,039","0,140","0,126","-0,083","0,051","-0,274","-0,084","-0,282","0,099","-0,021","-0,159","-0,069","0,197","-0,304","0,071","0,067"
156,"0,338","0,115","0,029","-0,200","-0,348","0,039","0,176","0,180","-0,086","0,076","-0,208","-0,088","-0,237","0,092","-0,021","-0,129","-0,055","0,196","-0,246","0,033","0,071"
157,"0,299","0,103","0,029","-0,199","-0,347","0,042","0,138","0,190","-0,087","0,131","-0,171","-0,088","-0,247","0,058","-0,023","-0,117","-0,022","0,194","-0,268","0,006","0,072"
158,"0,313","0,159","0,028","-0,238","-0,354","0,041","0,152","0,201","-0,086","0,121","-0,109","-0,092","-0,257","0,057","-0,021","-0,144","0,004","0,194","-0,312","-0,055","0,072"
159,"0,275","0,099","0,030","-0,297","-0,315","0,039","0,105","0,212","-0,086","0,138","-0,125","-0,094","-0,236","0,074","-0,020","-0,175","0,023","0,194","-0,352","-0,111","0,074"
160,"0,313","0,118","0,032","-0,332","-0,306","0,037","0,088","0,205","-0,086","0,115","-0,117","-0,092","-0,221","0,081","-0,022","-0,184","0,055","0,195","-0,353","-0,182","0,075"
161,"0,270","0,113","0,031","-0,287","-0,307","0,035","0,097","0,263","-0,086","0,158","-0,086","-0,087","-0,191","0,088","-0,026","-0,163","0,081","0,195","-0,318","-0,247","0,074"
162,"0,231","0,070","0,031","-0,303","-0,238","0,035","0,091","0,265","-0,085","0,138","-0,092","-0,084","-0,195","0,096","-0,027","-0,176","0,115","0,195","-0,322","-0,318","0,071"
163,"0,232","0,075","0,033","-0,266","-0,217","0,035","0,128","0,251","-0,087","0,115","-0,158","-0,082","-0,185","0,163","-0,024","-0,146","0,102","0,194","-0,282","-0,336","0,065"
164,"0,250","0,030","0,034","-0,235","-0,213","0,036","0,176","0,230","-0,088","0,100","-0,169","-0,081","-0,185","0,218","-0,019","-0,131","0,072","0,192","-0,283","-0,328","0,058"
165,"0,313","0,014","0,035","-0,243","-0,208","0,035","0,200","0,193","-0,090","0,074","-0,205","-0,082","-0,204","0,230","-0,015","-0,129","0,037","0,191","-0,314","-0,271","0,053"
166,"0,273","0,026","0,038","-0,250","-0,206","0,031","0,154","0,180","-0,093","0,057","-0,267","-0,081","-0,258","0,241","-0,011","-0,117","0,004","0,193","-0,335","-0,221","0,050"
167,"0,208","0,031","0,044","-0,278","-0,161","0,025","0,129","0,149","-0,097","0,116","-0,280","-0,085","-0,259","0,247","-0,004","-0,152","0,005","0,195","-0,401","-0,234","0,049"
168,"0,247","0,041","0,051","-0,260","-0,088","0,017","0,156","0,130","-0,101","0,126","-0,213","-0,087","-0,246","0,184","0,000","-0,134","0,036","0,198","-0,376","-0,230","0,050"
169,"0,247","0,042","0,056","-0,252","-0,054","0,009","0,098","0,099","-0,104","0,126","-0,149","-0,087","-0,259","0,125","0,001","-0,100","0,043","0,201","-0,364","-0,209","0,051"
170,"0,284","0,097","0,060","-0,238","0,000","0,002","0,144","0,052","-0,105","0,099","-0,144","-0,083","-0,233","0,084","-0,003","-0,115","0,074","0,204","-0,345","-0,232","0,051"
171,"0,293","0,143","0,062","-0,212","-0,020","-0,004","0,122","0,064","-0,108","0,098","-0,145","-0,076","-0,243","0,120","-0,011","-0,086","0,090","0,207","-0,294","-0,274","0,053"
172,"0,288","0,133","0,068","-0,173","-0,073","-0,012","0,104","0,086","-0,111","0,121","-0,185","-0,070","-0,227","0,155","-0,014","-0,059","0,073","0,210","-0,286","-0,283","0,052"
173,"0,232","0,159","0,075","-0,164","-0,092","-0,022","0,052","0,122","-0,115","0,068","-0,216","-0,065","-0,263","0,186","-0,019","-0,032","0,088","0,214","-0,261","-0,328","0,053"
174,"0,255","0,133","0,083","-0,208","-0,103","-0,035","0,071","0,149","-0,118","0,049","-0,155","-0,056","-0,282","0,174","-0,025","-0,063","0,110","0,220","-0,315","-0,371","0,056"
175,"0,239","0,065","0,090","-0,226","-0,102","-0,049","0,053","0,215","-0,120","0,105","-0,125","-0,049","-0,287","0,170","-0,030","-0,079","0,141","0,225","-0,371","-0,399","0,057"
176,"0,192","0,073","0,099","-0,235","-0,110","-0,061","0,051","0,257","-0,126","0,071","-0,173","-0,043","-0,287","0,181","-0,032","-0,115","0,152","0,231","-0,375","-0,404","0,056"
177,"0,169","0,046","0,103","-0,269","-0,123","-0,072","0,037","0,271","-0,127","0,120","-0,184","-0,039","-0,235","0,203","-0,034","-0,120","0,117","0,236","-0,348","-0,361","0,056"
178,"0,161","-0,024","0,104","-0,248","-0,103","-0,080","0,031","0,264","-0,124","0,062","-0,164","-0,035","-0,240","0,189","-0,036","-0,094","0,092","0,238","-0,291","-0,311","0,055"
179,"0,219","-0,052","0,102","-0,204","-0,083","-0,085","0,076","0,242","-0,119","0,089","-0,198","-0,033","-0,230","0,186","-0,034","-0,066","0,070","0,240","-0,251","-0,245","0,052"
