Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z
0,"-0,001","0,000","0,943","0,000","-0,002","1,023","0,004","-0,007","1,000","-0,001","0,001","0,961","0,001","0,003","1,018","-0,002","-0,002","1,006","0,001","0,000","1,059"
1,"0,003","0,006","0,954","-0,001","0,004","1,023","-0,002","-0,001","1,000","0,003","0,004","0,960","0,000","-0,002","1,020","-0,002","0,000","1,002","0,004","0,000","1,060"
2,"-0,003","0,001","0,946","0,000","-0,004","1,021","0,000","0,001","1,009","-0,001","-0,003","0,951","0,003","-0,004","1,023","-0,004","-0,005","1,004","0,003","0,006","1,057"
3,"0,000","0,001","0,951","0,000","0,004","1,021","0,001","0,004","1,005","0,000","-0,001","0,956","-0,004","0,005","1,017","0,000","-0,001","1,004","0,000","0,005","1,061"
4,"0,001","0,005","0,943","-0,003","0,002","1,021","-0,001","0,002","0,999","0,001","0,002","0,958","-0,003","-0,004","1,019","0,000","0,000","1,003","-0,002","0,005","1,062"
5,"-0,001","0,000","0,948","-0,004","0,005","1,024","0,002","0,004","1,005","0,002","-0,002","0,958","-0,001","-0,001","1,023","0,000","-0,003","1,003","0,001","0,001","1,062"
6,"-0,002","0,004","0,945","-0,004","0,002","1,022","-0,002","-0,002","1,003","-0,001","-0,005","0,954","0,003","-0,002","1,019","0,000","-0,003","1,002","-0,006","0,009","1,062"
7,"-0,005","0,001","0,951","-0,003","0,002","1,022","-0,002","0,002","1,002","-0,001","0,002","0,953","-0,002","-0,003","1,017","0,002","-0,001","1,004","0,004","0,000","1,060"
8,"0,000","0,002","0,949","-0,004","0,008","1,018","0,004","0,000","1,000","0,000","0,002","0,958","-0,006","-0,002","1,022","-0,004","0,002","1,007","0,002","-0,001","1,061"
9,"0,000","0,000","0,948","0,002","0,004","1,017","-0,003","0,001","1,004","0,001","0,001","0,959","-0,011","0,002","1,019","0,001","-0,002","1,005","-0,001","0,001","1,063"
