Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"-1,164","0,245","0,018","0,165","0,582","-0,500","-0,146","-0,107","-1,471","-0,629","0,441","-0,381","0,194","0,628","0,443","-0,311","0,197","-0,068","0,056","2,115","-0,649"
1,"-1,109","-0,237","0,099","-0,079","0,517","-0,670","0,319","0,077","-1,392","-0,704","0,366","0,000","-0,842","0,805","1,070","-0,432","0,107","0,133","0,172","2,134","-0,580"
2,"-0,896","-0,486","0,125","-0,016","0,225","-0,759","0,530","0,629","-0,860","-0,514","0,219","0,331","-1,148","0,322","0,783","-0,432","-0,015","0,282","-0,295","1,671","-0,533"
3,"-0,767","-0,074","0,004","0,226","0,379","-0,880","0,703","0,714","-0,668","-0,229","0,030","0,555","-0,718","0,066","0,861","-0,371","-0,100","0,262","-0,046","1,023","-0,402"
4,"-0,419","0,003","-0,099","0,288","0,223","-0,954","0,461","0,839","-0,659","-0,059","-0,122","0,559","-0,200","-0,449","0,461","-0,432","-0,132","0,211","0,445","0,630","-0,101"
5,"-0,273","0,407","-0,136","0,109","0,076","-0,639","0,429","0,867","-0,257","-0,317","-0,237","0,690","-0,009","-0,955","-0,213","-0,372","-0,300","0,172","1,032","0,317","-0,035"
6,"-0,176","0,635","-0,179","-0,075","0,209","-0,623","0,232","0,927","0,241","-0,612","-0,152","0,638","0,170","-0,413","1,212","-0,434","-0,293","-0,048","1,072","0,149","0,050"
7,"-0,263","0,683","-0,291","-0,195","0,135","-0,465","-0,060","0,848","0,076","-0,567","-0,535","0,903","-0,285","-0,086","1,654","-0,496","-0,274","-0,131","0,776","0,224","-0,012"
8,"0,010","0,439","-0,275","-0,255","0,098","-0,387","-0,123","0,660","-0,711","-0,092","-0,648","0,604","-0,323","-0,456","1,216","-0,557","-0,119","-0,228","0,805","0,524","-0,087"
9,"0,012","-0,060","-0,495","-0,014","0,351","-0,415","-0,184","0,397","-1,196","-0,572","-0,996","0,322","-0,910","-0,400","1,007","-0,496","-0,099","-0,312","0,915","0,488","0,008"
