Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
0,"75,175","2,270","0,551","-4,432","10,389","1,694","-3,164","-6,312","-0,552","81,119","9,639","-4,420","-8,161","0,776","0,206","13,425","1,522","-0,179","-13,751","-0,416","-0,289"
1,"75,680","2,283","0,551","-3,999","10,388","1,688","-2,655","-6,310","-0,621","81,709","9,463","-4,598","-8,118","0,664","0,171","13,857","1,519","-0,185","-13,798","-0,666","-0,353"
2,"75,680","2,283","0,551","-3,995","10,264","1,664","-2,655","-6,310","-0,621","81,458","9,588","-4,733","-8,210","0,556","0,153","13,857","1,393","-0,169","-13,890","-0,547","-0,310"
3,"75,492","2,169","0,557","-3,782","9,879","1,570","-2,583","-6,001","-0,581","81,648","9,557","-4,659","-8,210","0,651","0,169","13,723","1,388","-0,167","-14,023","-0,542","-0,310"
4,"75,561","2,167","0,566","-3,768","9,479","1,493","-2,526","-5,991","-0,587","82,203","9,602","-4,687","-7,841","1,052","0,212","13,723","0,984","-0,118","-14,277","-0,568","-0,269"
5,"75,446","2,087","0,478","-3,857","9,476","1,475","-2,430","-6,171","-0,611","82,175","9,594","-4,669","-7,737","0,642","0,168","13,411","0,984","-0,116","-14,483","-0,155","-0,167"
6,"75,473","2,173","0,547","-3,851","9,324","1,445","-2,392","-6,018","-0,596","82,175","9,594","-4,669","-7,743","0,642","0,168","13,411","0,816","-0,096","-14,488","0,002","-0,106"
7,"75,419","2,235","0,388","-3,784","9,296","1,426","-2,283","-6,160","-0,620","81,883","9,585","-4,653","-7,939","0,657","0,171","13,309","0,814","-0,095","-14,509","0,006","-0,105"
8,"75,436","2,236","0,388","-3,793","9,206","1,410","-2,291","-6,179","-0,621","81,914","9,586","-4,654","-7,920","0,659","0,171","13,309","0,702","-0,082","-14,509","0,110","-0,065"
9,"75,439","2,247","0,332","-3,817","9,296","1,427","-2,278","-6,229","-0,629","81,622","9,565","-4,601","-8,203","0,495","0,159","13,276","0,813","-0,095","-14,542","0,219","-0,053"
10,"75,589","2,296","0,283","-4,033","9,544","1,460","-2,612","-6,510","-0,622","81,067","9,455","-4,426","-8,748","0,261","0,083","13,396","1,124","-0,164","-14,635","0,158","-0,072"
11,"75,510","2,288","0,325","-4,296","9,830","1,518","-2,870","-6,158","-0,473","81,002","9,474","-4,464","-8,760","0,230","0,060","13,468","1,446","-0,238","-14,246","-0,130","-0,199"
12,"75,498","2,243","0,420","-3,879","9,940","1,532","-2,490","-6,219","-0,546","81,144","9,556","-4,615","-8,482","0,631","0,179","13,742","1,256","-0,191","-14,010","-0,264","-0,244"
13,"75,328","2,202","0,487","-3,919","10,125","1,610","-2,402","-6,614","-0,682","81,643","9,673","-4,826","-7,947","0,409","0,071","13,408","1,301","-0,205","-14,129","-0,077","-0,123"
14,"75,358","2,184","0,525","-3,527","9,864","1,550","-2,182","-6,358","-0,678","82,051","9,564","-4,611","-7,732","0,648","0,123","13,460","0,971","-0,130","-14,176","-0,072","-0,082"
15,"74,807","2,199","0,452","-2,904","9,980","1,593","-2,182","-6,238","-0,665","81,737","9,797","-5,092","-7,953","0,098","-0,103","13,764","1,114","-0,169","-13,860","0,092","0,049"
