Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
78,"-0,150","0,089","-0,068","-0,045","0,331","-0,064","-0,017","-0,295","0,046","0,555","0,413","0,231","-0,303","-0,150","-0,176","-0,436","0,076","0,103","-0,653","-0,222","-0,023"
79,"-0,104","0,076","-0,070","0,028","0,331","-0,052","0,033","-0,258","0,032","0,524","0,390","0,235","-0,268","-0,115","-0,177","-0,401","0,085","0,108","-0,584","-0,235","-0,021"
80,"-0,090","0,085","-0,073","0,079","0,318","-0,035","0,064","-0,209","0,013","0,463","0,394","0,236","-0,272","-0,100","-0,180","-0,367","0,095","0,113","-0,518","-0,242","-0,016"
81,"-0,144","0,122","-0,072","0,121","0,284","-0,025","0,050","-0,213","-0,001","0,458","0,388","0,234","-0,283","-0,117","-0,178","-0,331","0,091","0,116","-0,453","-0,220","-0,011"
82,"-0,128","0,168","-0,068","0,179","0,265","-0,020","0,059","-0,247","-0,010","0,429","0,425","0,237","-0,301","-0,147","-0,178","-0,298","0,073","0,117","-0,398","-0,176","-0,013"
83,"-0,166","0,145","-0,062","0,155","0,195","-0,024","-0,005","-0,222","-0,014","0,383","0,372","0,240","-0,281","-0,128","-0,173","-0,299","0,038","0,117","-0,359","-0,131","-0,019"
84,"-0,211","0,144","-0,052","0,152","0,122","-0,031","-0,042","-0,212","-0,014","0,378","0,369","0,238","-0,216","-0,095","-0,168","-0,293","0,004","0,114","-0,314","-0,114","-0,027"
85,"-0,216","0,144","-0,041","0,126","0,119","-0,043","-0,091","-0,233","-0,010","0,342","0,393","0,237","-0,199","-0,103","-0,163","-0,310","-0,024","0,112","-0,309","-0,113","-0,033"
86,"-0,287","0,126","-0,041","0,112","0,141","-0,054","-0,112","-0,255","0,008","0,339","0,347","0,238","-0,213","-0,051","-0,167","-0,342","-0,029","0,108","-0,324","-0,136","-0,035"
87,"-0,341","0,086","-0,047","0,174","0,121","-0,058","-0,107","-0,255","0,026","0,330","0,387","0,240","-0,173","-0,047","-0,181","-0,323","-0,058","0,102","-0,288","-0,136","-0,029"
