Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z
0,"0,000","-0,007","0,944","0,003","0,004","0,955","0,006","-0,001","1,010","-0,004","0,000","0,960","-0,007","0,002","1,048","-0,001","-0,004","1,018","-0,010","-0,005","0,890"
1,"-0,001","0,005","0,953","0,001","0,003","0,951","0,005","0,001","1,004","0,002","-0,005","0,961","-0,005","0,002","1,040","-0,002","-0,003","1,018","-0,014","-0,001","0,883"
2,"0,000","-0,004","0,952","0,001","0,001","0,949","-0,001","0,004","1,000","-0,003","-0,002","0,964","-0,003","-0,010","1,044","-0,008","0,002","1,019","-0,013","-0,007","0,882"
3,"0,003","-0,002","0,954","-0,001","0,007","0,956","0,004","-0,001","1,003","-0,003","-0,003","0,963","-0,004","0,000","1,044","-0,006","-0,003","1,019","-0,015","-0,011","0,879"
4,"0,004","-0,006","0,948","-0,007","0,002","0,952","-0,005","0,001","0,998","-0,001","-0,003","0,957","-0,006","-0,002","1,048","-0,003","-0,003","1,028","-0,011","-0,007","0,890"
5,"0,005","0,003","0,958","-0,011","0,006","0,962","-0,008","0,002","1,006","-0,004","0,000","0,959","-0,002","0,003","1,044","0,000","-0,005","1,023","-0,012","-0,007","0,885"
6,"-0,007","-0,002","0,954","-0,011","0,001","0,952","-0,011","0,004","1,003","-0,010","-0,008","0,965","-0,006","0,003","1,041","-0,003","0,000","1,019","-0,013","0,008","0,895"
7,"-0,009","-0,003","0,947","-0,012","0,002","0,959","-0,005","0,009","1,009","-0,012","0,007","0,963","-0,013","0,005","1,046","-0,003","0,002","1,019","-0,008","0,001","0,889"
8,"-0,008","-0,002","0,952","-0,010","0,006","0,959","-0,006","0,011","1,005","-0,001","0,010","0,952","-0,001","-0,003","1,039","-0,005","-0,002","1,017","0,000","-0,004","0,887"
9,"-0,008","0,005","0,948","-0,014","0,008","0,958","-0,008","0,008","1,008","0,003","-0,006","0,963","-0,011","-0,003","1,049","-0,008","-0,001","1,021","0,002","-0,004","0,887"
10,"0,000","0,004","0,955","-0,014","0,009","0,957","-0,006","0,014","1,002","-0,009","-0,005","0,963","-0,002","-0,004","1,041","-0,008","0,000","1,021","0,008","-0,003","0,898"
11,"0,006","0,001","0,956","-0,017","0,006","0,951","-0,012","0,007","1,009","-0,004","0,000","0,962","0,000","0,001","1,050","-0,009","-0,006","1,021","0,008","-0,010","0,896"
12,"-0,002","0,001","0,947","-0,017","0,009","0,956","-0,004","0,005","1,003","-0,002","-0,005","0,962","0,005","-0,003","1,049","-0,007","-0,005","1,022","0,001","-0,010","0,889"
13,"-0,012","-0,005","0,949","-0,021","0,011","0,954","-0,012","0,007","1,003","0,001","0,000","0,966","0,001","-0,001","1,055","-0,004","-0,001","1,023","0,006","-0,006","0,889"
14,"-0,004","-0,005","0,951","-0,020","0,015","0,949","-0,011","0,004","1,009","0,013","-0,010","0,948","0,004","0,002","1,045","-0,005","0,000","1,025","0,002","-0,005","0,895"
15,"0,003","-0,002","0,955","-0,022","0,013","0,953","-0,013","0,003","1,009","0,006","0,006","0,968","0,008","-0,013","1,058","-0,001","-0,002","1,026","0,004","-0,007","0,887"
16,"-0,005","-0,003","0,945","-0,020","0,006","0,960","-0,009","0,005","1,006","-0,013","0,005","0,968","-0,001","0,005","1,049","-0,004","-0,002","1,020","0,008","-0,001","0,889"
17,"0,019","0,009","0,951","-0,018","0,000","0,959","0,000","0,003","1,008","0,000","-0,009","0,960","0,001","-0,006","1,048","0,000","-0,005","1,023","0,009","-0,001","0,896"
18,"-0,006","-0,003","0,946","-0,017","0,000","0,957","-0,003","0,010","1,008","-0,002","0,006","0,965","0,003","0,000","1,047","-0,003","-0,007","1,024","0,010","0,003","0,897"
19,"-0,010","0,005","0,954","-0,005","0,002","0,955","-0,007","0,003","1,007","-0,003","0,003","0,961","0,010","-0,002","1,050","-0,008","-0,009","1,019","0,019","0,007","0,901"
20,"-0,005","-0,006","0,951","0,004","0,008","0,951","-0,005","0,008","1,002","-0,003","-0,003","0,960","0,006","0,000","1,045","-0,002","0,001","1,016","0,024","0,001","0,888"
21,"-0,001","-0,002","0,949","0,004","0,010","0,953","0,000","-0,002","1,004","0,000","-0,003","0,968","0,012","-0,011","1,052","0,002","-0,004","1,023","0,015","-0,005","0,884"
22,"0,001","-0,005","0,949","0,003","0,013","0,948","-0,003","0,001","1,000","0,002","-0,004","0,958","0,003","-0,005","1,048","0,002","0,003","1,014","0,005","-0,008","0,890"
23,"0,000","0,000","0,954","0,001","0,009","0,952","0,008","0,003","1,004","0,003","0,000","0,962","0,006","-0,006","1,048","0,003","-0,005","1,014","-0,001","0,002","0,889"
24,"-0,002","-0,003","0,948","0,003","0,006","0,959","0,006","0,000","1,003","0,002","0,002","0,957","0,002","0,002","1,055","0,003","-0,003","1,016","0,003","-0,001","0,898"
25,"0,001","0,004","0,951","0,001","0,006","0,958","0,002","0,004","1,004","-0,004","0,003","0,961","-0,003","0,002","1,054","-0,002","0,002","1,015","0,002","-0,008","0,897"
26,"0,003","-0,004","0,949","0,001","-0,001","0,957","0,006","-0,002","1,009","-0,002","0,005","0,962","-0,001","0,005","1,052","-0,001","-0,003","1,024","0,006","-0,006","0,897"
27,"0,003","0,003","0,949","0,003","-0,005","0,957","0,010","-0,007","1,012","-0,009","0,001","0,964","-0,003","-0,001","1,053","0,003","-0,009","1,016","0,002","0,001","0,894"
28,"0,001","0,004","0,949","0,006","-0,006","0,959","0,005","-0,003","1,007","-0,005","-0,004","0,964","-0,009","-0,010","1,047","0,000","-0,001","1,018","-0,003","-0,003","0,888"
29,"0,006","-0,003","0,947","0,000","0,001","0,961","0,002","-0,004","1,008","-0,001","-0,001","0,961","0,001","0,000","1,038","0,000","-0,001","1,015","-0,004","0,001","0,888"
30,"-0,010","0,000","0,943","-0,002","-0,003","0,952","0,008","-0,007","1,007","0,006","-0,004","0,967","-0,004","-0,004","1,040","0,000","-0,004","1,022","-0,003","0,002","0,890"
31,"-0,007","-0,004","0,950","-0,002","0,000","0,958","0,006","-0,002","1,012","0,003","-0,004","0,959","-0,003","-0,021","1,045","-0,002","-0,009","1,028","-0,004","-0,006","0,879"
32,"0,003","-0,003","0,953","0,001","-0,001","0,955","0,003","-0,001","1,009","0,004","-0,004","0,960","0,003","-0,003","1,041","-0,005","0,000","1,025","-0,007","-0,014","0,875"
33,"0,002","-0,002","0,944","0,002","-0,003","0,953","0,004","0,001","1,005","0,000","-0,004","0,962","-0,009","-0,006","1,052","-0,004","-0,006","1,019","-0,006","-0,008","0,889"
34,"0,000","0,002","0,944","0,004","0,003","0,952","0,004","0,004","1,001","-0,004","0,003","0,968","-0,007","-0,002","1,050","-0,002","0,001","1,021","-0,001","0,000","0,893"
35,"0,007","0,001","0,961","0,002","0,010","0,950","-0,002","0,004","0,993","-0,004","0,000","0,959","-0,003","0,010","1,052","-0,004","-0,004","1,025","0,010","-0,004","0,900"
36,"0,000","-0,007","0,941","-0,010","0,015","0,947","-0,003","0,009","0,995","-0,005","0,003","0,965","-0,001","0,001","1,057","0,003","0,001","1,019","0,007","-0,004","0,899"
37,"-0,005","-0,003","0,951","-0,010","0,015","0,949","-0,004","0,001","1,000","0,000","0,001","0,961","0,001","0,001","1,054","0,006","-0,001","1,021","0,004","-0,006","0,893"
38,"-0,004","-0,006","0,951","-0,014","0,011","0,954","-0,006","0,006","1,001","-0,004","0,001","0,963","0,002","0,005","1,044","0,010","-0,001","1,019","0,004","0,003","0,895"
39,"-0,001","0,005","0,953","-0,013","0,016","0,955","-0,001","0,006","1,007","0,000","0,004","0,962","0,001","0,003","1,042","0,001","-0,005","1,022","0,005","0,007","0,889"
40,"-0,003","0,000","0,954","-0,012","0,011","0,959","0,003","0,006","1,016","0,005","0,001","0,958","0,000","-0,008","1,047","0,001","-0,001","1,021","0,010","0,008","0,884"
41,"-0,001","0,003","0,956","-0,010","0,002","0,959","0,004","0,007","1,010","-0,005","0,002","0,965","0,002","-0,009","1,047","-0,004","0,000","1,022","0,009","-0,002","0,888"
42,"0,006","-0,002","0,950","-0,008","0,003","0,961","0,002","0,008","1,010","-0,003","-0,007","0,959","0,001","-0,006","1,048","-0,003","-0,001","1,018","0,008","-0,005","0,885"
43,"-0,001","0,003","0,952","-0,011","0,003","0,955","-0,003","0,000","1,013","-0,001","-0,003","0,960","0,002","0,001","1,044","-0,008","-0,001","1,020","0,008","-0,006","0,885"
44,"-0,009","-0,002","0,954","-0,015","0,007","0,950","-0,006","0,007","1,002","0,000","-0,001","0,960","0,002","0,000","1,056","-0,005","-0,001","1,019","0,007","-0,003","0,896"
45,"0,002","-0,005","0,946","-0,012","0,008","0,949","-0,009","0,002","1,009","0,009","-0,002","0,959","0,001","-0,003","1,052","-0,004","-0,007","1,022","0,010","-0,005","0,899"
46,"-0,012","0,000","0,950","-0,013","0,005","0,949","-0,008","0,003","1,003","0,003","-0,002","0,963","0,005","0,008","1,049","0,001","-0,009","1,027","0,008","-0,009","0,892"
47,"-0,004","-0,004","0,949","-0,012","0,003","0,952","-0,004","0,001","1,004","-0,002","-0,003","0,965","0,016","-0,007","1,048","-0,004","-0,010","1,022","0,011","-0,009","0,893"
