Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"0,109","0,018","0,057","-0,028","-0,327","0,103","-0,046","-0,435","-0,660","-0,012","0,038","0,128","-0,039","-0,190","0,030","0,324","0,130","0,828","0,804","0,006","-0,215"
1,"-0,017","-0,076","-0,096","0,011","-0,143","1,137","0,163","-0,327","-0,002","-0,045","0,121","0,009","-0,114","-0,029","0,489","0,505","0,145","0,891","1,791","-0,514","-0,681"
2,"0,108","-0,012","0,004","0,626","0,216","2,283","0,254","-0,130","0,762","-0,002","0,091","0,100","-0,351","0,004","0,211","0,020","-0,063","0,805","1,716","-0,258","0,077"
3,"0,097","0,147","-0,085","0,601","0,047","2,145","0,122","-0,072","0,501","-0,066","0,015","0,064","-0,290","-0,053","0,233","-0,158","-0,002","0,536","1,644","-0,276","0,704"
4,"0,151","0,369","-0,071","1,141","-0,146","1,666","-0,044","-0,360","-0,616","-0,150","0,269","-0,015","-0,172","-0,012","0,352","-0,214","-0,177","0,326","0,972","-0,360","0,802"
5,"0,148","0,535","-0,024","0,773","-0,376","0,506","-0,005","-0,438","-1,164","-0,061","-0,208","-0,093","0,002","-0,025","0,685","0,035","-0,291","0,107","0,301","-0,580","0,903"
6,"0,217","0,347","0,009","0,002","-0,023","0,264","0,015","-0,376","-0,677","0,112","-0,198","-0,008","0,178","0,115","0,900","0,161","-0,287","-0,142","-0,192","-0,118","0,997"
7,"0,172","-0,063","0,030","-0,217","0,268","0,404","0,103","-0,386","0,015","-0,010","-0,074","0,050","0,439","-0,143","0,352","0,162","-0,242","-0,215","-0,616","0,040","0,769"
8,"0,238","-0,197","0,034","-1,025","0,080","-1,215","0,237","-0,177","0,334","0,084","-0,032","-0,102","0,268","-0,265","0,002","0,033","-0,040","0,110","-1,226","0,118","0,785"
9,"0,052","-0,263","-0,063","-1,046","-0,171","-3,327","-0,034","-0,359","-0,365","0,041","-0,001","-0,194","0,339","-0,386","-0,342","-0,156","0,089","0,389","-1,153","-0,136","0,162"
10,"0,109","0,018","0,057","-0,375","-0,338","-4,157","-0,133","-0,542","-1,322","0,094","0,021","-0,130","0,463","-0,463","-0,375","-0,158","0,354","0,452","-0,281","-0,310","-0,829"
11,"0,047","-0,127","-0,070","0,592","-0,611","-3,455","-0,025","-0,575","-1,696","0,133","-0,091","-0,063","0,388","-0,244","0,063","0,089","0,432","0,251","0,698","-0,172","-1,087"
12,"0,108","-0,125","-0,073","0,595","-0,891","-0,986","0,254","-0,214","-0,791","0,076","-0,196","-0,153","0,212","-0,211","-0,213","0,276","0,272","0,104","1,197","-0,396","-1,648"
13,"0,113","-0,035","0,087","0,540","-0,124","1,369","0,392","-0,300","-0,396","-0,040","-0,102","-0,149","0,415","-0,374","-0,860","0,223","0,173","-0,312","1,216","-0,574","-2,654"
14,"0,170","-0,093","-0,023","0,290","0,334","2,494","0,401","-0,181","-0,176","0,010","-0,161","-0,110","0,423","-0,512","-1,070","0,165","-0,092","-0,376","0,263","-1,034","-3,809"
15,"0,049","-0,210","-0,093","-0,243","0,260","1,442","0,395","-0,403","-0,307","0,090","-0,061","-0,155","0,474","-0,469","-0,761","-0,262","-0,035","-0,398","-0,590","-1,121","-3,850"
16,"0,052","-0,376","-0,140","-0,204","0,409","0,874","0,348","-0,312","0,049","0,185","-0,262","-0,104","0,526","-0,482","-0,431","-0,506","0,023","-0,417","-0,686","-0,521","-2,033"
17,"0,241","-0,588","-0,167","0,221","0,181","-0,349","0,435","-0,204","0,711","0,090","-0,061","-0,155","0,642","-0,306","-0,295","-0,630","0,170","-0,329","-1,076","0,094","-0,849"
18,"0,309","-0,580","-0,034","0,362","-0,108","-2,604","0,121","-0,265","0,487","0,223","-0,131","-0,240","0,633","-0,205","-0,008","-0,390","0,213","-0,146","-0,597","-0,085","-0,265"
19,"0,243","-0,559","-0,113","0,624","0,541","-2,585","0,036","-0,239","-0,146","0,154","0,015","-0,119","0,754","-0,126","0,033","-0,512","0,272","-0,162","0,676","0,037","0,110"
20,"0,057","-0,399","-0,057","0,700","0,623","-2,107","0,031","-0,328","-0,249","0,116","-0,115","0,018","0,691","-0,049","0,069","-0,754","0,197","-0,212","0,480","0,319","0,784"
21,"0,052","-0,263","-0,063","0,321","0,169","-2,102","0,285","-0,076","-0,009","0,012","-0,273","-0,189","0,819","0,064","-0,161","-0,567","0,023","-0,418","0,668","0,316","0,514"
22,"-0,070","-0,155","0,020","-0,233","0,082","-1,278","0,233","-0,207","0,216","0,057","-0,414","-0,176","0,872","0,030","0,111","-0,261","-0,049","-0,457","-0,065","0,177","0,640"
23,"0,116","-0,201","0,040","-0,306","-0,024","-0,138","0,453","0,035","1,153","-0,054","-0,237","-0,146","0,924","0,246","0,360","-0,204","0,067","-0,233","-1,295","0,152","1,247"
24,"0,177","-0,199","0,037","-0,041","0,072","0,371","0,766","0,214","1,347","-0,220","-0,277","-0,284","0,854","0,347","0,646","-0,389","0,080","-0,177","-0,922","0,148","0,844"
25,"0,239","-0,054","0,163","0,259","0,124","0,307","0,634","-0,098","1,117","0,035","0,028","-0,140","0,801","0,266","0,414","-0,576","0,076","0,071","-0,372","0,095","0,745"
26,"-0,011","-0,069","0,040","0,133","-0,238","-0,466","0,790","-0,340","0,417","0,176","-0,122","0,028","0,557","0,264","0,407","-0,640","0,045","0,202","0,071","-0,241","-0,033"
27,"-0,070","-0,155","0,020","0,456","-0,325","-0,361","0,767","-0,551","-0,158","0,190","0,014","0,026","0,376","0,242","0,344","-0,396","-0,132","0,249","0,020","-0,631","-0,519"
28,"-0,024","0,030","-0,156","0,368","-0,205","0,261","0,513","-0,552","-0,400","0,240","-0,045","0,064","0,010","0,182","0,354","-0,214","-0,295","0,354","0,804","-0,157","-0,131"
29,"-0,021","0,090","-0,049","-0,011","0,237","1,347","0,648","-0,343","-0,081","-0,002","0,091","0,100","-0,101","0,003","0,025","-0,028","-0,337","0,180","1,587","0,209","0,314"
30,"0,096","0,230","-0,062","-0,005","0,372","1,370","0,711","-0,269","-0,039","0,194","0,096","0,051","-0,196","-0,359","-0,821","0,037","-0,379","0,003","2,001","0,358","1,001"
31,"-0,007","0,103","0,223","0,267","0,303","1,541","0,713","-0,254","0,020","0,005","0,062","0,047","0,005","-0,444","-1,431","0,039","-0,347","-0,130","2,005","0,029","0,896"
32,"-0,067","-0,095","0,126","-0,282","0,076","0,408","0,531","-0,002","0,025","-0,053","-0,044","-0,042","0,290","-0,220","-0,789","0,039","-0,288","-0,144","1,413","-0,370","-0,008"
33,"-0,129","-0,014","0,152","-0,125","-0,429","-1,720","0,480","0,192","0,293","-0,063","-0,097","-0,014","0,326","0,063","0,018","-0,083","0,008","-0,217","0,305","0,067","0,430"
34,"-0,193","-0,076","0,049","0,301","-0,245","-1,779","0,355","0,044","0,210","-0,067","-0,179","-0,040","0,496","0,321","0,385","-0,264","0,053","-0,294","-0,566","0,864","1,167"
35,"-0,072","-0,072","0,043","0,779","0,195","0,073","0,281","-0,106","-0,127","-0,001","-0,214","-0,082","0,672","0,403","0,620","-0,384","0,143","-0,443","-0,559","0,397","0,928"
36,"-0,197","-0,023","0,020","0,715","0,106","1,271","0,141","-0,035","-0,581","-0,074","-0,150","0,014","0,749","0,222","0,105","-0,387","0,244","-0,279","-0,845","-0,219","0,005"
37,"-0,200","0,030","-0,010","0,581","-0,101","1,227","-0,048","0,053","-0,722","-0,108","0,045","-0,027","0,563","0,318","0,194","-0,204","0,364","-0,303","-1,328","-0,226","-0,276"
