Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"0,513","-0,069","-0,041","-0,296","-1,934","0,064","-0,606","-0,097","-0,643","-1,082","-0,792","-0,519","-0,157","0,493","0,282","-0,602","0,020","0,031","-0,376","-0,101","-0,287"
1,"0,240","0,211","-0,406","0,161","-0,778","-0,196","-0,481","0,473","0,241","-0,898","-0,612","-0,394","-0,158","-0,185","-0,683","-0,479","0,154","0,012","-0,211","-0,085","-0,079"
2,"-0,015","0,575","-0,284","0,457","1,201","-1,026","-0,188","0,609","0,377","-0,419","-0,518","-0,223","-0,188","-0,465","-0,814","-0,421","-0,016","-0,023","0,163","-0,467","0,208"
3,"-0,098","0,215","-0,212","0,375","1,434","-1,438","-0,120","0,645","0,138","-0,138","-0,428","0,156","-0,382","-0,865","-1,049","-0,603","0,037","-0,053","0,243","-0,801","0,384"
4,"-0,140","0,401","-0,364","-0,205","0,647","-1,053","-0,006","0,655","-0,170","0,110","-0,419","0,195","-0,876","-0,598","-0,369","-0,480","0,069","-0,005","0,472","-0,927","0,463"
5,"-0,525","0,427","-0,423","-0,473","0,110","-0,382","-0,161","0,591","-0,784","0,492","-0,384","0,237","-0,598","-0,581","-0,185","-0,421","0,086","-0,090","-0,217","-0,411","0,362"
6,"-0,369","0,461","-0,229","-0,119","0,615","-0,456","-0,035","0,223","-1,208","0,587","-0,153","0,062","-0,212","-0,332","-0,326","-0,660","0,190","0,066","-0,194","-0,496","0,064"
7,"-0,273","0,365","-0,079","0,351","0,901","-0,777","-0,296","-0,019","-1,444","0,181","0,051","0,217","0,018","0,015","0,444","-0,415","0,119","0,180","0,270","-0,203","-0,059"
8,"-0,167","0,098","0,054","0,134","0,413","-0,323","-0,040","0,071","-0,937","-0,420","0,434","-0,135","0,344","0,569","0,971","-0,232","0,117","0,177","0,303","0,067","-0,196"
9,"-0,156","-0,073","0,037","0,035","0,042","0,083","0,098","0,264","-0,168","-0,812","0,314","-0,188","0,170","0,669","0,882","-0,231","0,252","0,160","0,338","0,285","0,243"
10,"0,133","0,246","0,056","-0,176","-1,009","0,426","0,327","0,251","0,254","-1,016","1,040","-0,191","0,134","0,344","0,420","-0,171","0,217","0,108","0,274","0,699","-0,042"
11,"0,242","0,302","-0,003","-0,585","-1,530","0,638","-0,070","0,145","0,201","-1,375","0,493","-0,363","0,152","0,104","-0,008","0,010","0,232","0,020","0,102","0,848","-0,060"
12,"0,492","0,149","-0,062","-0,124","-0,330","0,492","0,322","0,098","0,525","-1,308","0,717","-0,457","0,225","0,130","-0,080","0,009","0,199","-0,031","0,223","0,730","-0,129"
13,"0,458","0,340","0,181","-0,139","0,283","0,389","0,182","-0,110","0,515","-1,047","0,277","-0,683","0,118","0,149","-0,182","0,008","0,165","-0,081","0,439","0,605","0,085"
14,"0,515","-0,477","0,143","0,116","-0,054","0,509","0,167","-0,230","0,229","-0,912","0,428","-0,623","0,079","-0,229","-0,614","0,003","0,114","-0,267","0,691","0,342","0,441"
15,"0,450","-0,396","0,162","0,599","0,068","0,446","-0,101","-0,302","-0,077","-0,913","0,156","-0,557","0,441","-0,344","-0,907","-0,058","0,115","-0,266","0,510","0,355","0,424"
16,"0,226","-0,422","0,289","1,085","0,213","0,439","-0,160","-0,492","-0,527","-0,590","-0,070","-0,468","0,057","-0,161","-0,870","0,062","-0,005","-0,336","0,136","0,628","0,055"
17,"0,020","-0,133","0,308","0,810","0,963","0,033","-0,249","-0,246","0,075","-0,453","0,056","-0,227","0,260","0,147","-0,297","-0,177","0,184","-0,162","0,294","0,971","-0,043"
18,"-0,190","-0,007","0,225","0,504","0,699","-0,118","-0,178","-0,073","0,324","-0,225","-0,253","-0,087","-0,387","0,265","0,226","-0,239","0,050","-0,145","0,277","1,162","-0,348"
19,"-0,156","0,301","0,202","-0,271","0,172","0,109","-0,018","-0,051","0,202","0,132","-0,126","0,275","0,323","0,448","0,752","-0,178","-0,053","-0,078","0,220","0,648","-0,156"
20,"-0,180","0,071","0,318","-0,305","-0,626","0,415","-0,151","-0,067","0,177","0,287","-0,077","0,424","0,318","0,215","0,457","-0,174","-0,053","0,142","0,237","0,237","-0,012"
21,"-0,404","-0,204","0,335","-0,174","-1,066","0,448","0,046","-0,166","0,234","0,343","-0,210","0,385","0,006","0,242","0,099","-0,234","-0,069","0,227","-0,315","0,114","-0,119"
22,"-0,734","0,287","0,439","-0,300","-1,112","0,339","0,051","-0,111","-0,269","0,322","-0,232","0,239","0,312","0,667","0,767","-0,232","0,167","0,143","-0,090","-0,094","-0,067"
23,"-0,675","0,166","0,373","-0,549","-1,181","0,178","-0,037","-0,154","-0,363","0,337","-0,433","0,088","0,181","0,512","0,476","-0,232","0,218","0,109","0,296","0,285","-0,583"
24,"-0,617","0,205","0,014","-0,227","-1,453","0,466","-0,166","0,078","-0,427","0,584","-0,400","-0,053","0,061","0,200","-0,222","-0,360","-0,017","-0,024","0,457","0,109","-0,483"
25,"-0,673","0,399","-0,223","-0,176","-1,088","0,391","0,053","0,290","-0,099","0,584","-0,400","-0,053","-0,240","-0,119","-0,949","-0,299","0,033","-0,059","0,542","-0,033","-0,199"
26,"-0,028","0,049","-0,239","-0,307","-0,884","0,252","0,304","0,300","-0,103","0,595","-0,611","0,205","-0,381","0,064","-0,511","-0,301","-0,034","-0,161","0,455","0,466","-0,186"
27,"0,292","0,104","-0,161","-0,450","-0,338","-0,016","0,341","0,442","-0,242","0,752","-0,315","0,469","-0,103","-0,108","-0,290","-0,304","-0,051","-0,296","-0,086","0,588","-0,212"
28,"0,328","-0,122","-0,055","0,490","0,547","-0,516","0,066","0,177","-0,532","1,094","-0,495","0,523","0,048","-0,383","-0,390","-0,306","-0,135","-0,313","-0,550","0,896","-0,261"
29,"0,677","-0,047","-0,157","1,451","0,649","-0,849","-0,181","0,151","-0,250","1,637","-0,425","0,486","-0,019","-0,302","-0,378","-0,547","-0,116","-0,173","-0,762","0,721","-0,115"
30,"-0,112","0,064","-0,003","1,291","-0,195","-0,653","-0,148","0,045","-0,350","0,829","-0,278","0,453","-0,064","-0,227","-0,499","-0,245","-0,187","-0,280","0,055","0,141","-0,111"
31,"-0,427","-0,077","-0,089","0,844","-0,928","0,034","0,007","0,181","-0,518","0,443","-0,265","0,048","0,027","0,363","0,318","-0,243","-0,153","-0,229","0,350","-0,046","-0,135"
32,"-0,483","0,366","-0,216","0,644","-0,262","-0,083","-0,075","0,065","-0,310","-0,137","-0,008","-0,034","-0,332","0,839","1,260","-0,238","0,033","-0,060","0,465","0,111","0,066"
33,"-0,653","0,181","-0,201","0,998","-0,307","-0,404","-0,003","0,237","-0,061","-0,175","-0,100","0,036","-0,389","0,701","1,257","-0,175","0,066","-0,010","0,260","0,371","-0,149"
34,"-0,528","-0,020","-0,286","0,575","-0,900","-0,555","0,430","0,028","-0,294","-0,133","-0,417","-0,253","-0,190","0,467","0,858","0,066","-0,056","-0,083","0,102","0,629","-0,222"
35,"-0,283","-0,087","-0,337","-0,003","-1,744","-0,149","0,295","0,068","-0,343","-0,362","-0,380","-0,328","-0,171","0,100","0,076","0,129","0,062","-0,016","0,425","0,387","0,059"
36,"0,063","-0,211","-0,191","0,124","-1,677","0,017","-0,128","-0,237","-0,713","-0,182","-0,447","-0,318","0,046","-0,563","-0,714","0,250","-0,075","-0,002","0,628","0,374","0,490"
37,"0,152","-0,187","-0,381","-0,085","-0,961","-0,314","-0,116","-0,061","-0,450","-0,007","-0,228","-0,147","-0,007","-1,145","-1,388","0,185","-0,176","-0,153","0,658","0,672","0,407"
38,"0,211","-0,058","-0,336","-0,416","-0,247","-0,640","-0,203","0,032","-0,056","0,072","-0,364","0,142","0,167","-1,245","-1,299","0,066","-0,310","0,086","0,598","0,786","0,482"
39,"0,341","0,404","-0,100","0,003","0,539","-0,496","0,000","-0,276","-0,184","0,120","-0,334","0,206","0,010","-0,950","-0,785","0,308","-0,296","-0,003","0,725","0,722","0,385"
40,"0,513","0,056","0,014","0,248","0,644","-0,414","0,194","-0,223","0,082","-0,053","-0,430","0,093","0,118","-0,599","-0,396","0,305","-0,363","-0,105","1,001","0,373","0,444"
41,"0,289","-0,095","0,086","0,193","0,471","-0,347","0,192","-0,071","0,291","0,062","-0,448","0,130","0,128","-0,321","0,229","0,184","-0,311","-0,136","0,517","0,409","0,396"
42,"0,174","-0,065","0,154","0,619","0,164","-0,506","0,101","-0,250","-0,291","-0,091","-0,522","0,163","-0,118","0,431","1,177","0,247","-0,295","-0,002","0,701","0,859","0,107"
43,"0,119","-0,155","0,156","0,635","-0,370","-0,368","-0,084","-0,167","-0,550","-0,584","-0,144","0,076","0,064","0,310","0,853","0,068","-0,090","0,086","0,792","1,043","-0,050"
44,"-0,445","-0,018","0,183","0,347","-0,967","-0,196","-0,040","-0,290","-0,851","-0,557","0,160","-0,253","0,279","0,026","-0,011","-0,051","0,030","0,156","0,829","0,904","0,092"
45,"-0,644","-0,098","0,432","0,243","-1,324","0,075","0,025","-0,406","-0,819","-0,523","0,005","-0,438","0,640","-0,269","-0,629","-0,169","0,183","0,277","0,751","1,100","-0,219"
46,"-0,628","-0,230","0,462","0,793","-0,900","0,286","0,103","-0,306","-0,268","-0,561","0,061","-0,492","0,766","-0,467","-1,345","-0,292","0,100","0,262","0,835","1,230","-0,350"
47,"-1,182","-0,265","0,472","0,719","-0,266","0,243","0,310","0,019","0,494","-0,457","0,253","-0,713","0,305","-0,174","-1,243","-0,295","0,134","0,093","0,804","0,712","-0,429"
48,"-1,448","-0,354","0,337","0,332","0,040","-0,122","0,080","0,417","1,001","-0,698","-0,066","-0,733","-0,417","0,298","-0,722","-0,236","0,015","0,024","0,777","0,386","-0,400"
49,"-1,195","0,066","0,196","0,391","0,176","-0,111","-0,053","0,497","1,208","-0,773","0,021","-0,659","-0,344","0,632","-0,116","-0,296","0,152","0,009","1,137","0,878","-0,563"
50,"-1,054","-0,392","0,086","0,334","0,061","-0,065","0,078","0,473","0,978","-1,028","0,027","-0,471","-0,144","1,076","0,450","-0,235","0,151","0,008","0,790","1,095","-0,626"
51,"-0,711","-0,108","0,048","0,334","-0,017","-0,100","-0,070","0,145","0,201","-1,004","0,592","-0,456","0,263","0,697","0,315","-0,112","0,285","-0,011","0,488","0,736","-0,323"
52,"-0,067","-0,049","-0,153","0,378","0,575","-0,262","-0,316","0,095","-0,530","-0,958","-0,070","-0,136","-0,341","0,931","0,922","-0,173","0,285","-0,010","0,072","-0,051","0,194"
53,"0,258","0,170","0,027","-0,107","0,667","-0,150","-0,372","-0,151","-0,957","-0,726","0,287","-0,070","0,073","0,531","0,374","-0,228","0,421","0,194","0,385","0,173","0,304"
54,"0,255","-0,153","0,219","0,047","-0,064","0,319","-0,480","-0,369","-0,834","-0,279","0,003","0,010","0,230","0,364","0,214","-0,227","0,353","0,312","0,089","0,630","-0,086"
55,"0,340","-0,202","0,331","0,382","-0,734","0,759","-0,138","-0,180","-0,256","0,044","-0,075","-0,024","0,386","-0,112","-0,623","-0,227","0,302","0,346","-0,348","1,155","-0,244"
56,"-0,084","-0,149","0,414","-0,033","-1,162","0,871","-0,050","-0,041","0,070","0,469","-0,381","-0,091","0,406","-0,361","-0,691","-0,044","0,199","0,410","-0,086","0,808","-0,050"
57,"-0,295","-0,148","0,276","-0,533","-0,614","0,810","-0,215","0,434","1,074","0,754","-0,552","-0,055","-0,205","-0,353","-0,739","0,016","0,062","0,426","0,052","-0,103","0,357"
58,"-0,360","-0,067","0,295","-0,315","0,052","0,483","0,038","0,676","1,790","0,594","-0,463","0,081","0,005","-0,435","-0,866","-0,047","-0,021","0,410","0,287","0,096","-0,006"
59,"-0,544","0,504","0,555","-0,212","0,467","0,191","0,381","0,216","1,757","0,654","-0,077","0,092","0,277","-0,463","-1,012","0,017","0,045","0,510","0,105","0,382","-0,438"
60,"-0,089","0,186","0,532","-0,516","0,540","0,239","0,307","0,196","1,717","0,710","-0,358","0,176","0,167","-0,189","-0,407","0,017","0,096","0,477","-0,221","0,270","-0,331"
61,"0,135","0,586","0,570","-0,273","0,701","0,300","-0,033","-0,050","1,163","0,464","-0,095","0,071","0,451","-0,066","-0,282","-0,109","0,047","0,293","0,152","-0,003","0,037"
62,"0,356","0,289","0,635","0,034","0,335","0,168","-0,185","-0,169","0,572","0,252","-0,135","-0,096","0,319","0,277","0,067","-0,171","0,014","0,243","0,580","0,048","0,105"
63,"0,217","-0,410","0,600","0,448","0,527","-0,050","-0,266","-0,670","-0,149","0,073","0,056","-0,048","0,124","0,374","0,473","-0,173","0,031","0,159","0,512","-0,112","0,046"
64,"-0,121","-0,656","0,684","0,627","0,566","-0,136","-0,288","-0,428","-0,041","-0,460","0,218","-0,123","-0,126","0,584","0,448","-0,175","0,066","-0,010","0,774","0,524","-0,265"
65,"-0,202","-0,692","0,564","-0,191","-0,160","0,429","-0,441","-0,451","-0,400","-0,854","0,270","-0,481","-0,117","0,555","0,396","-0,361","0,102","-0,176","1,033","0,586","-0,350"
