Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
0,"-0,230","0,034","-0,117","0,756","-0,180","-1,233","-0,104","-0,172","-1,078","-0,423","-0,165","-0,029","-0,126","-0,397","-0,871","0,009","-0,563","-1,099","-0,255","0,305","0,282"
1,"-0,306","0,130","-0,177","-0,048","-0,210","-0,708","-0,287","-0,219","-1,006","-0,600","-0,143","-0,067","-0,199","-0,207","-0,293","0,436","-0,445","-1,129","0,718","0,152","-0,061"
2,"-0,013","0,081","-0,316","-0,683","0,000","-0,394","-0,226","-0,179","-0,827","-0,518","-0,427","-0,025","-0,689","-0,304","-0,208","0,315","-0,479","-1,248","-0,323","-0,432","-0,838"
3,"0,003","0,101","-0,182","-0,403","0,212","-0,123","-0,227","-0,121","-0,278","-0,694","-0,520","-0,137","-0,802","-0,244","-0,615","0,436","-0,286","-1,239","-0,266","-0,716","-1,601"
4,"0,120","0,194","-0,182","-0,499","0,080","0,162","-0,166","-0,042","0,079","-0,539","-0,265","-0,128","-0,690","-0,169","-0,188","0,193","-0,187","-1,334","-0,328","-0,849","-2,024"
5,"0,087","0,075","-0,022","-1,015","-0,098","-0,029","-0,288","-0,161","0,105","-0,599","-0,258","-0,140","-0,751","-0,227","-0,170","0,190","-0,236","-1,066","-0,265","-0,514","-1,515"
6,"0,075","0,090","-0,106","-1,242","-0,285","-0,388","-0,288","0,004","0,006","-0,131","-0,217","-0,244","-0,680","-0,244","-0,613","-0,176","-0,161","-1,028","-0,200","0,042","-1,005"
7,"0,196","0,098","-0,122","-0,445","-0,583","-0,884","-0,471","-0,155","-0,146","-0,277","-0,191","-0,136","-0,495","-0,340","-0,705","-0,605","0,082","-0,850","-0,867","0,429","-0,307"
8,"-0,042","-0,242","-0,237","0,064","-0,572","-1,295","-0,471","-0,121","-0,278","-0,487","-0,241","-0,063","-0,437","-0,302","-0,588","-0,850","0,098","-0,794","-1,413","0,359","0,472"
9,"-0,339","-0,228","-0,149","0,278","-0,774","-2,112","-0,470","-0,187","-0,576","-0,536","-0,067","-0,032","-0,502","-0,361","-0,378","-1,033","0,039","-0,778","-1,352","0,324","0,641"
10,"-0,404","-0,267","-0,191","0,207","-0,831","-2,762","-0,470","-0,418","-0,775","-0,462","-0,138","-0,123","-0,271","-0,112","0,188","-0,730","-0,009","-0,507","-1,049","0,055","0,232"
11,"-0,456","-0,321","-0,149","0,259","-0,611","-2,330","-0,469","-0,463","-1,264","-0,523","-0,015","-0,062","-0,157","-0,055","0,557","-0,364","-0,142","-0,528","-1,295","-0,248","-0,005"
12,"-0,448","-0,252","-0,049","0,400","-0,442","-1,057","-0,347","-0,450","-1,205","-0,451","0,029","-0,079","-0,035","0,003","0,540","0,000","-0,089","-0,349","-1,722","-0,297","0,030"
13,"-0,203","-0,320","-0,096","-0,013","0,013","0,137","-0,347","-0,404","-1,277","-0,445","0,112","-0,057","-0,154","-0,170","0,402","-0,124","-0,038","-0,174","-1,903","-0,112","0,201"
14,"-0,158","-0,096","-0,106","-0,685","0,143","0,702","-0,226","-0,213","-0,695","-0,482","-0,158","-0,041","-0,268","-0,227","0,033","-0,246","-0,022","-0,117","-1,171","-0,047","0,300"
