Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
28,"-0,068","-0,279","-0,031","-0,464","-0,370","-0,581","0,234","-0,370","0,501","0,800","-0,300","0,229","0,216","-0,489","0,234","0,567","0,362","0,179","0,271","-0,561","-1,375"
29,"0,354","-0,369","-0,151","0,412","-0,249","-1,034","-0,023","-0,165","0,712","0,547","-0,631","0,035","0,352","-0,486","-0,385","0,812","0,353","0,124","0,332","-0,300","-0,010"
30,"0,249","-0,716","-0,198","0,939","-0,121","-0,679","-0,155","-0,147","0,887","0,281","-0,579","0,101","0,064","-0,698","-1,158","1,178","0,234","0,150","0,333","-0,252","0,782"
31,"0,149","-0,790","-0,063","1,675","-0,013","0,566","-0,355","0,004","1,167","0,435","-0,170","0,004","0,129","-0,674","-1,348","1,296","0,263","0,333","0,028","-0,686","0,451"
32,"0,234","-0,497","-0,201","1,987","-0,035","1,253","-0,439","0,289","1,563","0,310","-0,245","0,180","-0,036","-0,048","0,577","1,356","0,031","0,432","0,455","-0,441","0,535"
33,"0,077","-0,540","-0,009","1,298","-0,218","1,127","-0,730","0,434","2,392","0,205","-0,503","0,185","-0,254","0,387","2,165","1,538","-0,019","0,505","0,638","-0,119","1,192"
34,"0,063","-1,082","0,074","1,568","-0,009","1,352","-0,676","0,507","2,510","-0,231","-0,901","0,150","0,111","0,208","2,208","1,170","-0,121","0,638","1,126","0,184","0,703"
35,"0,156","-0,839","-0,029","0,972","0,175","2,127","-0,618","0,807","3,649","-0,606","-0,621","0,045","-0,534","-0,206","1,032","1,109","-0,242","0,656","1,552","0,049","0,565"
36,"0,288","-1,324","-0,222","-0,001","0,226","1,563","-0,757","1,190","5,014","-0,511","-0,212","0,160","-0,390","-0,393","0,078","1,105","-0,153","0,827","1,918","-0,089","0,701"
37,"0,208","-1,025","-0,202","-0,278","-0,159","0,040","-0,605","1,014","4,488","-0,169","-0,466","0,168","0,044","-0,463","-0,272","1,049","-0,191","0,585","0,882","0,264","1,004"
38,"0,057","-0,595","-0,193","0,405","0,005","0,109","-0,287","0,517","3,206","-0,273","-0,716","-0,055","0,209","-0,179","0,546","1,053","-0,160","0,394","-0,460","0,132","0,594"
39,"-0,008","-0,514","-0,169","0,726","0,058","0,252","-0,111","0,248","1,156","-0,385","-0,380","0,072","0,397","-0,226","0,311","1,177","-0,118","0,267","-0,216","-0,004","0,457"
40,"-0,204","-0,188","-0,083","1,136","0,187","0,038","0,020","0,059","-0,107","-0,169","-0,340","0,010","-0,097","-0,108","0,588","1,061","-0,166","-0,037","0,271","-0,216","-0,254"
41,"-0,031","-0,006","-0,076","1,508","0,006","-0,522","-0,088","-0,088","-0,343","-0,157","-0,734","-0,023","-0,215","-0,024","0,382","0,880","-0,125","-0,170","-0,155","-0,108","-0,171"
42,"-0,099","0,160","-0,037","0,503","-0,074","-0,133","0,075","0,011","0,024","-0,234","-0,415","-0,026","-0,351","0,284","1,002","0,702","-0,164","-0,414","0,149","-0,589","-1,294"
43,"-0,043","-0,110","-0,225","-0,010","0,165","0,227","0,034","0,206","0,739","0,004","-0,250","0,129","-0,022","-0,046","-0,044","0,704","-0,173","-0,475","0,819","-0,671","-1,322"
44,"0,005","-0,211","-0,383","-0,309","0,168","-0,325","0,054","0,462","1,450","0,123","-0,502","0,021","-0,319","-0,176","-0,398","0,519","-0,044","-0,437","0,820","0,191","-0,115"
45,"0,221","-0,722","-0,416","0,046","0,009","-0,437","-0,006","0,451","2,553","-0,243","-0,381","0,024","0,219","-0,393","0,091","0,579","-0,095","-0,366","0,393","0,058","-0,388"
46,"0,205","-0,981","-0,680","0,336","0,023","-0,601","-0,344","1,035","5,298","-0,307","-0,699","0,076","-0,342","-0,097","0,642","0,762","-0,034","-0,372","0,149","-0,377","-0,583"
47,"0,081","-0,467","-0,881","0,786","0,036","-0,393","0,018","1,276","6,461","-0,565","-0,680","0,091","-0,646","-0,169","0,587","0,947","-0,173","-0,470","0,088","-0,076","-0,662"
48,"-0,349","-0,446","-0,860","0,820","0,210","-0,067","-0,053","1,001","5,564","-1,343","-0,697","-0,110","-0,411","0,093","0,976","0,644","-0,243","-0,527","-0,095","-0,506","-1,402"
49,"-0,655","-0,622","-0,936","1,387","0,453","0,052","-0,158","1,091","5,242","-1,145","-0,590","-0,072","-0,440","-0,188","-0,461","0,645","-0,193","-0,596","-0,095","-0,560","-1,511"
50,"-0,787","-0,257","-0,808","1,495","0,607","0,506","-0,111","0,884","4,406","-0,746","-0,737","0,023","-0,255","-0,331","-0,553","0,708","-0,332","-0,696","0,332","-0,533","-1,457"
51,"-0,462","-0,505","-0,810","0,969","0,636","1,390","-0,151","0,968","4,027","-0,748","-0,493","-0,065","-0,270","-0,322","0,128","1,015","-0,230","-0,830","0,454","0,006","-0,771"
52,"-0,361","-0,312","-0,879","0,664","0,698","1,401","-0,121","0,731","3,500","-0,508","-0,572","0,178","0,055","0,101","1,979","1,501","-0,269","-0,691","0,698","-0,074","-0,935"
53,"-0,469","0,143","-0,518","1,317","0,378","0,601","-0,358","0,606","2,272","0,092","-0,846","0,170","0,347","0,339","2,561","1,622","-0,259","-0,628","1,369","-0,347","-0,938"
54,"-0,596","0,783","-0,209","1,004","0,092","-0,046","-0,226","0,174","1,034","-0,536","-1,023","0,029","0,377","0,261","1,210","1,618","-0,171","-0,457","1,247","-0,054","-0,199"
55,"-0,492","0,573","0,004","1,372","-0,223","-0,624","-0,311","-0,005","-0,732","-0,307","-0,699","0,076","-0,070","-0,222","-0,632","1,495","-0,041","-0,418","0,455","0,243","0,268"
