Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z
0,"-0,002","0,005","0,947","-0,008","0,004","1,015","-0,001","0,002","1,004","0,002","0,009","0,960","-0,008","0,004","1,026","0,003","-0,002","1,005","-0,004","0,010","1,062"
1,"-0,003","0,002","0,948","-0,009","0,011","1,018","-0,005","0,009","1,002","0,001","0,010","0,953","-0,010","0,006","1,020","-0,001","0,007","1,004","-0,009","0,005","1,064"
2,"-0,001","0,006","0,947","-0,010","0,013","1,014","-0,007","0,003","1,008","0,006","0,012","0,957","-0,004","0,007","1,030","0,001","0,006","1,006","-0,004","0,003","1,069"
3,"-0,001","0,004","0,945","-0,002","0,012","1,018","0,001","-0,002","1,002","0,000","0,007","0,961","-0,005","0,004","1,027","-0,003","0,006","1,004","-0,006","0,005","1,061"
4,"-0,001","0,004","0,950","-0,004","0,016","1,014","0,001","0,015","0,997","0,002","0,006","0,951","-0,004","0,002","1,026","0,000","0,002","1,006","0,006","0,009","1,063"
5,"0,000","0,001","0,947","-0,006","0,011","1,015","0,000","0,014","1,004","0,003","0,004","0,953","0,000","-0,004","1,031","0,004","0,002","1,009","0,000","0,001","1,060"
6,"-0,004","0,000","0,942","-0,008","0,010","1,023","-0,004","0,012","1,007","0,007","0,010","0,962","0,002","-0,005","1,029","0,008","0,008","1,014","-0,006","0,001","1,057"
7,"0,000","0,003","0,951","-0,006","0,002","1,021","-0,002","0,012","1,004","0,002","0,006","0,959","-0,006","-0,003","1,029","0,007","0,009","1,011","-0,009","-0,008","1,063"
8,"0,000","0,004","0,946","-0,012","0,001","1,027","0,001","0,012","1,009","0,004","0,012","0,962","-0,006","-0,003","1,030","0,008","0,010","1,012","-0,016","-0,006","1,064"
9,"-0,001","0,001","0,950","-0,014","-0,005","1,027","-0,004","0,004","1,008","0,003","0,006","0,952","-0,007","0,000","1,032","0,006","0,002","1,014","-0,016","0,000","1,062"
