Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
31,"64,835","6,620","3,802","81,254","1,482","0,916","89,226","9,448","-0,491","70,936","17,064","-2,852","87,075","1,984","-6,665","8,937","-2,806","0,264","75,224","9,305","-7,902"
32,"64,862","6,637","3,780","81,285","1,493","0,896","89,237","9,427","-0,497","70,888","17,061","-2,837","87,080","1,980","-6,683","8,948","-2,773","0,259","75,258","9,306","-7,907"
33,"64,888","6,587","3,817","81,288","1,483","0,943","89,240","9,476","-0,472","70,873","17,035","-2,794","87,078","1,967","-6,700","8,956","-2,800","0,266","75,295","9,334","-7,970"
34,"64,901","6,576","3,803","81,326","1,477","0,993","89,257","9,462","-0,472","70,828","16,997","-2,751","87,082","1,958","-6,711","8,988","-2,832","0,273","75,355","9,364","-8,039"
35,"64,886","6,596","3,751","81,318","1,479","1,008","89,224","9,465","-0,464","70,810","17,005","-2,766","87,072","1,933","-6,722","8,990","-2,828","0,273","75,376","9,379","-8,073"
36,"64,896","6,595","3,727","81,354","1,497","0,999","89,194","9,409","-0,474","70,759","16,993","-2,764","87,034","1,924","-6,723","9,031","-2,861","0,276","75,408","9,402","-8,136"
37,"64,860","6,606","3,688","81,419","1,535","0,937","89,191","9,352","-0,490","70,696","16,966","-2,748","87,031","1,936","-6,717","9,077","-2,826","0,267","75,474","9,383","-8,115"
38,"64,872","6,622","3,665","81,515","1,556","0,942","89,194","9,311","-0,505","70,728","16,972","-2,757","87,057","1,931","-6,720","9,150","-2,842","0,266","75,568","9,372","-8,120"
39,"64,884","6,617","3,668","81,530","1,561","0,987","89,187","9,303","-0,511","70,738","16,959","-2,741","87,106","1,946","-6,722","9,167","-2,856","0,264","75,602","9,358","-8,117"
40,"64,884","6,624","3,660","81,619","1,571","1,031","89,208","9,292","-0,524","70,725","16,957","-2,742","87,116","1,945","-6,723","9,250","-2,870","0,262","75,679","9,339","-8,114"
41,"0,475","0,086","0,000","0,598","-0,242","-0,001","0,244","0,351","0,002","-0,377","0,617","0,003","0,276","0,574","0,002","0,584","0,135","-0,266","1,011","-1,387","0,006"
42,"0,539","0,086","0,000","0,268","-0,242","-0,001","-0,023","0,351","0,001","-0,039","0,617","0,001","0,138","0,580","0,002","0,584","0,135","-0,266","0,535","-1,394","0,000"
43,"0,611","0,086","0,000","-0,060","-0,242","-0,001","-0,023","0,351","0,002","0,125","0,617","0,000","0,239","0,580","0,004","0,584","0,135","-0,266","0,471","-1,394","-0,001"
44,"0,611","0,032","-0,001","0,183","-0,459","-0,002","0,223","0,496","0,004","0,080","0,404","0,000","0,138","0,535","0,002","0,583","0,209","-0,266","0,533","-1,210","0,000"
45,"0,424","0,234","0,000","0,230","-0,534","-0,002","0,223","0,496","0,004","-0,019","0,282","0,001","0,095","0,535","0,002","0,629","0,134","-0,266","0,516","-1,136","-0,001"
46,"0,422","0,282","-0,001","0,291","-0,610","-0,002","0,282","0,414","0,004","-0,018","0,163","0,000","0,095","0,529","0,002","0,629","0,134","-0,266","0,516","-1,011","0,000"
47,"0,410","0,391","0,000","0,385","-0,745","-0,002","0,282","0,414","0,004","-0,071","0,163","0,001","-0,305","0,529","-0,001","0,723","-0,001","-0,265","0,210","-0,876","-0,004"
48,"0,341","0,480","0,000","0,385","-0,797","-0,002","0,201","0,377","0,003","-0,019","0,259","0,001","-0,304","0,469","-0,001","0,722","-0,001","-0,265","0,211","-0,794","-0,004"
49,"0,372","0,464","-0,001","0,385","-0,750","-0,002","0,232","0,340","0,003","0,124","0,142","0,000","-0,185","0,469","0,000","0,722","-0,007","-0,265","0,186","-0,788","-0,004"
50,"0,484","0,371","-0,002","0,407","-0,749","-0,002","0,223","0,323","0,003","0,124","-0,079","0,000","-0,185","0,224","0,000","0,721","-0,007","-0,265","0,186","-0,323","-0,002"
51,"0,659","0,310","-0,005","0,575","-0,728","-0,014","0,259","0,317","0,006","-0,152","-0,451","0,009","-0,148","0,217","-0,008","0,842","-0,341","-0,244","0,235","0,362","0,006"
52,"0,809","-0,363","-0,006","0,978","-0,146","-0,024","0,360","0,309","0,008","-0,156","-1,149","0,016","-0,116","0,220","-0,021","1,190","-0,115","-0,230","0,599","0,490","0,010"
53,"0,266","-0,780","-0,019","0,706","0,388","-0,031","-0,164","0,382","0,013","-0,536","-1,001","0,028","-0,196","0,127","-0,035","1,215","0,227","-0,220","0,836","0,430","0,014"
54,"-0,092","-0,194","-0,024","0,149","0,417","-0,035","-0,712","0,202","0,010","-0,587","-1,007","0,043","0,126","0,328","-0,053","0,995","0,346","-0,205","0,926","0,468","0,016"
55,"-0,666","0,129","-0,022","0,718","0,167","-0,042","-0,614","-0,130","-0,002","-0,879","-0,776","0,054","0,024","0,148","-0,061","1,233","0,019","-0,180","1,384","1,083","0,017"
56,"-0,748","-0,342","-0,037","1,312","-0,207","-0,042","-0,565","0,108","-0,010","-1,329","-1,262","0,043","0,180","0,613","-0,072","1,490","-0,308","-0,154","1,931","1,272","0,018"
57,"-0,752","-0,341","-0,052","2,131","-0,330","-0,034","0,011","-0,115","-0,014","-1,211","-1,111","0,048","0,149","0,032","-0,074","1,969","-0,403","-0,135","2,580","1,699","0,018"
58,"-0,839","0,261","-0,056","2,711","-0,816","-0,019","0,103","-0,213","-0,024","-0,559","-0,911","0,059","0,724","-0,312","-0,094","2,260","-0,710","-0,111","3,096","2,300","0,016"
59,"-0,709","0,630","-0,059","2,942","-0,415","-0,011","0,216","-0,610","-0,036","-0,380","-0,876","0,056","0,396","-0,777","-0,090","2,179","-0,432","-0,112","2,686","2,160","0,033"
60,"-0,131","0,711","-0,066","3,548","-0,716","0,007","0,683","-0,153","-0,055","-0,146","-0,852","0,053","0,764","-1,301","-0,110","2,637","-0,427","-0,105","3,441","2,353","0,035"
61,"-0,113","0,686","-0,071","3,122","-0,793","0,012","0,119","0,160","-0,071","-0,522","-1,037","0,047","0,366","-1,115","-0,104","2,453","-0,253","-0,105","2,926","2,337","0,047"
62,"0,161","0,472","-0,080","3,225","-0,842","0,016","0,103","0,082","-0,075","-0,191","-0,734","0,050","0,026","-1,385","-0,089","2,903","-0,252","-0,099","3,040","2,268","0,053"
63,"0,679","0,242","-0,093","3,602","-0,410","0,017","0,397","-0,331","-0,073","-0,267","-1,423","0,045","-0,355","-0,916","-0,071","3,337","-0,164","-0,096","3,163","2,049","0,058"
64,"0,693","0,117","-0,107","3,419","-0,529","0,013","0,483","-0,490","-0,065","-0,331","-1,162","0,041","0,061","-0,837","-0,073","3,425","-0,498","-0,070","3,385","2,097","0,064"
65,"0,699","-0,040","-0,124","3,284","-0,383","0,003","0,547","-0,200","-0,046","-0,462","-0,816","0,040","0,105","-0,834","-0,067","3,576","-0,151","-0,082","3,360","1,471","0,074"
66,"1,004","0,201","-0,134","3,256","-0,016","-0,003","0,553","-0,192","-0,034","-0,707","-0,489","0,041","-0,535","-0,687","-0,047","3,883","0,117","-0,095","3,360","1,056","0,079"
67,"0,483","-0,001","-0,132","3,330","0,027","-0,011","0,028","0,064","-0,021","-0,081","-0,500","0,044","-0,286","-0,497","-0,044","4,300","0,126","-0,094","3,697","0,728","0,077"
68,"1,106","-0,237","-0,135","3,408","-0,078","-0,020","0,050","0,207","-0,008","-0,109","-0,796","0,040","-0,200","-0,078","-0,033","4,708","0,131","-0,095","3,878","0,483","0,069"
69,"0,918","-0,843","-0,137","2,812","-0,256","-0,027","-0,482","0,625","0,006","-0,426","-0,681","0,039","-0,708","0,344","-0,016","4,423","0,111","-0,096","3,330","0,305","0,055"
70,"0,812","-0,369","-0,136","2,990","-0,179","-0,022","-0,874","0,130","-0,004","0,132","-0,976","0,040","-0,690","0,374","-0,008","4,712","-0,124","-0,080","3,280","0,538","0,052"
71,"0,829","-0,427","-0,132","3,109","-0,182","-0,018","-0,810","0,163","-0,007","0,133","-0,956","0,038","-0,674","0,323","-0,006","4,797","-0,116","-0,083","3,339","0,571","0,052"
72,"0,829","-0,417","-0,127","3,139","-0,148","-0,014","-0,759","0,148","-0,011","0,123","-0,945","0,037","-0,670","0,263","-0,007","4,811","-0,100","-0,084","3,325","0,595","0,054"
73,"0,810","-0,436","-0,125","3,189","-0,118","-0,012","-0,715","0,184","-0,015","0,112","-0,933","0,038","-0,660","0,196","-0,011","4,826","-0,065","-0,086","3,322","0,609","0,057"
74,"0,766","-0,457","-0,119","3,245","-0,090","-0,017","-0,699","0,223","-0,020","0,119","-0,867","0,043","-0,645","0,119","-0,020","4,849","-0,026","-0,081","3,348","0,620","0,067"
75,"0,724","-0,426","-0,117","3,317","-0,062","-0,026","-0,707","0,231","-0,021","0,082","-0,815","0,052","-0,629","0,047","-0,035","4,889","0,014","-0,072","3,406","0,621","0,080"
76,"0,723","-0,404","-0,114","3,392","-0,035","-0,038","-0,716","0,231","-0,022","0,032","-0,764","0,063","-0,624","-0,006","-0,054","4,932","0,050","-0,060","3,476","0,612","0,095"
77,"0,710","-0,355","-0,116","3,454","-0,007","-0,050","-0,720","0,218","-0,024","-0,018","-0,755","0,076","-0,629","-0,007","-0,071","4,963","0,083","-0,045","3,536","0,605","0,109"
78,"0,711","-0,336","-0,123","3,502","0,021","-0,059","-0,724","0,212","-0,026","-0,022","-0,757","0,083","-0,640","-0,018","-0,080","4,980","0,114","-0,029","3,582","0,604","0,125"
79,"0,717","-0,326","-0,129","3,554","0,036","-0,066","-0,696","0,175","-0,033","-0,059","-0,806","0,084","-0,656","-0,029","-0,082","5,000","0,132","-0,013","3,633","0,612","0,140"
80,"0,717","-0,299","-0,133","3,612","0,049","-0,068","-0,701","0,162","-0,045","-0,088","-0,831","0,084","-0,672","-0,063","-0,079","5,027","0,152","-0,001","3,688","0,622","0,152"
81,"0,657","-0,250","-0,125","3,665","0,063","-0,064","-0,699","0,148","-0,069","-0,100","-0,786","0,087","-0,684","-0,101","-0,075","5,048","0,182","0,006","3,738","0,620","0,158"
82,"0,629","-0,209","-0,113","3,700","0,068","-0,055","-0,703","0,162","-0,096","-0,104","-0,763","0,095","-0,696","-0,129","-0,073","5,052","0,205","0,008","3,770","0,617","0,158"
83,"0,615","-0,164","-0,102","3,719","0,056","-0,044","-0,709","0,171","-0,121","-0,125","-0,737","0,104","-0,707","-0,142","-0,072","5,044","0,222","0,005","3,795","0,619","0,150"
84,"0,602","-0,172","-0,094","3,733","0,033","-0,029","-0,715","0,186","-0,140","-0,158","-0,713","0,111","-0,711","-0,141","-0,071","5,032","0,234","-0,002","3,820","0,621","0,136"
85,"0,581","-0,203","-0,092","3,739","0,009","-0,014","-0,724","0,218","-0,152","-0,171","-0,721","0,118","-0,712","-0,148","-0,072","5,015","0,245","-0,011","3,842","0,624","0,123"
86,"0,596","-0,192","-0,097","3,738","-0,004","0,001","-0,711","0,209","-0,157","-0,241","-0,729","0,121","-0,705","-0,138","-0,072","4,989","0,259","-0,021","3,854","0,627","0,111"
87,"0,588","-0,150","-0,101","3,732","-0,017","0,012","-0,661","0,198","-0,159","-0,304","-0,749","0,121","-0,700","-0,135","-0,072","4,956","0,266","-0,030","3,847","0,651","0,099"
88,"0,600","-0,126","-0,106","3,736","-0,005","0,016","-0,650","0,186","-0,156","-0,353","-0,805","0,120","-0,693","-0,133","-0,068","4,929","0,294","-0,038","3,843","0,658","0,089"
89,"0,607","-0,084","-0,112","3,756","0,014","0,014","-0,590","0,184","-0,145","-0,375","-0,843","0,115","-0,659","-0,133","-0,060","4,921","0,330","-0,044","3,851","0,662","0,078"
90,"0,609","-0,020","-0,120","3,754","0,023","0,008","-0,553","0,175","-0,131","-0,301","-0,857","0,111","-0,610","-0,167","-0,047","4,896","0,361","-0,050","3,830","0,674","0,065"
91,"0,611","-0,026","-0,129","3,755","0,033","0,000","-0,495","0,181","-0,112","-0,244","-0,893","0,106","-0,562","-0,190","-0,035","4,873","0,393","-0,055","3,811","0,683","0,056"
92,"0,612","-0,029","-0,137","3,767","0,042","-0,008","-0,443","0,188","-0,096","-0,268","-0,888","0,106","-0,571","-0,192","-0,024","4,864","0,424","-0,058","3,795","0,687","0,049"
93,"0,617","0,020","-0,144","3,757","0,043","-0,016","-0,407","0,205","-0,082","-0,285","-0,902","0,108","-0,555","-0,195","-0,017","4,850","0,455","-0,059","3,778","0,689","0,044"
94,"0,620","-0,040","-0,149","3,770","0,045","-0,024","-0,370","0,258","-0,069","-0,292","-0,902","0,106","-0,543","-0,199","-0,006","4,842","0,481","-0,059","3,763","0,694","0,040"
95,"0,631","-0,012","-0,150","3,772","0,059","-0,030","-0,309","0,282","-0,063","-0,310","-0,919","0,099","-0,528","-0,197","0,009","4,815","0,513","-0,059","3,738","0,690","0,037"
96,"0,668","0,034","-0,147","3,690","0,088","-0,033","-0,286","0,235","-0,061","-0,329","-0,944","0,091","-0,510","-0,191","0,021","4,740","0,508","-0,056","3,669","0,721","0,035"
97,"0,643","0,027","-0,147","3,587","0,058","-0,036","-0,345","0,221","-0,059","-0,329","-0,944","0,089","-0,495","-0,191","0,024","4,665","0,490","-0,050","3,599","0,764","0,036"
98,"0,664","0,014","-0,149","3,529","-0,003","-0,039","-0,312","0,234","-0,057","-0,334","-0,971","0,084","-0,469","-0,203","0,023","4,597","0,461","-0,043","3,538","0,817","0,043"
99,"0,656","0,002","-0,148","3,484","-0,024","-0,038","-0,321","0,262","-0,062","-0,394","-0,954","0,084","-0,489","-0,214","0,016","4,520","0,458","-0,039","3,482","0,829","0,051"
100,"0,596","0,048","-0,143","3,439","-0,049","-0,035","-0,317","0,244","-0,071","-0,405","-0,969","0,085","-0,508","-0,232","0,005","4,440","0,444","-0,038","3,428","0,844","0,064"
101,"0,536","0,013","-0,138","3,397","-0,084","-0,029","-0,315","0,278","-0,080","-0,406","-0,957","0,086","-0,530","-0,234","-0,005","4,364","0,421","-0,037","3,371","0,871","0,076"
102,"0,512","0,060","-0,136","3,352","-0,112","-0,020","-0,320","0,270","-0,089","-0,398","-0,960","0,089","-0,554","-0,241","-0,014","4,286","0,400","-0,039","3,313","0,900","0,088"
103,"0,474","0,043","-0,137","3,310","-0,133","-0,015","-0,321","0,248","-0,088","-0,387","-0,975","0,085","-0,575","-0,245","-0,011","4,209","0,372","-0,040","3,255","0,935","0,097"
104,"0,414","0,011","-0,145","3,267","-0,136","-0,012","-0,326","0,240","-0,082","-0,405","-0,989","0,071","-0,591","-0,272","-0,005","4,131","0,349","-0,041","3,201","0,957","0,105"
105,"0,358","0,041","-0,154","3,220","-0,126","-0,012","-0,333","0,210","-0,069","-0,448","-0,995","0,053","-0,604","-0,288","0,007","4,056","0,328","-0,043","3,151","0,966","0,115"
106,"0,351","0,085","-0,169","3,173","-0,121","-0,015","-0,335","0,171","-0,049","-0,427","-0,940","0,042","-0,594","-0,308","0,013","3,980","0,310","-0,044","3,106","0,961","0,125"
107,"0,334","0,066","-0,185","3,130","-0,118","-0,018","-0,342","0,155","-0,029","-0,422","-0,875","0,034","-0,582","-0,325","0,015","3,906","0,297","-0,045","3,065","0,945","0,136"
108,"0,305","0,097","-0,201","3,087","-0,085","-0,020","-0,353","0,134","-0,010","-0,420","-0,865","0,030","-0,542","-0,343","0,011","3,835","0,300","-0,046","3,029","0,908","0,148"
109,"0,297","0,104","-0,214","3,048","-0,072","-0,022","-0,358","0,119","0,007","-0,457","-0,858","0,028","-0,532","-0,344","0,009","3,764","0,290","-0,047","2,990","0,874","0,159"
110,"0,282","0,117","-0,218","3,010","-0,051","-0,020","-0,359","0,113","0,016","-0,466","-0,851","0,023","-0,496","-0,361","0,007","3,698","0,284","-0,051","2,962","0,846","0,169"
111,"0,281","0,119","-0,218","2,917","-0,078","-0,016","-0,392","0,147","0,022","-0,469","-0,783","0,022","-0,476","-0,360","0,007","3,639","0,257","-0,054","2,936","0,825","0,175"
112,"0,336","0,101","-0,212","2,879","-0,075","-0,008","-0,368","0,103","0,021","-0,463","-0,727","0,022","-0,461","-0,354","0,005","3,609","0,218","-0,060","2,939","0,815","0,178"
113,"0,324","0,096","-0,212","2,845","-0,134","0,000","-0,335","0,126","0,027","-0,461","-0,723","0,023","-0,451","-0,346","0,008","3,574","0,180","-0,069","2,927","0,802","0,174"
