threshold,model,% below,gaps > 10
0.0,movenet,0.0,0
0.0,mediapipe,0.0,0
0.1,movenet,0.02664890073284477,0
0.1,mediapipe,0.1782145236508994,4
0.2,movenet,0.21319120586275817,8
0.2,mediapipe,1.4012880302020876,44
0.30000000000000004,movenet,0.9821230290917166,9
0.30000000000000004,mediapipe,3.180102154119476,78
0.4,movenet,3.580946035976016,88
0.4,mediapipe,5.263157894736842,125
0.5,movenet,8.358871863202308,245
0.5,mediapipe,8.358316677770375,161
0.6000000000000001,movenet,17.0042194092827,362
0.6000000000000001,mediapipe,11.593937375083279,190
0.7000000000000001,movenet,33.58594270486343,656
0.7000000000000001,mediapipe,15.810570730624029,203
0.8,movenet,61.09538085720631,1279
0.8,mediapipe,20.954918942926938,249
0.9,movenet,92.97246280257606,1758
0.9,mediapipe,28.313901843215632,244
1.0,movenet,100.0,120
1.0,mediapipe,100.0,120
