visibility,% below,gaps > 10
0.0,0.0,0
0.05,0.0,0
0.1,0.1782145236508994,4
0.15000000000000002,0.4252720408616478,12
0.2,1.4012880302020876,44
0.25,2.336775483011326,63
0.30000000000000004,3.180102154119476,78
0.35000000000000003,4.055074394847879,90
0.4,5.263157894736842,125
0.45,6.925383077948035,142
0.5,8.358316677770375,161
0.55,9.964468132356206,181
0.6000000000000001,11.593937375083279,190
0.65,13.352209638019099,183
0.7000000000000001,15.810570730624029,203
0.75,18.031312458361093,203
0.8,20.954918942926938,249
0.8500000000000001,24.482567177437264,248
0.9,28.313901843215632,244
0.9500000000000001,35.58960692871419,235
1.0,100.0,120
