confidence,% below,gaps > 10
0.0,0.0,0
0.05,0.0005551854319342661,0
0.1,0.02664890073284477,0
0.15000000000000002,0.056628914057295136,0
0.2,0.21319120586275817,8
0.25,0.45525205418609815,3
0.30000000000000004,0.9821230290917166,9
0.35000000000000003,2.051410170997113,28
0.4,3.580946035976016,88
0.45,5.664001776593382,161
0.5,8.358871863202308,245
0.55,11.943704197201866,317
0.6000000000000001,17.0042194092827,362
0.65,24.167777037530534,494
0.7000000000000001,33.58594270486343,656
0.75,45.708416611148124,925
0.8,61.09538085720631,1279
0.8500000000000001,78.0962691538974,1772
0.9,92.97246280257606,1758
0.9500000000000001,99.84732400621807,262
1.0,100.0,120
