frame,time,nose_x,nose_y,nose_z,nose_visibility,nose_presence,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,left_ear_presence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,left_heel_presence,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,right_heel_presence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,left_foot_index_presence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,right_foot_index_presence,nose_source,left_ear_source,left_shoulder_source,right_shoulder_source,left_elbow_source,right_elbow_source,left_wrist_source,right_wrist_source,left_hip_source,right_hip_source,left_knee_source,right_knee_source,left_ankle_source,right_ankle_source,left_heel_source,right_heel_source,left_foot_index_source,right_foot_index_source
529,10.58,-0.12914148185021043,-0.12903518047578288,-0.2559545338153839,0.9999912977218628,0.999997615814209,0.0402699336409568,-0.641980767250061,-0.2396312803030014,0.9999923706054688,0.9999971389770508,0.07815115191045383,0.038806366500482324,-0.1826705336570739,0.9999975562095642,0.9999995231628418,-0.07815115191045383,-0.038806366500482324,0.1070604398846626,0.9999890327453612,0.9999974966049194,0.09736762055173319,0.21015403162298585,-0.2061126828193664,0.9976208806037904,0.9999886751174928,0.36247193711878384,0.847944842388012,0.1624731868505478,0.5814821720123291,0.999992609024048,0.04882067021542551,0.41860755885684575,-0.1594227403402328,0.9967615008354188,0.99999737739563,-0.16402888957356077,0.3777078586444801,0.0990186333656311,0.9750736951828004,0.9999997615814208,0.39572187669856485,0.9243321332895985,-0.0617776960134506,0.9999871253967284,0.9999990463256836,0.36843521403534335,0.9239275726719557,0.0626905411481857,0.9999831318855286,0.9999992847442628,0.047081672018288,0.7806973259048301,0.0123152025043964,0.967669665813446,0.9999855756759644,-0.03938993045392472,0.712652516606676,0.1884558200836181,0.7207419276237488,0.9999946355819702,0.10508048143022031,1.069593453431592,0.1910216212272644,0.9877734184265136,0.9999325275421144,4.635545049389805e-05,1.0439381723964842,0.3784439265727997,0.9129891395568848,0.9999887943267822,0.08816766043731135,1.1006010065891205,0.2089123725891113,0.9024431705474854,0.9997571110725404,6.096352943254654e-05,1.0713025698672556,0.3587958216667175,0.8677306771278381,0.9999761581420898,-0.014881077213843222,1.1125736792866292,0.1454598903656005,0.988956332206726,0.9996527433395386,-0.08462730210604709,1.0774818288585186,0.3230280876159668,0.9592814445495604,0.9999052286148072,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
530,10.6,-0.1303876845022274,-0.12893960196911264,-0.2558339536190033,0.9999908804893494,0.9999947547912598,0.0377919040620327,-0.6418473124504089,-0.2416735291481018,0.9999920725822448,0.9999945163726808,0.07763726193189915,0.0387885762900064,-0.1850624233484268,0.9999975562095642,0.9999992847442628,-0.07763726193189915,-0.03878857629000636,0.1062156856060028,0.9999889135360718,0.999996304512024,0.09775603605284403,0.21008241519635168,-0.2088114917278289,0.9975663423538208,0.9999879598617554,0.3631216210133446,0.850807899384526,0.1617335826158523,0.5787527561187744,0.999990940093994,0.04947034853087251,0.41848872872164805,-0.1635138988494873,0.9967604279518129,0.99999737739563,-0.1639169036591395,0.3781114121594906,0.0989392027258873,0.974945068359375,0.9999997615814208,0.39632326582535077,0.9240870714068437,-0.0617684088647365,0.9999871253967284,0.9999991655349731,0.3689533766153218,0.9237093623311183,0.0626814663410186,0.9999831318855286,0.9999992847442628,0.04774630942773346,0.780896766261352,0.0123345488682389,0.9667113423347472,0.9999858140945436,-0.03876158818920586,0.7125585887121328,0.1893426477909088,0.7157893180847168,0.9999942779541016,0.10548719672171088,1.069374279370019,0.1918553560972213,0.9874187707901,0.9999432563781738,-0.0006196113456011052,1.0437088018667604,0.3810179531574249,0.910935878753662,0.9999885559082032,0.08848569461339083,1.1003612709410346,0.2098388373851776,0.8998360633850098,0.999804675579071,-0.0009094466876333405,1.071068602928112,0.3615347445011139,0.8650223612785339,0.9999774694442748,-0.014331455767266452,1.1124634065631769,0.1464436799287796,0.9886488914489746,0.9997217059135436,-0.08535954760916852,1.0773339502767578,0.3260973989963531,0.9583204388618468,0.9999138116836548,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
531,10.62,-0.12991067727661848,-0.12880142970297573,-0.2599641382694244,0.9999911785125732,0.9999972581863404,0.037813413888216,-0.6418054699897766,-0.242074966430664,0.9999922513961792,0.9999966621398926,0.07794760927401231,0.038741291470461,-0.1850503832101822,0.9999975562095642,0.9999994039535522,-0.0779476092740123,-0.038741291470461,0.1048373281955719,0.9999890327453612,0.9999972581863404,0.09803664064929507,0.2100039161831633,-0.2087655067443847,0.9975391030311584,0.9999879598617554,0.36308053257657186,0.8492121930457415,0.1613878011703491,0.5773707628250122,0.9999923706054688,0.0504209846828701,0.418381729439056,-0.163575142621994,0.9967097043991088,0.9999970197677612,-0.16368752247176724,0.3780992648279487,0.0989534184336662,0.9749584197998048,0.9999997615814208,0.39658833485233314,0.9239691176648015,-0.0617620833218097,0.9999870657920836,0.9999990463256836,0.36915599035142765,0.9236335529379004,0.062675192952156,0.9999831318855286,0.9999992847442628,0.048113640700155745,0.7808031562474885,0.0152645073831081,0.9667673110961914,0.9999853372573853,-0.03861050241437636,0.7124655921118087,0.191276341676712,0.7177300453186035,0.9999947547912598,0.10580756736151758,1.0686583082955305,0.1963900327682495,0.9874709248542786,0.9999332427978516,-0.0003486417808773064,1.0435219323652427,0.3826978206634521,0.9121240377426147,0.9999885559082032,0.08880219714839158,1.0996154282684214,0.2144533991813659,0.8999601602554321,0.9997615218162536,-0.0006230743731254156,1.07086157513889,0.3632112741470337,0.8660935759544373,0.9999754428863524,-0.014231641826939645,1.1113962489361058,0.1511210501194,0.988685429096222,0.9996631145477296,-0.08508857048566046,1.0767300771901087,0.3269943594932556,0.958768904209137,0.999901294708252,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
532,10.64,-0.12946154606536683,-0.12907443786613285,-0.2602189481258392,0.9999913573265076,0.9999969005584716,0.0378385409712791,-0.6420289278030396,-0.2417575865983963,0.999992311000824,0.9999961853027344,0.07819933520457567,0.03874119163791692,-0.1846123933792114,0.9999975562095642,0.9999994039535522,-0.07819933520457567,-0.03874119163791687,0.1047562137246131,0.9999890327453612,0.9999970197677612,0.0987343251030219,0.20996871569708353,-0.2085766792297363,0.997536599636078,0.9999873638153076,0.3629690453008885,0.8476624995042261,0.1612822115421295,0.576318085193634,0.9999918937683104,0.05121306556227057,0.41811811323073245,-0.1637894064188003,0.9967053532600404,0.9999972581863404,-0.16356753549227185,0.37782882469539736,0.0988311991095542,0.9750009179115297,0.9999997615814208,0.39669879940356884,0.9239012270082209,-0.0617673732340335,0.9999868869781494,0.9999990463256836,0.3692968134686645,0.9235972766611303,0.0626816600561142,0.9999829530715942,0.9999991655349731,0.04873881051871703,0.7807764968596501,0.0163943339139223,0.9663236737251282,0.9999841451644896,-0.03870368925649734,0.7123604574491578,0.191179022192955,0.7164778113365173,0.9999943971633912,0.10625989468043648,1.0685872834344852,0.1980615705251693,0.9873761534690856,0.999929904937744,-0.0002694282023989561,1.0433775447551126,0.3824720978736877,0.9121271371841432,0.9999885559082032,0.08922829196771358,1.099546854091011,0.2161633819341659,0.8993401527404785,0.9997530579566956,-0.0005236689480216014,1.0707003409278115,0.3629652559757232,0.8660607933998108,0.999975562095642,-0.014087385855026726,1.1112925628427015,0.1528243571519851,0.9886024594306946,0.999665141105652,-0.08523775770870001,1.0763620840561403,0.3268877863883972,0.958766520023346,0.9999048709869384,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
533,10.66,-0.12869208550305467,-0.12942656415759798,-0.2601235806941986,0.9999914765357972,0.9999969005584716,0.0381936803460121,-0.6422178745269775,-0.2385760992765426,0.9999923706054688,0.999996304512024,0.07888873914659807,0.038687310315343795,-0.1813365221023559,0.9999975562095642,0.9999994039535522,-0.07888873914659805,-0.038687310315343795,0.1049917191267013,0.999989092350006,0.9999971389770508,0.09940905224850817,0.2101529003810521,-0.2032189965248108,0.9975003600120544,0.9999878406524658,0.3636843875594219,0.8494932654593106,0.1614173799753189,0.5789187550544739,0.9999923706054688,0.05192161378340475,0.41820856553605296,-0.1599417924880981,0.9966750741004944,0.9999972581863404,-0.1634920097357373,0.3777757521027338,0.0988778546452522,0.9752718210220336,0.9999997615814208,0.39676846448980113,0.9238738169181246,-0.0616899989545345,0.9999868273735046,0.9999990463256836,0.3693819144475031,0.9235605112392324,0.0626166611909866,0.999983012676239,0.9999991655349731,0.04921996491427423,0.7802416140933711,0.0157068651169538,0.9660490155220032,0.9999827146530152,-0.0386544371540985,0.7123040077196293,0.1901612430810928,0.7166062593460083,0.9999936819076538,0.10652568936138714,1.0677619177578508,0.1976328641176223,0.9870128035545348,0.999921441078186,-0.00012085697522700791,1.0431430343856367,0.3808870613574981,0.911915123462677,0.9999855756759644,0.08952092819438694,1.0987521319679214,0.21572907269001,0.8972989320755005,0.9997265934944152,-0.00035068597662470764,1.0704370966220043,0.3613655865192413,0.8654042482376099,0.9999699592590332,-0.013751266760215326,1.11092365065976,0.1526890695095062,0.9882991313934326,0.9996168613433838,-0.08511104903910223,1.0760855154360878,0.325005441904068,0.95852530002594,0.9998817443847656,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
534,10.68,-0.1280509061667393,-0.12953195382124388,-0.2606409788131714,0.9999917149543762,0.99999737739563,0.0385835357010364,-0.6422138214111328,-0.2384455651044845,0.9999925494194032,0.999996781349182,0.0792368493974251,0.03867233454391743,-0.1808765083551406,0.9999975562095642,0.9999994039535522,-0.0792368493974251,-0.03867233454391743,0.1047820001840591,0.9999891519546508,0.9999972581863404,0.09982450475302283,0.21016975394647117,-0.2025316208600998,0.9974563717842102,0.9999881982803344,0.36319431160008564,0.849149307904825,0.1606190055608749,0.5752683877944946,0.9999922513961792,0.05256075257179972,0.4180921842286019,-0.1599075347185135,0.9966384768486024,0.9999972581863404,-0.1632785353421305,0.37772604236895246,0.0977984070777893,0.974909484386444,0.9999997615814208,0.39652462253368537,0.9239846730777457,-0.0616741590201854,0.9999868273735046,0.9999991655349731,0.3691933510943975,0.9236289187922924,0.0626048594713211,0.9999830722808838,0.9999992847442628,0.04969392634042458,0.7802978736821805,0.0156867131590843,0.9652811884880066,0.9999843835830688,-0.03888033011135795,0.7122932600561122,0.1900870501995086,0.7126337885856628,0.9999942779541016,0.10689927041368821,1.067542282342504,0.1973167061805725,0.9866304993629456,0.999931573867798,-0.00039960476394134407,1.0429538504484896,0.380745381116867,0.9103267788887024,0.9999881982803344,0.08986238470400688,1.0985036575329576,0.2153923660516739,0.895064651966095,0.999761164188385,-0.0006266687047506493,1.0702225122342894,0.3612114787101745,0.8632783889770508,0.999975323677063,-0.01390363657193685,1.110710027301985,0.1523966342210769,0.9880296587944032,0.999671459197998,-0.08540222666275071,1.0756348299306187,0.3248136043548584,0.9578582644462584,0.9999057054519652,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
535,10.7,-0.127594673898599,-0.1296746221160509,-0.2611384093761444,0.9999918937683104,0.9999972581863404,0.038596287369728,-0.6419849395751953,-0.2382305413484573,0.9999926686286926,0.9999964237213136,0.07965680450571502,0.03861007719894065,-0.1802620440721511,0.9999975562095642,0.9999994039535522,-0.07965680450571501,-0.0386100771989406,0.1043107584118843,0.9999892711639404,0.99999737739563,0.10019211710282323,0.21018459528361086,-0.2005095928907394,0.997406542301178,0.999987006187439,0.3633335898877538,0.84825865138659,0.159828707575798,0.5780672430992126,0.999993085861206,0.05308896494985199,0.4177985420476656,-0.1573904752731323,0.9965920448303224,0.9999970197677612,-0.16304604430486525,0.37746542972419544,0.0973130762577056,0.9751905798912048,0.9999997615814208,0.39671805257959497,0.9239009580375513,-0.0616360157728195,0.9999867081642152,0.999998927116394,0.3694905969151531,0.9235092036318692,0.0625755786895752,0.999983012676239,0.9999991655349731,0.050118618822764714,0.7796047690242146,0.0155914863571524,0.964764416217804,0.9999831914901732,-0.038767165488386005,0.7115520592916295,0.1892662644386291,0.7095244526863098,0.9999942779541016,0.10620198138899332,1.0671270241190525,0.1970500648021698,0.9863211512565612,0.9999213218688964,-0.00032734473727651905,1.0419188105166624,0.3798905909061432,0.9088494777679444,0.999987006187439,0.08888151705982465,1.0981291506101665,0.2150739133358001,0.8936413526535034,0.9997228980064392,-0.0005719876798223808,1.0691817560332046,0.3603984713554382,0.8616729974746704,0.9999725818634032,-0.016995750023530834,1.1099531136278542,0.151879534125328,0.9877990484237672,0.9996286630630492,-0.08589446033174365,1.0734075476606906,0.3234468996524811,0.957194983959198,0.9998971223831176,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
536,10.72,-0.1270879905509834,-0.12965905647678239,-0.2611053884029388,0.9999920129776,0.9999969005584716,0.0383371151983737,-0.6420916318893433,-0.2381583750247955,0.9999927878379822,0.9999964237213136,0.08006411380067688,0.03858286450612853,-0.1800568550825119,0.9999975562095642,0.9999994039535522,-0.08006411380067689,-0.03858286450612853,0.1039920002222061,0.9999892711639404,0.9999971389770508,0.10063959046193272,0.20999095814991992,-0.1999388933181762,0.997434139251709,0.9999890327453612,0.36392825910287835,0.8485907748554876,0.1589302271604538,0.5797722339630127,0.999991774559021,0.05358597461219646,0.4173106716820296,-0.1568744331598281,0.9966278672218324,0.999997615814209,-0.1625646277181159,0.37745047686132466,0.0961755290627479,0.9750027656555176,0.9999997615814208,0.3970858821974109,0.9237595458175732,-0.0615855082869529,0.9999868273735046,0.9999991655349731,0.36987719244421335,0.9233375393775356,0.0625331401824951,0.9999831318855286,0.9999992847442628,0.050158788962453335,0.7795352751454306,0.0149105601012706,0.9655288457870485,0.9999866485595704,-0.039082128634675015,0.7113420707918504,0.1890987753868103,0.7140551209449768,0.9999949932098388,0.10619725383998996,1.066433124960231,0.1967840641736984,0.9865121245384216,0.9999412298202516,1.1694072986334218e-06,1.041141011132053,0.3792071342468261,0.9107173681259156,0.9999892711639404,0.0889253096047267,1.0973304591297715,0.2147987782955169,0.8949294686317444,0.9997912049293518,-0.00019845849693154636,1.068353883647187,0.3596416115760803,0.8636160492897034,0.9999772310256958,-0.016863930669953606,1.1091931315342127,0.1517557501792907,0.9879684448242188,0.9997020363807678,-0.08548622511573897,1.0723479006913759,0.3225218951702118,0.9579988121986388,0.999909520149231,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
537,10.74,-0.1267791345201377,-0.12963927939426198,-0.2614620625972748,0.9999920725822448,0.999996781349182,0.0383212938904762,-0.6420947909355164,-0.2382105886936187,0.9999927878379822,0.999996304512024,0.0804017017533853,0.038576644994888006,-0.1800615340471267,0.9999975562095642,0.9999994039535522,-0.08040170175338532,-0.038576644994888006,0.1033003777265548,0.9999892711639404,0.9999972581863404,0.1011390070777451,0.20997111460789022,-0.2000375986099243,0.997447907924652,0.9999884366989136,0.3645319007613757,0.8507324853168776,0.1580478101968765,0.5804509520530701,0.9999922513961792,0.054155641971456996,0.4171146692101892,-0.1573987156152725,0.9966665506362916,0.9999974966049194,-0.1622926259027905,0.37747263867056285,0.0955157205462455,0.97502863407135,0.9999997615814208,0.3973657366931076,0.9236125041245847,-0.061489138752222,0.9999869465827942,0.9999991655349731,0.37006020727580524,0.9232923176037638,0.0624440647661685,0.999983251094818,0.9999992847442628,0.050536077213181624,0.7795440583580024,0.0148601857945322,0.966145396232605,0.9999873638153076,-0.038894722199471654,0.7111699244564991,0.1891079545021057,0.7181164622306824,0.999995231628418,0.10682221512082415,1.066200062469318,0.19747094810009,0.9866523146629332,0.9999390840530396,0.00039662707029671467,1.0403281279774916,0.3792888522148132,0.9120826721191406,0.9999892711639404,0.08961800603326361,1.0970799916255385,0.2156320512294769,0.8955631256103516,0.9997822642326356,0.00024224687721338822,1.0674654604608047,0.3597221970558166,0.8649011254310608,0.9999772310256958,-0.01633202034656493,1.1087769500002613,0.1526838392019271,0.9880844950675964,0.9996967315673828,-0.08512262834921855,1.070841629736849,0.3225620687007904,0.958560585975647,0.9999105930328368,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
538,10.76,-0.12676824886881236,-0.12971274540333058,-0.2613851726055145,0.9999921321868896,0.9999969005584716,0.0383290946483612,-0.6420791745185852,-0.2381220012903213,0.999992847442627,0.9999961853027344,0.08046220337465941,0.03857104517480632,-0.1799687147140503,0.9999975562095642,0.9999992847442628,-0.08046220337465941,-0.03857104517480632,0.1032852083444595,0.9999893307685852,0.9999971389770508,0.10134285290873009,0.2099509503353608,-0.2000137716531753,0.9974321722984314,0.999987244606018,0.36428772514165564,0.8506000414825972,0.1580251157283783,0.5818660855293274,0.9999924898147584,0.0544289976896021,0.4170715440508901,-0.1571336835622787,0.9966245889663696,0.9999971389770508,-0.16232777684740213,0.37754029230400876,0.0954739078879356,0.9751924872398376,0.9999997615814208,0.39747266745100296,0.9235495350356199,-0.0614921599626541,0.99998676776886,0.999998927116394,0.37006117164645524,0.9233104504100329,0.0624491386115551,0.9999831318855286,0.9999991655349731,0.050675456653620665,0.7795621043826076,0.0147765548899769,0.9656566381454468,0.9999819993972778,-0.03896814779510997,0.7110382087603954,0.1889507174491882,0.7147543430328369,0.9999935626983644,0.106860517273663,1.066257635267559,0.1970779597759246,0.9864047169685364,0.9999139308929444,0.0003201984509031826,1.040111609602069,0.3792149126529693,0.9103533625602722,0.9999858140945436,0.08964364684661882,1.097144442394548,0.2151859998703003,0.8942870497703552,0.999698281288147,0.00016133596384960275,1.0672439541389793,0.3596709370613098,0.8634616732597351,0.999970316886902,-0.016354462183630885,1.1088358920430066,0.1521426737308502,0.9878562688827516,0.9995966553688048,-0.08547783194601384,1.0705973359069088,0.3225035667419433,0.9577581882476808,0.9998888969421388,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe
