frame,time,nose_x,nose_y,nose_z,nose_visibility,nose_presence,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,left_ear_presence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,left_heel_presence,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,right_heel_presence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,left_foot_index_presence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,right_foot_index_presence,nose_interpolated,left_ear_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated,left_heel_interpolated,right_heel_interpolated,left_foot_index_interpolated,right_foot_index_interpolated
300,6.0,0.5050957798957825,0.4578045606613159,-0.1490516811609268,0.9998627305030824,0.9999303817749025,0.5237388014793396,0.4511459767818451,-0.1552707552909851,0.99990713596344,0.9999547004699708,0.5513802766799927,0.5275649428367615,-0.1705241948366165,0.9999952912330629,0.9999979734420776,0.5042479634284973,0.5229963660240173,-0.0088243717327713,0.999941885471344,0.9999849796295166,0.5426502227783203,0.623664140701294,-0.1910903304815292,0.996384620666504,0.9999668598175048,,,0.0148560078814625,0.5251200795173645,0.9999446868896484,0.5208567976951599,0.7018056511878967,-0.2021503001451492,0.9941513538360596,0.999994158744812,,,-0.0244303774088621,0.5778993368148804,0.9999794960021972,0.5409417748451233,0.6678688526153564,-0.0475635379552841,0.9999939203262328,0.9999997615814208,0.5111199021339417,0.6603720188140869,0.0475308112800121,0.9999914765357972,0.9999997615814208,0.4945199191570282,0.7284421324729919,-0.1789342015981674,0.9919303059577942,0.99999737739563,0.4665718972682953,0.7040562033653259,-0.0746829956769943,0.9534114599227904,0.9999959468841552,0.5037746429443359,0.838751494884491,-0.0604411363601684,0.9808695912361144,0.9999840259552002,0.485142320394516,0.8155989050865173,0.0221238005906343,0.91589093208313,0.9999921321868896,0.5122647881507874,0.8532504439353943,-0.0504297278821468,0.8844723701477051,0.9999459981918336,0.4943378865718841,0.8301158547401428,0.0307531468570232,0.8173225522041321,0.9999898672103882,0.4794730544090271,0.8842714428901672,-0.1035458147525787,0.9823587536811828,0.9998038411140442,0.4672093987464905,0.8662417531013489,-0.011978005990386,0.9326411485671996,0.9998810291290284,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
301,6.02,0.5050936341285706,0.4577576220035553,-0.1547680795192718,0.9998563528060912,0.9998898506164552,0.5237387418746948,0.4511595964431762,-0.1585012078285217,0.9999019503593444,0.9999314546585084,0.5513808727264404,0.5275655388832092,-0.1733461320400238,0.9999951124191284,0.9999971389770508,0.5042721629142761,0.5229398012161255,-0.0110965566709637,0.9999393224716188,0.9999737739562988,0.5426470637321472,0.6237174868583679,-0.1947167217731475,0.9962446689605712,0.9999607801437378,,,0.0117272455245256,0.5156774520874023,0.999911904335022,0.5208638310432434,0.701779305934906,-0.2072354704141616,0.99386465549469,0.9999923706054688,,,-0.0292000249028205,0.5618329048156738,0.9999514818191528,0.5411455631256104,0.6677615642547607,-0.0475884713232517,0.9999936819076538,0.9999996423721312,0.511341392993927,0.6602646708488464,0.0475547313690185,0.9999911189079284,0.9999996423721312,0.4944842755794525,0.7282998561859131,-0.1792125403881073,0.9911860823631288,0.9999964237213136,0.4665793776512146,0.7040383815765381,-0.0747264623641967,0.95015287399292,0.9999935626983644,0.5037884712219238,0.8387741446495056,-0.0606031492352485,0.9794039130210876,0.9999779462814332,0.4849475026130676,0.8156504034996033,0.0215829294174909,0.9108404517173768,0.9999879598617554,0.5122220516204834,0.8532490730285645,-0.0507104806602001,0.877715528011322,0.9999268054962158,0.4942957758903503,0.8306357860565186,0.0301552731543779,0.8091920614242554,0.9999855756759644,0.4795985817909241,0.8843271136283875,-0.1041333004832267,0.9809637069702148,0.9997329115867616,0.4670996367931366,0.8663475513458252,-0.0127564473077654,0.928093433380127,0.9998314380645752,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
302,6.04,0.5050786137580872,0.4577235579490661,-0.154915913939476,0.9998571872711182,0.9999202489852904,0.52374267578125,0.4511577785015106,-0.1586204171180725,0.9999026656150818,0.9999496936798096,0.5513869524002075,0.527569591999054,-0.1737602055072784,0.9999950528144836,0.999997615814209,0.5042725205421448,0.5229445099830627,-0.0106137283146381,0.9999393224716188,0.9999828338623048,0.5426490902900696,0.6237387657165527,-0.1945920884609222,0.9962594509124756,0.9999632835388184,,,0.0134715167805552,0.5172563195228577,0.99993634223938,0.5208600163459778,0.7017642259597778,-0.20683354139328,0.9938520193099976,0.9999927282333374,,,-0.0262192767113447,0.5641664266586304,0.9999722242355348,0.5416158437728882,0.6677022576332092,-0.047726597636938,0.9999935030937196,0.9999996423721312,0.5116097331047058,0.660202145576477,0.0476909987628459,0.999990940093994,0.9999996423721312,0.4944841563701629,0.7278994917869568,-0.1837378144264221,0.9913458824157716,0.9999969005584716,0.4665792882442474,0.7040070295333862,-0.074498638510704,0.950129210948944,0.9999948740005492,0.5038231611251831,0.8393843173980713,-0.0642681568861007,0.9795501828193665,0.9999817609786988,0.48466357588768,0.8156474828720093,0.0235149208456277,0.9104678630828856,0.9999892711639404,0.5122595429420471,0.8533151745796204,-0.0541853681206703,0.8777441382408142,0.9999383687973022,0.4941861033439636,0.8306019306182861,0.032206580042839,0.8074409365653992,0.9999871253967284,0.4795790910720825,0.884338915348053,-0.108347587287426,0.9810740947723388,0.9997739195823668,0.4669777452945709,0.8664863705635071,-0.0117059303447604,0.9275924563407898,0.9998537302017212,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
303,6.06,0.5051615834236145,0.4576080739498138,-0.1615092307329177,0.9998611211776732,0.9999533891677856,0.5238553285598755,0.4511007368564605,-0.1635961085557937,0.999904215335846,0.999964714050293,0.5515071749687195,0.5276623964309692,-0.1775204986333847,0.9999951124191284,0.9999979734420776,0.5042635798454285,0.5229558944702148,-0.0151759106665849,0.999941110610962,0.9999868869781494,0.5426561236381531,0.6239376068115234,-0.1961738169193267,0.996300995349884,0.9999690055847168,,,0.00995859131217,0.5255931615829468,0.9999500513076782,0.5208632349967957,0.7017641067504883,-0.2066617012023925,0.9939778447151184,0.9999953508377076,,,-0.0302258357405662,0.5776652097702026,0.9999833106994628,0.5412929058074951,0.6669302582740784,-0.047709371894598,0.9999935030937196,0.9999997615814208,0.5114566087722778,0.6588183045387268,0.0476738177239894,0.999990940093994,0.9999997615814208,0.4944896101951599,0.7278972864151001,-0.1828423291444778,0.9911234974861144,0.999997615814209,0.466585099697113,0.7038817405700684,-0.0790577679872512,0.9501000046730042,0.9999966621398926,0.5038263201713562,0.8395212888717651,-0.063150830566883,0.9791988134384156,0.999987244606018,0.484667420387268,0.8159427046775818,0.0189946312457323,0.910542905330658,0.9999938011169434,0.5122685432434082,0.8533176183700562,-0.0531395114958286,0.8748763203620911,0.9999583959579468,0.4943456947803497,0.8306888341903687,0.027646280825138,0.8063763380050659,0.9999922513961792,0.4795223474502563,0.8843315839767456,-0.1077369973063469,0.9807924032211304,0.999847173690796,0.466886430978775,0.866534948348999,-0.0171879213303327,0.9278225898742676,0.9999063014984132,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
304,6.08,0.5052170157432556,0.4576075971126556,-0.159242108464241,0.9998690485954284,0.9999680519104004,0.5239382982254028,0.4511007964611053,-0.1615833193063736,0.999910295009613,0.9999810457229614,0.5515177845954895,0.5276486277580261,-0.1763480752706527,0.999995231628418,0.9999986886978148,0.5042654275894165,0.5229570269584656,-0.0113748423755168,0.9999402165412904,0.999982476234436,0.5427152514457703,0.6238638162612915,-0.1956139951944351,0.9964423179626464,0.9999765157699584,,,0.0115807065740227,0.5185667276382446,0.999919056892395,0.5208604335784912,0.7017386555671692,-0.2061407715082168,0.994229793548584,0.9999953508377076,,,-0.0294417906552553,0.5676340460777283,0.9999547004699708,0.5414724349975586,0.6674384474754333,-0.0480047538876533,0.9999935626983644,0.9999997615814208,0.5116642117500305,0.6595531702041626,0.0479660034179687,0.999990940093994,0.9999996423721312,0.494561493396759,0.7277731895446777,-0.1828715205192566,0.9914541244506836,0.9999974966049194,0.4665833711624145,0.7034062743186951,-0.076891228556633,0.951448142528534,0.9999947547912598,0.5038597583770752,0.8386054039001465,-0.0624921321868896,0.9798020720481871,0.9999843835830688,0.4846712946891784,0.8149371147155762,0.0203904304653406,0.9127545356750488,0.999990940093994,0.5122839212417603,0.8526780009269714,-0.0521000623703002,0.879112720489502,0.9999473094940186,0.4943728446960449,0.8298675417900085,0.0290655009448528,0.8110821843147278,0.9999887943267822,0.4796956479549408,0.884295642375946,-0.1036981716752052,0.9813664555549622,0.9997709393501282,0.4669524729251861,0.8665186762809753,-0.0138911036774516,0.9293448328971864,0.9998453855514526,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
305,6.1,0.5052489638328552,0.4576053023338318,-0.1585211455821991,0.9998709559440612,0.9999537467956544,0.5239464044570923,0.451073944568634,-0.1607913076877594,0.9999101161956788,0.9999657869338988,0.5515311360359192,0.527632474899292,-0.1760572046041488,0.9999952912330629,0.9999980926513672,0.5043069124221802,0.5229547023773193,-0.0113723324611783,0.9999414682388306,0.9999866485595704,0.5427152514457703,0.6239444613456726,-0.1953755021095276,0.996447741985321,0.9999725818634032,,,0.012278358452022,0.5271531939506531,0.9999537467956544,0.5208581686019897,0.7017337083816528,-0.2058644443750381,0.9943209290504456,0.9999961853027344,,,-0.0286856591701507,0.5806297063827515,0.999985933303833,0.5415248274803162,0.6668235063552856,-0.0475158207118511,0.9999935030937196,0.9999997615814208,0.511860191822052,0.6585802435874939,0.0474776960909366,0.9999908208847046,0.9999997615814208,0.4943848550319671,0.7275568246841431,-0.1795185655355453,0.99093097448349,0.999997615814209,0.4665481746196747,0.7028680443763733,-0.0779345035552978,0.9497668147087096,0.9999961853027344,0.5038549900054932,0.838601291179657,-0.0623374991118907,0.9790719151496888,0.9999878406524658,0.4845750629901886,0.8149431943893433,0.016762750223279,0.9102572798728944,0.9999924898147584,0.5123263001441956,0.8526285290718079,-0.0520918853580951,0.8758293986320496,0.9999604225158693,0.4944367110729217,0.8300430178642273,0.0250664632767438,0.8057794570922852,0.9999911785125732,0.4797081649303436,0.8842638731002808,-0.1036099940538406,0.9808555245399476,0.9998488426208496,0.4671479165554046,0.8670307993888855,-0.0180625449866056,0.9276357293128968,0.9998940229415894,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
306,6.12,0.5052491426467896,0.4576197266578674,-0.1576393544673919,0.9998704195022584,0.9999386072158812,0.5239461064338684,0.4510776996612549,-0.1604420691728592,0.9999101161956788,0.9999610185623168,0.5515863299369812,0.5276369452476501,-0.1758571714162826,0.9999952912330629,0.9999979734420776,0.5043154954910278,0.5229414701461792,-0.0111170699819922,0.99994158744812,0.9999828338623048,0.5427463054656982,0.6239480376243591,-0.1969880312681198,0.996530532836914,0.999970555305481,,,0.012637123465538,0.5273289680480957,0.9999353885650636,0.5208880305290222,0.701657772064209,-0.2100188881158828,0.9944652318954468,0.9999948740005492,,,-0.0282704904675483,0.5839805603027344,0.999975085258484,0.5414228439331055,0.6666589975357056,-0.0476925447583198,0.9999935030937196,0.9999997615814208,0.5117477774620056,0.6585283875465393,0.0476539358496665,0.9999908208847046,0.9999996423721312,0.4943854510784149,0.7282752394676208,-0.1806472390890121,0.9909213781356812,0.9999971389770508,0.4665308892726898,0.7026171684265137,-0.0789877548813819,0.950240194797516,0.999995231628418,0.5038527846336365,0.8386827707290649,-0.0633594095706939,0.9789806008338928,0.9999823570251464,0.4845567345619201,0.8151775002479553,0.014203350059688,0.9107787609100342,0.9999910593032836,0.512222170829773,0.853202223777771,-0.0532464645802974,0.875229001045227,0.9999412298202516,0.4944320619106293,0.8301294445991516,0.0223085917532444,0.8068035840988159,0.9999886751174928,0.4797365963459015,0.8843730688095093,-0.1060674861073494,0.9807572364807128,0.9997785687446594,0.4671157002449035,0.867186427116394,-0.0224842298775911,0.9279560446739196,0.999861478805542,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
307,6.14,0.5052670836448669,0.4576235711574554,-0.1538233458995819,0.999874711036682,0.9999539852142334,0.5239853262901306,0.4510943591594696,-0.1529535353183746,0.9999135732650756,0.9999715089797974,0.5516099333763123,0.5276286602020264,-0.170162633061409,0.9999952912330629,0.9999980926513672,0.5043156147003174,0.522948682308197,-0.004805167671293,0.9999405145645142,0.9999804496765136,0.5427490472793579,0.6239466667175293,-0.1932840198278427,0.996537744998932,0.9999667406082152,,,0.0156637616455554,0.5239371061325073,0.9999144077301024,0.520887017250061,0.7016177177429199,-0.2085352838039398,0.9944587349891664,0.9999933242797852,,,-0.0276821907609701,0.5773476958274841,0.9999551773071288,0.5419333577156067,0.6669620275497437,-0.0479898415505886,0.9999935626983644,0.9999997615814208,0.5121848583221436,0.6594310998916626,0.0479474812746048,0.9999908804893494,0.9999996423721312,0.4944296777248382,0.7281477451324463,-0.1841127425432205,0.9912611842155457,0.9999972581863404,0.4665315449237823,0.702610194683075,-0.0779506117105484,0.95195072889328,0.9999951124191284,0.5038543343544006,0.8384211659431458,-0.0636483877897262,0.9794444441795348,0.9999812841415404,0.4846287369728088,0.8151792883872986,0.0145972436293959,0.9137982726097108,0.9999895095825196,0.5121273398399353,0.8529956936836243,-0.0533302687108516,0.8781105279922485,0.9999362230300904,0.4944272637367248,0.8301321864128113,0.0226123873144388,0.8123505711555481,0.9999862909317015,0.4797944724559784,0.8843288421630859,-0.1059841960668563,0.9810791611671448,0.9997292160987854,0.4671283066272735,0.8671891689300537,-0.0217341650277376,0.929826557636261,0.99981290102005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
308,6.16,0.5052491426467896,0.4577289521694183,-0.1539027988910675,0.9998759031295776,0.9999496936798096,0.5239577889442444,0.4510886371135711,-0.1562928259372711,0.9999136328697203,0.9999629259109496,0.5516544580459595,0.5277228355407715,-0.1722159832715988,0.999995231628418,0.9999977350234984,0.5043151378631592,0.5229482650756836,-0.0096476189792156,0.9999423027038574,0.9999885559082032,0.5426971316337585,0.624101996421814,-0.1935937255620956,0.9964922666549684,0.9999668598175048,,,0.0128270843997597,0.5377407073974609,0.9999556541442872,0.5209061503410339,0.7016324400901794,-0.208280861377716,0.9943822622299194,0.9999943971633912,,,-0.0290751624852418,0.5925477147102356,0.9999839067459106,0.5422536730766296,0.6666775941848755,-0.0476762317121028,0.9999934434890748,0.9999996423721312,0.5122500061988831,0.6585748195648193,0.047633770853281,0.9999908208847046,0.9999996423721312,0.4944530725479126,0.7284076809883118,-0.1837894171476364,0.9909026026725768,0.9999966621398926,0.4665325880050659,0.7026212811470032,-0.078318640589714,0.95156329870224,0.9999954700469972,0.5038931965827942,0.8384242057800293,-0.0592342242598533,0.9779690504074096,0.9999779462814332,0.4846473336219787,0.8152700662612915,0.0179940983653068,0.9107580184936525,0.9999884366989136,0.5121524333953857,0.8529939651489258,-0.0484086722135543,0.8704044818878174,0.999929666519165,0.4947288930416107,0.8302562832832336,0.0268310774117708,0.8053902983665466,0.999986171722412,0.4793049693107605,0.8842000961303711,-0.1002147495746612,0.9797269701957704,0.9997528195381165,0.4672295153141022,0.8673213124275208,-0.0167226903140544,0.9271259903907776,0.999847173690796,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
309,6.18,0.5051940679550171,0.4576856791973114,-0.1592309921979904,0.9998757243156432,0.9999381303787231,0.5239738821983337,0.4510907232761383,-0.1624981313943863,0.9999136924743652,0.9999594688415528,0.5517061948776245,0.5277249813079834,-0.1766588687896728,0.9999952912330629,0.9999980926513672,0.50432288646698,0.5228894352912903,-0.0137914242222905,0.9999428391456604,0.999984860420227,0.5427033305168152,0.6241462230682373,-0.1963196247816085,0.9965790510177612,0.9999717473983764,,,0.0112126236781477,0.5383689403533936,0.99994158744812,0.5209051370620728,0.7016280889511108,-0.2084445357322693,0.9945929050445556,0.9999958276748656,,,-0.0293699242174625,0.5989896059036255,0.9999806880950928,0.542093813419342,0.6665289998054504,-0.0476688407361507,0.9999934434890748,0.9999997615814208,0.5121060013771057,0.6583389043807983,0.0476272590458393,0.9999907612800598,0.9999997615814208,0.4944154918193817,0.7291352152824402,-0.1767930537462234,0.9909197688102722,0.999997854232788,0.4665797650814056,0.7027615308761597,-0.0783234685659408,0.9517962336540222,0.9999966621398926,0.503892719745636,0.8387815356254578,-0.0552939623594284,0.978380560874939,0.9999886751174928,0.4846387207508087,0.8153957724571228,0.0181416105479002,0.9113335013389589,0.9999942779541016,0.5121610164642334,0.8532925844192505,-0.0449536442756652,0.8715695738792419,0.9999617338180542,0.4947174787521362,0.830353319644928,0.0269552581012249,0.8060535192489624,0.9999927282333374,0.4791742265224457,0.8841965198516846,-0.0975966975092887,0.9801292419433594,0.999858021736145,0.4671444892883301,0.8673374056816101,-0.0166771430522203,0.928059697151184,0.9999146461486816,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
