frame,time,nose_x,nose_y,nose_z,nose_visibility,nose_presence,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,left_ear_presence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,left_heel_presence,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,right_heel_presence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,left_foot_index_presence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,right_foot_index_presence,nose_interpolated,left_ear_interpolated,left_shoulder_interpolated,right_shoulder_interpolated,left_elbow_interpolated,right_elbow_interpolated,left_wrist_interpolated,right_wrist_interpolated,left_hip_interpolated,right_hip_interpolated,left_knee_interpolated,right_knee_interpolated,left_ankle_interpolated,right_ankle_interpolated,left_heel_interpolated,right_heel_interpolated,left_foot_index_interpolated,right_foot_index_interpolated,nose_source,left_ear_source,left_shoulder_source,right_shoulder_source,left_elbow_source,right_elbow_source,left_wrist_source,right_wrist_source,left_hip_source,right_hip_source,left_knee_source,right_knee_source,left_ankle_source,right_ankle_source,left_heel_source,right_heel_source,left_foot_index_source,right_foot_index_source
333,6.66,-0.08668926176940683,-0.34282499255757354,-0.14338519870066663,0.9990726709365844,0.9999281167984008,0.5631217360496521,0.4660334289073944,-0.0221602749079465,0.9993051290512084,0.9998760223388672,0.12141009143505657,0.03676598939492947,-0.49532605713206074,0.9998669624328612,0.9999643564224244,-0.12141009143505657,-0.03676598939492947,2.023664668712109,0.9997723698616028,0.999969482421875,-0.16360069861227322,0.3206093451869431,-5.430101571832705,0.6715381145477295,0.9998537302017212,-0.33552307885679533,0.09289543803843997,,0.4269333481788635,0.9998795986175536,-0.16783652198701132,-0.03761463404825347,,0.5020089149475098,0.9999940395355223,-0.10131892313708764,-0.09747964891103138,,0.3935831487178802,0.9999943971633912,-0.05982449981736238,1.0490319048694177,-5.607077679567942,0.9999340772628784,0.9999949932098388,-0.2554934576806734,0.9259553319701693,-4.892748290991639,0.9999638199806212,0.9999984502792358,-0.5357883250466691,1.3352550600382773,,0.5481328964233398,0.99993896484375,-0.7008466705541755,1.2715157821835585,,0.1913820505142212,0.9999719858169556,-0.4568462350889205,2.2249364707894084,-5.589034094575274,0.6586188077926636,0.9996869564056396,-0.5722389154284975,2.143292457076791,,0.2085622996091842,0.9999492168426514,0.4988867249450187,0.8662719027946445,,0.3569009006023407,0.9991081357002258,0.4833537320751839,0.845776284737821,,0.3265792429447174,0.9999405145645142,0.4624489089408957,0.8913497207881691,-0.0779534578323364,0.6633045077323914,0.9976977705955504,0.449701860268608,0.8732186017637515,,0.3170188665390014,0.9993756413459778,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,gpr,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,movenet,gpr,gpr,mediapipe,gpr
334,6.68,-0.08691253522617136,-0.3425873204623254,-0.13691335534208518,0.9990750551223756,0.9999237060546876,0.5630879998207092,0.4658460915088653,-0.0220987740904092,0.999308466911316,0.9998735189437866,0.12147761445560638,0.036713171847108976,-0.49870029415633543,0.9998699426651,0.9999674558639526,-0.12147761445560638,-0.036713171847108976,2.0369080945259475,0.9997754693031312,0.9999727010726928,-0.16360510908979087,0.3204758179023422,-5.460212299427165,0.6756904721260071,0.9998452663421632,-0.3364486565293157,0.09561623461181858,,0.4217158854007721,0.9998798370361328,-0.16169805815825497,-0.036359738239606816,,0.5035343766212463,0.9999939203262328,-0.1002467835793093,-0.0971545384241374,,0.3885106146335602,0.9999936819076538,-0.059551722785197145,1.0497880712061411,-5.639336439078367,0.9999347925186156,0.9999954700469972,-0.2546478991662322,0.9253773896010244,-4.920982754254014,0.9999641180038452,0.9999986886978148,-0.5494004740810521,1.3258141677282085,,0.5492058396339417,0.9999308586120604,-0.6974342847441408,1.2627900026066716,,0.1894408613443374,0.9999682903289796,-0.4570364504216042,2.2228450180352137,-5.61406704190866,0.6582216620445251,0.999637007713318,-0.5742508040198393,2.144092737887961,,0.2078942060470581,0.9999402761459352,0.4988918584988373,0.8663041560940581,,0.356707751750946,0.9990088939666748,0.4832599376584852,0.8456680255073383,,0.326636403799057,0.9999334812164308,0.462551270748352,0.8912823529510233,-0.076216347515583,0.6632487773895264,0.9976133108139038,0.4495579101663446,0.8731601768157097,,0.3161856830120086,0.9993323683738708,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,gpr,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,movenet,gpr,gpr,mediapipe,gpr
335,6.7,-0.08672096597558207,-0.34288921175703146,-0.13866924756003338,0.9991022348403932,0.9999386072158812,0.5631222128868103,0.4658418595790863,-0.0230554286390543,0.9993283748626708,0.9998953342437744,0.12152066163012067,0.036768478266947,-0.4964875562284991,0.9998717308044434,0.9999643564224244,-0.12152066163012067,-0.036768478266947,2.025514396416377,0.9997774362564088,0.9999713897705078,-0.16363198458374487,0.3192022320100494,-5.429037944971696,0.6794378757476807,0.9998681545257568,-0.33752438129327744,0.09843257500551277,,0.4215372502803802,0.9998795986175536,-0.15624018093959585,-0.03512163081576653,,0.5077784061431885,0.9999940395355223,-0.09914797313736473,-0.09687770949886967,,0.3868224620819092,0.9999945163726808,-0.05831361074632538,1.0492622971601921,-5.607225661989603,0.9999350905418396,0.9999948740005492,-0.2542659622699586,0.9261601919628211,-4.890707671004127,0.9999642372131348,0.9999984502792358,-0.5400989118836859,1.337469823657317,,0.5491023063659668,0.9999213218688964,-0.6913152834069884,1.2538824706146765,,0.1867134124040603,0.999964475631714,-0.45737201157084667,2.2225727048705126,-5.578102227283113,0.658236563205719,0.9996258020401,-0.5752581054018773,2.145526462726281,,0.2049280256032943,0.9999302625656128,0.498892080955143,0.8663320277231643,,0.3575136363506317,0.9989816546440125,0.4831949146658789,0.8455196637934687,,0.3229350447654724,0.9999227523803712,0.4626331785064201,0.8912464201033533,-0.0760732069611549,0.6641532778739929,0.997619092464447,0.4494501716098655,0.8730701195084974,,0.3127864301204681,0.999286949634552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,gpr,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,movenet,gpr,gpr,mediapipe,gpr
336,6.72,-0.08639609365032029,-0.3427848939688232,-0.16458139725890925,0.9991410374641418,0.999945878982544,0.5631754398345947,0.4657935798168182,-0.027069304138422,0.9993594288825988,0.999912977218628,0.12141801749060824,0.0368495386244397,-0.47858695787523886,0.999876081943512,0.9999723434448242,-0.12141801749060824,-0.0368495386244397,1.9402916343519017,0.9997849464416504,0.9999772310256958,-0.16342331057324785,0.3189931927854248,-5.193526011711249,0.6870806813240051,0.9998778104782104,-0.3374952722695681,0.09490491114962964,,0.4296770989894867,0.9998830556869508,-0.1512962771626253,-0.033820614230516965,,0.5220472812652588,0.999995231628418,-0.09792361358635743,-0.09646311333690799,,0.3984953165054321,0.9999959468841552,-0.05855850755042098,1.0492571221305937,-5.365645735409368,0.999936044216156,0.9999953508377076,-0.2541380129836583,0.9261468583366619,-4.661130875242554,0.999964714050293,0.9999984502792358,-0.5374074907876937,1.3292927248024908,,0.5579726696014404,0.9999366998672484,-0.6946289555636824,1.2609027893785265,,0.1935516148805618,0.9999700784683228,-0.45715962839298213,2.2203381887218034,-5.331503504507341,0.6659316420555115,0.999744474887848,-0.5747015033972763,2.144082994393762,,0.2102451771497726,0.9999488592147828,0.4988887904827793,0.8663561385090229,,0.3656042516231537,0.9993033409118652,0.4831544360118462,0.845349533110453,,0.3267363309860229,0.999942183494568,0.4626952155486689,0.8912332105886687,-0.0746775865554809,0.6729528307914734,0.9982153177261353,0.4493746939408597,0.8729580914642854,,0.3200462460517883,0.99943870306015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,gpr,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,movenet,gpr,gpr,mediapipe,gpr
337,6.74,-0.08620409351522994,-0.3427836981944956,-0.16306893469199596,0.9991607666015624,0.9999316930770874,0.5631847977638245,0.4658001363277435,-0.0280313771218061,0.9993762373924256,0.9998873472213744,0.12130908212901684,0.03671343254106422,-0.4850507525865211,0.9998770952224731,0.9999626874923706,-0.12130908212901684,-0.03671343254106422,1.962277732749259,0.9997841715812684,0.9999654293060304,-0.16329006124782564,0.31874961012754816,-5.257776356734877,0.6918734908103943,0.9998564720153807,-0.33755146237763595,0.09120759259925319,,0.4299378395080566,0.9998632669448853,-0.14706997723105283,-0.03277946926086089,,0.527880847454071,0.999992847442627,-0.09666811695390427,-0.09631745006688516,,0.3980852663516998,0.9999936819076538,-0.05893754878986096,1.0494471008159294,-5.417888037452827,0.9999365210533142,0.9999943971633912,-0.2546237646553838,0.9258197932291496,-4.711368646057196,0.999964714050293,0.9999982118606568,-0.53757890321155,1.3367243974421577,,0.565779447555542,0.9999284744262696,-0.686675160642554,1.2601889764299536,,0.1954218745231628,0.999964714050293,-0.4570257529275751,2.219066558664635,-5.386284188440875,0.6741545796394348,0.9996488094329834,-0.5737110986716746,2.1427141961315557,,0.2140054702758789,0.9999375343322754,0.4988833852505898,0.8663771092786935,,0.3733733892440796,0.9990074038505554,0.4831342746108685,0.8451759669725328,,0.3316770792007446,0.9999289512634276,0.4627379652086673,0.8912340127504791,-0.0767971277236938,0.6809884905815125,0.9976992011070251,0.4493275265010162,0.872833754305244,,0.3252602517604828,0.9993701577186584,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,gpr,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,movenet,gpr,gpr,mediapipe,gpr
338,6.76,-0.08620433324070055,-0.34296491791578104,-0.16319537195200262,0.9991754293441772,0.9999339580535888,0.5631776452064514,0.4657509624958038,-0.027729170396924,0.9993851184844972,0.9998810291290284,0.12130784362646192,0.03690892019659377,-0.48772477236874456,0.9998772740364076,0.999956488609314,-0.12130784362646192,-0.03690892019659377,1.974748009364722,0.9997860789299012,0.999968647956848,-0.16335014435605186,0.32092968067286176,-5.292960496001072,0.6929433941841125,0.999808132648468,-0.33755811643811734,0.09339427040790979,,0.433771401643753,0.9998786449432372,-0.14372975586136102,-0.030925885790349612,,0.5283114910125732,0.9999923706054688,-0.09553306759118424,-0.09536082468020068,,0.4029350876808166,0.9999942779541016,-0.05884316940544911,1.0496859134638268,-5.45309705330074,0.999936580657959,0.9999943971633912,-0.2543449242761628,0.9256401907468367,-4.744339533255295,0.9999648928642272,0.9999983310699464,-0.5417454587436993,1.3361156611451281,,0.5666868090629578,0.9999141693115234,-0.6934202350579016,1.2663468522466594,,0.1955778449773788,0.9999622106552124,-0.4571382461016327,2.21981767424435,-5.421417976556626,0.676430344581604,0.9996137022972108,-0.5727864998363438,2.142617618935829,,0.2146354168653488,0.9999383687973022,0.4988772634274191,0.8663955608592381,,0.3759579062461853,0.9989400506019592,0.4831302033774283,0.8450172988939508,,0.3326475322246551,0.9999314546585084,0.4627620108199853,0.891240114932296,-0.0771260783076286,0.6837355494499207,0.9972935318946838,0.4493047186320249,0.8727067696535455,,0.3264842927455902,0.9992929697036744,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,gpr,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,movenet,gpr,gpr,mediapipe,gpr
339,6.78,-0.08600922790254745,-0.34258751883549415,-0.16198786601386647,0.9991959929466248,0.9999479055404664,0.5631780028343201,0.465749591588974,-0.0274341031908988,0.9993997812271118,0.9999090433120728,0.12137555623909975,0.037165856469174016,-0.48821181375116046,0.9998792409896852,0.9999687671661376,-0.12137555623909975,-0.037165856469174016,1.9772165487914053,0.9997902512550354,0.999975323677063,-0.16338484962678856,0.32015207966909726,-5.299831983348638,0.6950808763504028,0.9998681545257568,-0.33752485760409123,0.09553848735971382,,0.4354456961154938,0.9998897314071656,-0.14109714138143362,-0.0291616659628676,,0.533279299736023,0.9999942779541016,-0.09434791072864922,-0.09445469115555116,,0.4096162915229797,0.9999959468841552,-0.05896386624761906,1.04882252569738,-5.459937712126994,0.9999367594718932,0.999995231628418,-0.25443843859078213,0.9264696034121294,-4.752503784860775,0.9999650120735168,0.9999984502792358,-0.5336968701719105,1.3379244263938792,,0.5661474466323853,0.9999258518218994,-0.6853579696695447,1.2429388004322206,,0.1966292411088943,0.9999679327011108,-0.4572366037718688,2.220646255271975,-5.4230540794730295,0.6771793961524963,0.999663233757019,-0.5725713490518508,2.141349059499939,,0.2151421904563903,0.9999467134475708,0.498871743948002,0.8664130838470426,,0.3763502240180969,0.9990768432617188,0.4831367750184189,0.8448993548106443,,0.3329659402370453,0.9999384880065918,0.4627759913742414,0.8912472843012356,-0.0760669633746147,0.6851067543029785,0.99777090549469,0.4493006526845663,0.872590235936965,,0.3275092244148254,0.9993889331817628,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,gpr,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,movenet,gpr,gpr,mediapipe,gpr
340,6.8,-0.08624840995460623,-0.3425619024912711,-0.15826383195840282,0.9991684556007384,0.9998883008956908,0.5631405115127563,0.465492308139801,-0.0277183558791875,0.99937903881073,0.9998050332069396,0.121335314370317,0.03715531157751334,-0.490586530222014,0.9998775124549866,0.9999508857727052,-0.121335314370317,-0.03715531157751334,1.9848917608368646,0.9997868537902832,0.9999624490737916,-0.1634918309347851,0.32075228388182,-5.337840576779411,0.6956645846366882,0.9997788071632384,-0.3375641637226794,0.10004370465635919,,0.4324996471405029,0.9998571872711182,-0.13928184482535028,-0.0278742634033924,,0.5297942757606506,0.9999918937683104,-0.09323221036150241,-0.09394305841431648,,0.403567761182785,0.999992847442627,-0.05867600616168812,1.0489160696668258,-5.477574334027903,0.999936819076538,0.9999949932098388,-0.2539099551885991,0.9265054085921102,-4.768645966263108,0.9999650716781616,0.9999985694885254,-0.5428272007165736,1.340084593479563,,0.5684926509857178,0.9999344348907472,-0.7001531862372927,1.2625461795915165,,0.1981344819068908,0.9999721050262452,-0.4572933349745296,2.2202692974494624,-5.431184627667819,0.6810082197189331,0.9996862411499025,-0.5721605917632407,2.1393591863363057,,0.2178505808115005,0.999953269958496,0.4988694236884017,0.8664304836232652,,0.3785670101642608,0.999107539653778,0.4831503733337554,0.8448475567913661,,0.3362060189247131,0.999945878982544,0.4627396156598927,0.8912163355967404,-0.0742430016398429,0.6878960728645325,0.9977960586547852,0.4493120997751534,0.8724933584140044,,0.3305655717849731,0.99943608045578,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,gpr,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,movenet,gpr,gpr,mediapipe,gpr
341,6.82,-0.08620388670256753,-0.3421166386452109,-0.1472828250145066,0.9991979002952576,0.9999566078186036,0.5631338357925415,0.4654805958271026,-0.0245903320610523,0.999401330947876,0.999926209449768,0.12129786392967755,0.03693185769645918,-0.49082985932489603,0.9998804926872252,0.9999732971191406,-0.12129786392967755,-0.03693185769645918,1.992576595441614,0.9997886419296264,0.9999749660491944,-0.1634541067549135,0.31993562552935634,-5.346757680211698,0.6976917386054993,0.9998840093612672,-0.33753949638016345,0.1046202762551863,,0.4304738938808441,0.9998894929885864,-0.13819140212348638,-0.026575317970098756,,0.5316696763038635,0.9999947547912598,-0.06859299915046536,-0.10884758614750055,,0.3976421356201172,0.999994158744812,-0.0582060785452859,1.0490464221444074,-5.501184823163349,0.9999376535415648,0.9999959468841552,-0.25332823891627804,0.9265411788097391,-4.792500989381557,0.9999654293060304,0.9999986886978148,-0.5435401207774027,1.3289432479722472,,0.5702729821205139,0.9999452829360962,-0.6920916211945035,1.2661537925438138,,0.1967183202505111,0.9999746084213256,-0.45704680936515174,2.2198654809014777,-5.458286875964527,0.6836784482002258,0.9997246861457824,-0.573101735603256,2.1391640921075714,,0.2172138690948486,0.9999514818191528,0.4988734408907502,0.8664469742686842,,0.3801056444644928,0.9992172718048096,0.4831663718739829,0.844868013298045,,0.3357470631599426,0.9999444484710692,0.4626904089689821,0.8911458037116334,-0.075578935444355,0.6907342672348022,0.998096525669098,0.4493371384829323,0.8724230627428933,,0.3305035531520843,0.9994491934776306,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,gpr,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,movenet,gpr,gpr,mediapipe,gpr
342,6.84,-0.08663307573526115,-0.3427847470255014,-0.1437427620335564,0.9991602897644044,0.99988055229187,0.5631118416786194,0.4652719795703888,-0.0255426652729511,0.9993786811828612,0.999823272228241,0.12120429438733671,0.037004585019752775,-0.49052888878365836,0.999879002571106,0.9999550580978394,-0.12120429438733671,-0.037004585019752775,1.9904140680400966,0.999784529209137,0.9999608993530272,-0.1639828097180279,0.32000893659873486,-5.343519372590166,0.6951465606689453,0.9998204112052916,-0.33802389155379253,0.1089933169544745,,0.4223499000072479,0.999836564064026,-0.1381711382235784,-0.025707500302456283,,0.5256766676902771,0.9999923706054688,-0.09910136431312012,-0.10439192224810918,,0.3857312202453613,0.9999912977218628,-0.05795574282996374,1.048365792116149,-5.49796466221289,0.9999374151229858,0.9999945163726808,-0.2536800791572106,0.9272057997160421,-4.789937249945516,0.9999651908874512,0.9999982118606568,-0.5317052383309796,1.340850281373593,,0.5709952712059021,0.999920129776001,-0.6970557948042945,1.260099894876014,,0.195744127035141,0.9999628067016602,-0.45750613877583335,2.221209204461954,-5.475928428358559,0.6841036677360535,0.9996101260185242,-0.5727953269715316,2.1391856134755507,,0.216307520866394,0.9999279975891112,0.4988844713160283,0.8664607659856487,,0.3790812194347381,0.998920202255249,0.4831819163358788,0.844951958976872,,0.3341047167778015,0.9999181032180786,0.4626609293314139,0.8910820681454164,-0.0800591260194778,0.690144956111908,0.99745374917984,0.4493753133512402,0.8723824664021126,,0.3288411200046539,0.9992328882217408,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,mediapipe,mediapipe,mediapipe,mediapipe,mediapipe,movenet,gpr,movenet,mediapipe,mediapipe,movenet,movenet,mediapipe,movenet,gpr,gpr,mediapipe,gpr
