movement,phase,aspect_id,video_id,aspect_score,aspect_name
2a_1,f1,1,028,0.5636,Fötterna rakt framför höftlederna
2a_1,f1,1,045,0.7667,Fötterna rakt framför höftlederna
2a_1,f1,1,059,0.6646,Fötterna rakt framför höftlederna
2a_1,f1,1,074,0.0,Fötterna rakt framför höftlederna
2a_1,f1,1,091,0.5622,Fötterna rakt framför höftlederna
2a_1,f1,1,030,0.0283,Fötterna rakt framför höftlederna
2a_1,f1,1,047,0.3863,Fötterna rakt framför höftlederna
2a_1,f1,1,061,1.0,Fötterna rakt framför höftlederna
2a_1,f1,1,076,0.1152,Fötterna rakt framför höftlederna
2a_1,f1,1,093,0.6143,Fötterna rakt framför höftlederna
2a_1,f1,2,028,0.5636,Knä flex >90gr
2a_1,f1,2,045,0.7667,Knä flex >90gr
2a_1,f1,2,059,0.6646,Knä flex >90gr
2a_1,f1,2,074,0.0,Knä flex >90gr
2a_1,f1,2,091,0.5622,Knä flex >90gr
2a_1,f1,2,030,0.0283,Knä flex >90gr
2a_1,f1,2,047,0.3863,Knä flex >90gr
2a_1,f1,2,061,1.0,Knä flex >90gr
2a_1,f1,2,076,0.1152,Knä flex >90gr
2a_1,f1,2,093,0.6143,Knä flex >90gr
2a_1,f1,3,028,0.5848,Knäskålarna riktade rakt fram
2a_1,f1,3,045,0.1853,Knäskålarna riktade rakt fram
2a_1,f1,3,059,0.5,Knäskålarna riktade rakt fram
2a_1,f1,3,074,0.3935,Knäskålarna riktade rakt fram
2a_1,f1,3,091,0.4881,Knäskålarna riktade rakt fram
2a_1,f1,3,030,0.4067,Knäskålarna riktade rakt fram
2a_1,f1,3,047,0.0369,Knäskålarna riktade rakt fram
2a_1,f1,3,061,0.8495,Knäskålarna riktade rakt fram
2a_1,f1,3,076,0.4838,Knäskålarna riktade rakt fram
2a_1,f1,3,093,0.5,Knäskålarna riktade rakt fram
2a_1,f1,4,028,0.2732,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,045,0.3358,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,059,0.4414,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,074,0.8615,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,091,0.5,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,030,0.5503,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,047,0.4523,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,061,0.0,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,076,0.4149,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,4,093,0.8651,Bäcken i neutralposition (lätt framåttippat)
2a_1,f1,6,028,0.2732,Ländrygg i neutral ländlordos
2a_1,f1,6,045,0.3358,Ländrygg i neutral ländlordos
2a_1,f1,6,059,0.4414,Ländrygg i neutral ländlordos
2a_1,f1,6,074,0.8615,Ländrygg i neutral ländlordos
2a_1,f1,6,091,0.5,Ländrygg i neutral ländlordos
2a_1,f1,6,030,0.5503,Ländrygg i neutral ländlordos
2a_1,f1,6,047,0.4523,Ländrygg i neutral ländlordos
2a_1,f1,6,061,0.0,Ländrygg i neutral ländlordos
2a_1,f1,6,076,0.4149,Ländrygg i neutral ländlordos
2a_1,f1,6,093,0.8651,Ländrygg i neutral ländlordos
2a_1,f1,7,028,0.6339,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,045,0.417,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,059,0.5921,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,074,0.3615,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,091,1.0,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,030,0.5,Bröstrygg i neutral thorakalkyfos
2a_1,f1,7,047,0.4852,Bröstrygg i neutral thorakalkyfos
