frame,time,nose_x,nose_y,nose_confidence,left_ear_x,left_ear_y,left_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
425,8.5,0.44205666,0.34605348,0.72688156,0.4721456,0.34329638,0.8460523,0.48479468,0.40631634,0.7714553,0.44336817,0.41719964,0.84542394,0.49553,0.51152253,0.70548785,0.44626743,0.512474,0.64297116,0.48093307,0.60601264,0.6172837,0.43568927,0.5861422,0.41902682,0.4707638,0.6067091,0.7504455,0.44618994,0.60353744,0.74332833,0.48045173,0.73705703,0.75391316,0.4602482,0.7316824,0.6825858,0.48478496,0.8580911,0.79532665,0.466792,0.847628,0.7853447
426,8.52,0.4424546,0.34542373,0.67916477,0.4724765,0.34496394,0.50803745,0.4852751,0.40762216,0.7717947,0.44396484,0.41831264,0.7423566,0.4939052,0.51500165,0.7362708,0.4473781,0.51328814,0.6062542,0.4806737,0.6062496,0.6380416,0.43378335,0.5877615,0.4733976,0.47015172,0.6086714,0.68085617,0.44618186,0.6065439,0.7759892,0.4807178,0.7399568,0.739521,0.45996538,0.7349346,0.66714895,0.4854001,0.8593992,0.7017425,0.4669277,0.8492781,0.7851469
427,8.54,0.44263268,0.34523076,0.48619205,0.47157764,0.34530747,0.4446466,0.48480144,0.41112593,0.6330463,0.4455925,0.41832992,0.520884,0.4939389,0.51207274,0.6374756,0.44653052,0.5144662,0.45624316,0.48005486,0.6030114,0.46085823,0.4352323,0.58813226,0.21771628,0.47085926,0.60667527,0.57037437,0.44664815,0.60471904,0.5840867,0.48080876,0.7394591,0.534339,0.4602642,0.73490745,0.44318047,0.4865946,0.8587919,0.5767273,0.467031,0.8477218,0.6530994
428,8.56,0.44248918,0.34578595,0.75139534,0.47297102,0.3448744,0.76140875,0.48491228,0.40970188,0.76138884,0.44237894,0.41911578,0.75309086,0.4953598,0.51549613,0.5787878,0.44497725,0.51363844,0.65181583,0.4809572,0.6074852,0.6707126,0.43284068,0.58952266,0.5487205,0.4706597,0.6086229,0.52776235,0.4459418,0.6072737,0.76461065,0.48087114,0.73796827,0.77803206,0.4609826,0.73521376,0.73692256,0.48630396,0.86369854,0.80338633,0.4666829,0.85007244,0.76503533
429,8.58,0.44266522,0.3449025,0.73774636,0.472132,0.34547317,0.6610547,0.4848596,0.4093452,0.71827614,0.4434676,0.4198862,0.76279795,0.49405462,0.5138488,0.7402409,0.4461662,0.51630443,0.5507164,0.48019758,0.6059854,0.56401306,0.43379593,0.588424,0.39839625,0.46950054,0.60881823,0.65735257,0.44595325,0.6060971,0.7041808,0.48095092,0.74040383,0.72864103,0.4602439,0.7355038,0.5674777,0.484534,0.8638176,0.6706491,0.46610695,0.8507592,0.741038
430,8.6,0.44280782,0.34650248,0.6490994,0.47197142,0.34511736,0.68891835,0.48477688,0.4105134,0.7585791,0.44419682,0.41897753,0.7957161,0.4936371,0.5139009,0.7226967,0.4467469,0.5153672,0.5469294,0.47997501,0.60419095,0.529167,0.43391737,0.5863742,0.45467424,0.4688352,0.60874087,0.6331672,0.4459299,0.6052431,0.69355106,0.47979373,0.7379536,0.7007788,0.4594812,0.73385674,0.53669894,0.4853339,0.86117804,0.7122333,0.46629378,0.84946585,0.75894225
431,8.62,0.4418878,0.3452925,0.8009608,0.47234586,0.34331194,0.8318855,0.4852319,0.40769535,0.79467833,0.4433182,0.41700953,0.82740104,0.49516258,0.5122793,0.6805161,0.44708845,0.51321673,0.6291417,0.4806285,0.60654795,0.6242679,0.4349359,0.5857381,0.42000598,0.470283,0.6078896,0.73848695,0.44567737,0.60442334,0.749694,0.48037305,0.7383163,0.79375184,0.46014413,0.73289436,0.6829016,0.48439458,0.86095434,0.75626636,0.46659762,0.84879977,0.8293479
432,8.64,0.44196358,0.34591213,0.5797601,0.47168222,0.34548092,0.58132505,0.48525754,0.40945515,0.7832671,0.44290435,0.41983497,0.6990102,0.49432373,0.51535654,0.7105456,0.4462394,0.5149778,0.56582415,0.4804671,0.60657024,0.5966214,0.43347487,0.58773005,0.4571867,0.47028038,0.6085032,0.6650929,0.44672406,0.60562277,0.7258971,0.48094624,0.7385121,0.7384474,0.4602115,0.7353871,0.6200111,0.48579413,0.8606487,0.7261208,0.4663458,0.84906095,0.79133874
433,8.66,0.44288167,0.34566656,0.71349615,0.47215074,0.34600797,0.62696993,0.48481515,0.40927148,0.7044288,0.4428786,0.42008305,0.7120303,0.49434415,0.5153186,0.67949706,0.4458802,0.51655996,0.51313925,0.48012593,0.6054275,0.55807334,0.43371946,0.5889548,0.4427022,0.4703911,0.60804904,0.6491577,0.44661114,0.605511,0.7037205,0.48119736,0.7388056,0.7370117,0.46073726,0.7366763,0.6627094,0.48598066,0.86115867,0.7006048,0.46749714,0.85043854,0.7674493
434,8.68,0.442298,0.3456629,0.7443553,0.47192782,0.34652683,0.665198,0.48502567,0.40790614,0.7586772,0.44218618,0.41880673,0.7676472,0.49446696,0.51302654,0.764961,0.4461821,0.5141499,0.59165627,0.48059064,0.6066041,0.6153219,0.43351275,0.5902718,0.50909656,0.47134483,0.6074169,0.74024457,0.44643414,0.6053254,0.7613377,0.48132297,0.7390614,0.78486687,0.46103802,0.735668,0.75210184,0.4856917,0.8607358,0.72908413,0.46714273,0.8499306,0.81453913
435,8.7,0.44165915,0.34663978,0.6108969,0.47204903,0.34618777,0.60705906,0.48567504,0.40767157,0.7914777,0.44289467,0.4175598,0.7761606,0.49456152,0.5144238,0.76223963,0.44783106,0.512492,0.61964226,0.48089918,0.6071123,0.61152095,0.43393382,0.58831257,0.5353536,0.47126922,0.60863894,0.73447955,0.4464824,0.605475,0.76204956,0.4808739,0.7386547,0.7436645,0.46122524,0.73383147,0.6752935,0.4849675,0.8608367,0.73640496,0.46727416,0.8491794,0.8140511
436,8.72,0.44211075,0.34548956,0.5931304,0.472257,0.34556597,0.4245672,0.4855123,0.40815046,0.7557206,0.44230792,0.41914123,0.7049326,0.49448055,0.5141935,0.70545113,0.44795597,0.5138482,0.58539045,0.48022145,0.6067278,0.52423877,0.4341172,0.5883435,0.4418771,0.4707562,0.6097893,0.66398615,0.44640556,0.6069316,0.73520434,0.48005316,0.73856944,0.66733396,0.46030763,0.73594964,0.58729357,0.48506147,0.8620424,0.6781134,0.4665335,0.8485712,0.7585069
437,8.74,0.44212675,0.3455279,0.581155,0.47193083,0.34607944,0.5734328,0.48522455,0.40738803,0.73561025,0.44266742,0.41859335,0.7460002,0.4944154,0.51251894,0.7804061,0.44683102,0.51385444,0.5823727,0.47973087,0.60540825,0.46722877,0.43472588,0.587082,0.32390258,0.47149822,0.6069563,0.7008436,0.44613585,0.60381323,0.6585974,0.48193482,0.7388333,0.6794132,0.4605086,0.7328475,0.5452589,0.4865701,0.85977215,0.58586633,0.46651307,0.8471244,0.76765627
438,8.76,0.44218543,0.34534535,0.5885824,0.47200033,0.34621707,0.5816791,0.48526946,0.4071584,0.7607833,0.44258314,0.41879424,0.7362533,0.49438134,0.5147652,0.7481965,0.44699198,0.51317924,0.5981437,0.48027617,0.6063986,0.60985935,0.43370292,0.58851796,0.53252476,0.47046694,0.608829,0.6895628,0.44642794,0.6065843,0.7703094,0.48030147,0.7390187,0.74639064,0.46043748,0.73601,0.68363047,0.4845443,0.85875183,0.71225196,0.46676245,0.8500793,0.771035
439,8.78,0.44249907,0.34585458,0.6622759,0.47294942,0.3459872,0.58816916,0.48517597,0.40695846,0.7345886,0.44366473,0.41846427,0.7669888,0.4943755,0.5122457,0.75231415,0.4472824,0.514131,0.5785215,0.47989663,0.60510063,0.49618787,0.43360755,0.5864028,0.40733272,0.47143444,0.607253,0.7100208,0.44643456,0.604111,0.6904202,0.48140296,0.73795426,0.6857083,0.4606923,0.73223513,0.56566465,0.4866934,0.85913604,0.6147162,0.4667612,0.8479735,0.76271653
440,8.8,0.44201285,0.346409,0.70312566,0.47259516,0.34588414,0.56179154,0.48537952,0.40645498,0.7758749,0.44230142,0.4178403,0.7589008,0.4949779,0.5139421,0.75847566,0.4466904,0.5117548,0.60383147,0.4798102,0.60575676,0.5944619,0.43341097,0.5885175,0.5321147,0.47186387,0.6083774,0.74737996,0.4465599,0.6065272,0.78675085,0.48070237,0.7394289,0.7618036,0.46077,0.73483187,0.7101633,0.48554897,0.85972106,0.75738895,0.46715453,0.8495662,0.80306894
