Toe 1_L,Toe 2-5_L,Meta 1_L,Meta 2_L,Meta 3_L,Meta 4_L,Meta 5_L,Midfoot_L,Heel Medial_L,Heel Lateral_L,Sum_L,Calibration Factor_L,Toe 1_R,Toe 2-5_R,Meta 1_R,Meta 2_R,Meta 3_R,Meta 4_R,Meta 5_R,Midfoot_R,Heel Medial_R,Heel Lateral_R,Sum_R,Calibration Factor_R
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.601991,0.743370,0.185842,24.531203,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.593019,0.000000,1.672582,12.265601,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.416148,0.743370,0.185842,24.345360,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.407177,0.000000,1.672582,12.079759,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.416148,0.743370,0.185842,24.345360,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.407177,0.000000,1.672582,12.079759,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.416148,0.743370,0.185842,24.345360,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.407177,0.000000,1.672582,12.079759,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.973676,0.743370,0.185842,24.902888,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.407177,0.000000,1.672582,12.079759,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.787833,0.743370,0.185842,24.717045,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.407177,0.000000,1.672582,12.079759,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.787833,0.743370,0.185842,24.717045,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.407177,0.000000,1.672582,12.079759,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.416148,0.743370,0.185842,24.345360,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.593019,0.000000,1.672582,12.265601,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.416148,0.743370,0.185842,24.345360,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.407177,0.000000,1.672582,12.079759,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.044463,0.743370,0.185842,23.973676,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.035492,0.000000,1.672582,11.708074,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.044463,0.743370,0.185842,23.973676,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.035492,0.000000,1.672582,11.708074,1.000000
