Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
21,"0,989","-0,145","-0,028","0,000","0,996","-0,087","0,018","0,000","0,995","-0,090","0,043","0,000","0,968","-0,250","-0,022","0,000","0,873","0,484","0,059","0,000","0,870","0,473","-0,138","0,000","0,978","-0,204","0,048","0,000"
22,"0,989","-0,147","-0,030","0,000","0,996","-0,090","0,018","0,000","0,995","-0,093","0,041","0,000","0,968","-0,251","-0,019","0,000","0,872","0,486","0,059","0,000","0,869","0,474","-0,139","0,000","0,978","-0,202","0,046","0,000"
23,"0,989","-0,145","-0,029","0,000","0,996","-0,087","0,018","0,000","0,995","-0,092","0,038","0,000","0,968","-0,248","-0,021","0,000","0,872","0,485","0,061","-0,001","0,870","0,473","-0,137","-0,001","0,978","-0,204","0,047","0,000"
24,"0,989","-0,147","-0,030","0,000","0,996","-0,088","0,015","0,000","0,995","-0,095","0,039","0,000","0,968","-0,250","-0,024","-0,001","0,873","0,485","0,059","0,000","0,870","0,472","-0,140","0,001","0,977","-0,207","0,048","0,000"
25,"0,989","-0,146","-0,032","0,000","0,996","-0,088","0,018","0,000","0,994","-0,098","0,041","0,000","0,968","-0,249","-0,026","-0,001","0,874","0,483","0,058","0,000","0,871","0,471","-0,138","0,000","0,978","-0,204","0,048","0,000"
26,"0,989","-0,148","-0,030","0,000","0,996","-0,089","0,021","0,000","0,995","-0,095","0,039","0,000","0,968","-0,250","-0,024","-0,001","0,873","0,485","0,060","0,000","0,870","0,473","-0,139","0,000","0,977","-0,206","0,050","0,000"
27,"0,989","-0,147","-0,027","0,000","0,996","-0,087","0,018","0,000","0,995","-0,094","0,041","0,000","0,968","-0,249","-0,021","0,000","0,874","0,483","0,060","0,000","0,869","0,475","-0,138","0,000","0,978","-0,205","0,047","-0,001"
28,"0,989","-0,147","-0,030","0,000","0,996","-0,088","0,021","0,000","0,995","-0,091","0,041","0,000","0,968","-0,251","-0,023","0,000","0,873","0,485","0,059","0,000","0,870","0,473","-0,139","0,001","0,978","-0,205","0,050","0,000"
29,"0,989","-0,148","-0,028","0,000","0,996","-0,091","0,021","0,000","0,995","-0,094","0,039","0,000","0,968","-0,249","-0,022","0,000","0,872","0,486","0,059","0,000","0,870","0,473","-0,137","-0,001","0,978","-0,202","0,049","0,000"
30,"0,989","-0,148","-0,028","0,000","0,996","-0,090","0,020","0,000","0,995","-0,093","0,040","0,000","0,968","-0,249","-0,022","0,000","0,872","0,486","0,059","0,000","0,870","0,473","-0,137","-0,001","0,978","-0,203","0,049","0,000"
31,"0,989","-0,148","-0,028","0,000","0,996","-0,090","0,020","0,000","0,995","-0,093","0,040","0,000","0,968","-0,249","-0,022","0,000","0,872","0,486","0,059","0,000","0,870","0,473","-0,137","-0,001","0,978","-0,203","0,049","0,000"
32,"0,989","-0,148","-0,028","0,000","0,996","-0,090","0,020","0,000","0,995","-0,093","0,040","0,000","0,968","-0,249","-0,022","0,000","0,872","0,486","0,059","0,000","0,870","0,473","-0,137","-0,001","0,978","-0,203","0,049","0,000"
33,"0,989","-0,147","-0,028","0,000","0,996","-0,090","0,020","0,000","0,995","-0,093","0,040","0,000","0,968","-0,249","-0,023","0,000","0,872","0,486","0,059","0,000","0,870","0,473","-0,137","-0,001","0,978","-0,203","0,049","0,000"
34,"0,989","-0,147","-0,028","0,000","0,996","-0,090","0,020","0,000","0,995","-0,093","0,041","0,001","0,968","-0,249","-0,022","0,000","0,872","0,486","0,059","0,000","0,870","0,473","-0,138","0,000","0,978","-0,203","0,048","0,000"
35,"0,989","-0,147","-0,028","0,000","0,996","-0,090","0,020","0,000","0,995","-0,093","0,041","0,001","0,968","-0,249","-0,022","0,000","0,872","0,485","0,059","0,000","0,870","0,473","-0,137","0,000","0,978","-0,204","0,048","0,000"
36,"0,989","-0,147","-0,029","0,000","0,996","-0,090","0,019","0,000","0,995","-0,093","0,041","0,001","0,968","-0,249","-0,022","0,000","0,872","0,485","0,059","0,000","0,870","0,473","-0,138","0,000","0,978","-0,204","0,048","0,000"
37,"0,989","-0,148","-0,029","0,000","0,996","-0,090","0,019","0,000","0,995","-0,093","0,041","0,001","0,968","-0,249","-0,022","0,000","0,872","0,485","0,059","0,000","0,870","0,473","-0,138","0,000","0,978","-0,204","0,048","0,000"
38,"0,989","-0,148","-0,029","0,000","0,996","-0,090","0,019","0,000","0,995","-0,094","0,041","0,001","0,968","-0,249","-0,022","0,000","0,873","0,485","0,059","0,000","0,870","0,473","-0,138","0,000","0,978","-0,205","0,048","-0,001"
39,"0,989","-0,147","-0,029","0,000","0,996","-0,089","0,019","0,000","0,995","-0,094","0,041","0,001","0,968","-0,250","-0,022","0,000","0,872","0,485","0,059","0,000","0,870","0,473","-0,138","0,000","0,978","-0,205","0,048","-0,001"
40,"0,989","-0,148","-0,029","0,000","0,996","-0,089","0,019","0,000","0,995","-0,093","0,041","0,001","0,968","-0,250","-0,023","0,000","0,872","0,485","0,059","0,000","0,870","0,473","-0,138","0,000","0,978","-0,205","0,048","-0,001"
41,"1,000","-0,003","-0,001","-0,002","1,000","0,002","-0,002","-0,002","1,000","0,002","-0,002","-0,002","1,000","-0,004","0,001","-0,002","1,000","0,000","-0,001","-0,002","1,000","0,000","0,000","-0,002","1,000","-0,001","0,002","-0,002"
42,"1,000","-0,004","0,000","-0,002","1,000","0,000","0,000","-0,002","1,000","-0,006","0,000","-0,002","1,000","-0,004","0,005","-0,002","1,000","-0,001","0,002","-0,002","1,000","0,000","0,000","-0,002","1,000","-0,002","0,002","-0,002"
43,"1,000","-0,004","0,002","-0,002","1,000","-0,001","0,000","-0,002","1,000","-0,006","0,000","-0,002","1,000","-0,005","0,005","-0,002","1,000","-0,002","0,002","-0,002","1,000","0,000","0,000","-0,002","1,000","-0,002","0,002","-0,002"
44,"1,000","-0,003","0,000","-0,002","1,000","-0,001","0,000","-0,002","1,000","-0,003","0,000","-0,002","1,000","-0,004","0,001","-0,002","1,000","-0,002","0,001","-0,002","1,000","0,000","0,000","-0,002","1,000","-0,002","0,002","-0,002"
45,"1,000","-0,003","0,000","-0,002","1,000","-0,001","0,000","-0,002","1,000","-0,005","0,000","-0,002","1,000","-0,004","0,002","-0,002","1,000","-0,002","0,001","-0,002","1,000","0,000","0,000","-0,002","1,000","-0,003","0,002","-0,002"
46,"1,000","-0,003","0,000","-0,002","1,000","-0,001","-0,001","-0,002","1,000","-0,003","0,000","-0,002","1,000","-0,004","0,001","-0,002","1,000","-0,001","0,001","-0,002","1,000","0,000","0,000","-0,002","1,000","-0,002","0,001","-0,002"
