Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
959,"1,000","-0,007","-0,017","-0,021","0,997","0,081","0,005","0,000","0,999","-0,007","0,015","0,029","0,999","-0,033","-0,004","0,020","0,999","0,042","0,021","-0,008","0,999","0,028","-0,018","0,007","0,999","-0,031","-0,004","0,000"
960,"1,000","-0,007","-0,017","-0,021","0,997","0,080","0,005","0,000","0,999","-0,007","0,015","0,029","0,999","-0,033","-0,004","0,020","0,999","0,042","0,021","-0,008","0,999","0,028","-0,018","0,007","1,000","-0,031","-0,004","-0,001"
961,"1,000","-0,007","-0,017","-0,021","0,997","0,079","0,005","0,000","0,999","-0,007","0,014","0,029","0,999","-0,033","-0,004","0,020","0,999","0,042","0,021","-0,008","0,999","0,028","-0,018","0,007","1,000","-0,031","-0,005","-0,001"
962,"1,000","-0,007","-0,016","-0,021","0,997","0,077","0,005","0,000","0,999","-0,007","0,014","0,029","0,999","-0,033","-0,004","0,020","0,999","0,042","0,020","-0,007","0,999","0,028","-0,018","0,007","1,000","-0,031","-0,005","-0,001"
963,"1,000","-0,007","-0,016","-0,021","0,997","0,076","0,005","0,001","0,999","-0,007","0,014","0,029","0,999","-0,032","-0,004","0,020","0,999","0,042","0,020","-0,007","0,999","0,028","-0,018","0,007","1,000","-0,030","-0,005","-0,001"
964,"1,000","-0,008","-0,016","-0,020","0,997","0,076","0,005","0,001","0,999","-0,007","0,014","0,029","0,999","-0,032","-0,004","0,021","0,999","0,042","0,019","-0,007","0,999","0,028","-0,018","0,007","1,000","-0,030","-0,005","-0,001"
965,"1,000","-0,008","-0,016","-0,020","0,997","0,075","0,006","0,001","0,999","-0,007","0,014","0,029","0,999","-0,032","-0,004","0,021","0,999","0,042","0,019","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,030","-0,005","-0,001"
966,"1,000","-0,009","-0,017","-0,019","0,997","0,074","0,006","0,002","0,999","-0,008","0,014","0,029","0,999","-0,032","-0,004","0,021","0,999","0,042","0,019","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,030","-0,005","-0,001"
967,"1,000","-0,009","-0,017","-0,019","0,997","0,074","0,006","0,002","0,999","-0,008","0,013","0,029","0,999","-0,031","-0,005","0,021","0,999","0,042","0,019","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,029","-0,005","-0,001"
968,"1,000","-0,009","-0,017","-0,019","0,997","0,073","0,006","0,002","0,999","-0,009","0,014","0,029","0,999","-0,031","-0,005","0,022","0,999","0,041","0,018","-0,007","0,999","0,027","-0,017","0,007","1,000","-0,029","-0,005","-0,001"
