Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
29,"0,035","-0,010","0,032","-0,006","0,030","-0,020","-0,101","-0,009","-0,191","-0,196","-0,045","-0,100","-0,094","0,067","-0,026","0,093","0,016","0,013","0,029","-0,019","-0,144"
30,"-0,024","-0,128","0,068","0,054","-0,028","-0,037","-0,096","0,003","-0,132","-0,031","-0,012","0,042","-0,029","-0,014","-0,046","-0,057","-0,063","0,044","0,080","0,146","-0,084"
31,"-0,025","-0,011","0,034","0,060","0,019","0,035","0,032","-0,105","-0,059","-0,058","-0,096","0,146","-0,104","0,201","-0,048","-0,062","0,089","-0,074","0,024","0,239","0,019"
32,"-0,023","-0,052","0,109","0,054","-0,028","-0,037","-0,096","0,003","-0,132","0,039","0,037","0,028","-0,148","0,014","0,015","0,018","-0,024","0,028","0,080","0,146","-0,084"
33,"0,036","-0,069","0,049","-0,012","-0,017","-0,091","-0,027","0,087","-0,029","0,023","-0,179","-0,008","-0,011","-0,041","0,123","-0,031","0,069","0,025","0,128","0,211","-0,115"
34,"0,039","0,024","0,149","-0,001","-0,042","0,028","0,028","0,135","-0,106","0,073","0,095","-0,131","-0,008","-0,006","0,172","0,117","-0,088","0,097","-0,050","0,186","-0,083"
35,"-0,018","0,057","0,268","0,054","0,032","-0,025","-0,081","0,039","0,047","-0,053","0,133","-0,097","-0,024","0,057","0,052","0,103","-0,021","-0,035","0,088","0,169","-0,027"
36,"-0,021","0,099","0,192","-0,012","-0,017","-0,091","0,044","0,110","0,085","0,073","0,095","-0,131","0,098","-0,056","-0,023","0,170","-0,066","-0,065","-0,104","-0,089","0,099"
37,"-0,026","0,048","0,017","-0,183","-0,105","0,031","-0,019","-0,081","0,066","-0,051","0,214","-0,067","-0,033","0,071","-0,032","0,059","-0,080","0,080","0,022","-0,050","0,134"
38,"0,097","0,065","0,071","-0,062","-0,102","0,020","-0,146","-0,033","0,004","-0,070","0,104","-0,018","-0,027","0,021","0,003","-0,016","-0,120","0,095","0,010","0,006","0,113"
39,"0,038","0,082","0,132","0,060","0,139","0,059","-0,021","0,039","0,042","-0,028","0,069","0,072","-0,084","-0,067","-0,005","0,076","-0,032","0,046","0,081","-0,042","0,123"
40,"0,034","0,107","-0,002","0,054","-0,028","-0,037","0,098","-0,093","-0,004","0,022","0,008","0,107","0,155","0,032","-0,015","-0,022","0,033","-0,023","-0,087","0,066","-0,030"
41,"0,035","-0,010","0,032","-0,001","0,018","0,040","0,081","-0,009","-0,206","-0,100","-0,061","0,056","0,094","0,029","-0,009","0,076","-0,032","0,046","-0,187","0,016","0,069"
42,"0,034","0,107","-0,002","-0,239","-0,058","0,108","0,072","-0,092","-0,314","-0,080","0,049","0,007","0,038","-0,060","-0,017","0,084","0,053","0,061","-0,079","0,088","0,026"
