Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,984","-0,178","-0,002","0,000","0,991","-0,132","0,030","0,000","0,991","-0,127","0,030","0,000","0,953","-0,301","0,008","0,000","0,880","0,471","0,057","0,000","0,880","0,454","-0,139","0,000","0,961","-0,275","0,038","0,000"
1,"0,984","-0,178","-0,002","0,000","0,991","-0,132","0,030","0,000","0,991","-0,127","0,030","0,000","0,953","-0,302","0,011","0,000","0,881","0,469","0,059","0,000","0,880","0,454","-0,137","0,000","0,961","-0,276","0,038","0,000"
2,"0,984","-0,178","-0,001","0,000","0,991","-0,133","0,030","0,000","0,991","-0,127","0,030","0,000","0,953","-0,303","0,011","0,000","0,881","0,469","0,059","0,000","0,880","0,454","-0,137","0,000","0,961","-0,276","0,038","0,000"
3,"0,984","-0,177","-0,002","0,000","0,991","-0,132","0,030","0,000","0,991","-0,127","0,030","0,000","0,953","-0,301","0,010","0,000","0,881","0,470","0,058","0,000","0,881","0,453","-0,138","0,000","0,961","-0,276","0,035","0,000"
4,"0,984","-0,178","-0,002","0,000","0,991","-0,132","0,030","0,000","0,991","-0,127","0,030","0,000","0,953","-0,302","0,011","0,000","0,881","0,470","0,058","0,000","0,881","0,453","-0,138","0,000","0,961","-0,276","0,035","0,000"
5,"0,984","-0,178","-0,002","0,000","0,991","-0,131","0,030","0,000","0,991","-0,127","0,030","0,000","0,953","-0,301","0,010","0,000","0,881","0,470","0,058","0,000","0,881","0,453","-0,139","0,000","0,961","-0,276","0,035","0,000"
6,"0,984","-0,178","-0,002","0,000","0,991","-0,131","0,030","0,000","0,991","-0,127","0,030","0,000","0,953","-0,301","0,010","0,000","0,881","0,470","0,058","0,000","0,881","0,453","-0,139","0,000","0,961","-0,276","0,035","0,000"
7,"0,984","-0,177","-0,002","0,000","0,991","-0,131","0,030","0,000","0,991","-0,127","0,030","0,000","0,953","-0,301","0,009","0,000","0,880","0,471","0,058","0,000","0,881","0,453","-0,139","0,000","0,961","-0,276","0,035","0,000"
8,"0,984","-0,177","-0,002","0,000","0,991","-0,131","0,031","0,000","0,991","-0,127","0,030","0,000","0,953","-0,301","0,009","0,000","0,880","0,471","0,058","0,000","0,881","0,453","-0,139","0,000","0,961","-0,276","0,037","0,000"
9,"0,984","-0,176","-0,002","0,000","0,991","-0,131","0,031","0,000","0,992","-0,126","0,030","0,000","0,953","-0,301","0,008","0,000","0,880","0,472","0,058","0,000","0,880","0,453","-0,140","0,000","0,961","-0,275","0,037","0,000"
10,"0,984","-0,178","0,001","0,000","0,991","-0,129","0,033","0,000","0,991","-0,129","0,030","0,000","0,954","-0,300","0,010","0,001","0,879","0,473","0,059","-0,001","0,879","0,455","-0,140","0,000","0,960","-0,277","0,038","0,000"
