Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"-0,338","0,309","0,820","-0,764","0,004","0,188","0,122","0,314","0,153","-0,333","0,410","1,083","-0,070","0,229","0,068","0,141","0,211","0,003","-0,612","-0,046","0,134"
1,"-0,286","0,153","0,356","-0,219","0,043","0,086","0,122","0,314","0,153","-0,273","0,221","1,121","-0,190","0,058","0,033","0,075","0,135","-0,031","-0,538","0,060","0,207"
2,"-0,355","-0,002","-0,105","-0,219","-0,016","0,100","0,101","0,190","-0,132","-0,015","0,188","0,445","-0,012","0,200","0,011","0,199","0,319","0,088","-0,607","0,090","0,133"
3,"-0,181","-0,005","-0,686","-0,165","0,015","-0,036","-0,012","0,158","0,008","0,118","-0,005","-0,144","0,179","0,017","0,038","0,154","0,262","-0,028","-0,790","0,151","0,129"
4,"-0,181","-0,005","-0,686","-0,229","0,002","-0,092","-0,130","0,113","0,089","-0,169","-0,072","-1,020","0,114","-0,130","-0,084","0,153","0,378","0,045","-0,439","0,249","0,442"
5,"-0,290","0,345","-0,030","-0,421","0,022","-0,274","-0,174","0,285","0,304","-0,288","-0,161","-1,182","0,117","-0,099","-0,032","0,115","0,108","0,063","0,171","0,638","0,776"
6,"-0,288","0,268","0,125","-0,063","-0,010","-0,412","-0,126","0,245","0,122","-0,591","-0,273","-1,265","0,111","0,037","-0,041","0,319","0,073","-0,033","0,299","0,386","0,403"
7,"-0,235","0,131","-0,281","-0,114","-0,027","-0,217","-0,081","0,252","-0,133","-0,048","-0,262","-0,981","-0,010","0,033","-0,032","0,088","0,302","0,011","-0,271","0,104","-0,129"
8,"-0,362","0,132","-0,664","-0,235","0,093","-0,238","-0,150","0,227","-0,248","-0,066","0,192","-0,048","0,053","0,066","0,016","-0,051","0,413","0,140","-0,157","0,018","-0,171"
9,"-0,235","0,131","-0,281","-0,408","0,374","-0,105","-0,077","0,146","-0,047","-0,191","0,448","0,156","0,048","0,004","-0,089","0,153","0,378","0,045","-0,361","-0,087","-0,778"
10,"-0,293","0,017","-0,048","-0,293","0,286","-0,217","0,041","0,072","-0,102","0,231","0,180","0,314","-0,007","0,064","0,020","-0,023","0,104","0,120","-0,314","0,101","-0,949"
