Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
29,"-9,849","-2,454","-0,276","14,019","-3,275","0,456","-11,592","-4,797","0,378","-11,904","5,090","1,609","71,264","1,093","1,537","75,642","10,314","-6,100","-8,588","4,839","0,644"
30,"-9,807","-2,438","-0,276","14,030","-3,248","0,449","-11,594","-4,798","0,380","-11,865","5,079","1,597","71,297","1,084","1,563","75,627","10,311","-6,081","-8,609","4,863","0,647"
31,"-9,760","-2,441","-0,277","14,052","-3,264","0,451","-11,595","-4,786","0,382","-11,818","5,119","1,608","71,256","1,061","1,608","75,665","10,312","-6,079","-8,552","4,851","0,643"
32,"-9,751","-2,454","-0,278","14,083","-3,264","0,449","-11,572","-4,809","0,373","-11,809","5,126","1,607","71,256","1,049","1,636","75,688","10,328","-6,111","-8,521","4,883","0,658"
33,"-9,732","-2,420","-0,273","14,101","-3,291","0,453","-11,570","-4,804","0,365","-11,800","5,125","1,604","71,232","1,024","1,693","75,689","10,327","-6,098","-8,484","4,880","0,665"
34,"-9,722","-2,400","-0,270","14,068","-3,282","0,447","-11,568","-4,804","0,358","-11,851","5,100","1,588","71,212","1,026","1,701","75,742","10,341","-6,114","-8,515","4,920","0,683"
35,"-9,700","-2,371","-0,262","14,072","-3,248","0,434","-11,565","-4,794","0,357","-11,852","5,041","1,549","71,206","1,011","1,733","75,778","10,331","-6,084","-8,481","4,963","0,708"
36,"-9,650","-2,363","-0,260","14,068","-3,218","0,421","-11,603","-4,741","0,368","-11,831","5,000","1,515","71,149","1,010","1,738","75,809","10,324","-6,061","-8,491","4,962","0,712"
37,"-9,646","-2,356","-0,256","14,097","-3,202","0,412","-11,598","-4,738","0,368","-11,779","5,008","1,506","71,141","0,995","1,766","75,790","10,329","-6,065","-8,425","4,986","0,730"
38,"-9,616","-2,336","-0,250","14,125","-3,203","0,408","-11,595","-4,740","0,371","-11,721","5,022","1,504","71,136","0,994","1,765","75,811","10,312","-6,032","-8,363","4,971","0,729"
39,"-9,573","-2,279","-0,237","14,089","-3,192","0,402","-11,542","-4,774","0,361","-11,736","4,982","1,486","71,131","1,015","1,726","75,858","10,301","-6,015","-8,363","4,984","0,734"
40,"-9,519","-2,279","-0,236","14,118","-3,203","0,402","-11,477","-4,792","0,347","-11,675","4,970","1,471","71,186","1,016","1,739","75,879","10,328","-6,066","-8,301","4,985","0,739"
41,"0,772","0,693","0,009","-0,049","-0,315","-0,414","-0,028","-0,132","0,000","-0,036","-0,328","0,000","-0,072","-0,194","0,000","0,583","0,079","0,000","-0,143","-0,022","0,000"
42,"0,608","0,695","0,008","-0,049","-0,315","-0,414","-0,158","-0,425","0,001","-0,201","-0,330","0,000","-0,072","-0,194","0,000","0,578","-0,024","0,000","-0,273","0,271","0,000"
43,"0,609","0,453","0,006","-0,049","-0,315","-0,414","-0,158","0,061","0,001","-0,201","-0,330","0,000","-0,072","-0,527","-0,001","0,563","0,212","-0,001","-0,273","0,271","0,000"
44,"0,261","0,182","0,001","-0,082","-0,180","-0,414","-0,089","-0,142","0,000","-0,183","-0,166","0,000","-0,094","-0,194","0,000","0,181","0,184","0,000","-0,196","0,122","0,000"
45,"0,429","0,167","0,002","-0,082","-0,180","-0,414","-0,089","-0,055","0,000","-0,235","-0,166","0,000","-0,095","-0,129","0,000","0,399","0,199","0,000","-0,196","0,122","0,000"
46,"0,323","-0,160","-0,001","-0,142","-0,069","-0,414","-0,076","-0,133","0,000","-0,245","0,065","0,000","-0,088","-0,106","0,000","0,248","0,184","0,000","-0,244","0,224","0,000"
47,"0,481","0,167","0,002","-0,142","-0,069","-0,414","-0,034","-0,134","0,000","-0,244","-0,276","0,000","-0,046","-0,106","0,000","0,400","0,099","0,000","-0,244","0,225","0,000"
48,"0,325","0,167","0,002","-0,151","-0,069","-0,414","-0,076","-0,107","0,000","-0,251","-0,276","0,000","-0,088","-0,170","0,000","0,248","0,099","0,000","-0,252","0,174","0,000"
49,"0,325","0,333","0,003","-0,142","-0,069","-0,414","-0,058","-0,083","0,000","-0,243","-0,443","0,000","-0,063","-0,181","0,000","0,249","0,097","0,000","-0,256","0,173","0,000"
50,"0,322","0,170","0,002","-0,142","-0,069","-0,414","-0,076","-0,083","0,000","-0,183","-0,277","0,000","-0,088","-0,194","0,000","0,246","0,095","0,000","-0,244","0,174","0,000"
51,"0,324","-0,209","-0,005","0,192","-0,013","-0,416","-0,607","-0,482","0,016","0,442","-0,146","-0,004","-0,126","-0,268","-0,006","0,291","0,209","0,008","-0,122","0,504","-0,003"
52,"0,032","-0,299","-0,011","-0,130","-0,145","-0,416","-0,676","-0,304","0,016","0,064","0,328","-0,004","-0,332","0,098","-0,011","-0,286","-0,075","0,015","-0,174","0,145","-0,002"
53,"-0,563","-0,262","-0,020","0,150","0,042","-0,415","-0,152","-0,046","-0,002","0,058","-0,048","0,002","-0,290","-0,032","-0,012","-0,257","0,129","0,019","0,287","0,039","0,014"
54,"-0,343","0,247","-0,033","-0,195","-0,016","-0,415","-0,067","-0,185","-0,019","-0,363","-0,322","0,010","0,217","0,178","-0,011","0,003","0,297","0,020","-0,306","0,204","0,030"
55,"-0,318","0,170","-0,036","-0,522","0,099","-0,414","0,281","0,024","-0,026","-1,003","-0,292","0,012","0,386","0,000","-0,009","0,071","0,017","0,022","-0,602","-0,026","0,035"
56,"0,302","-0,122","-0,033","-0,535","-0,244","-0,418","-0,193","0,169","-0,030","-0,706","0,203","0,007","0,279","-0,122","-0,006","0,725","0,183","0,024","-0,778","-0,672","0,033"
57,"0,404","0,032","-0,031","-0,227","-0,089","-0,418","-0,332","0,313","-0,033","-0,077","0,157","-0,002","0,337","-0,092","0,002","0,162","-0,068","0,030","-0,785","-0,365","0,030"
58,"0,570","-0,064","-0,031","0,052","-0,290","-0,421","-0,411","0,101","-0,025","0,452","0,117","-0,010","-0,353","-0,070","0,008","0,311","0,010","0,035","-0,239","-0,353","0,019"
59,"0,824","-0,005","-0,030","-0,157","-0,017","-0,424","-0,388","0,348","-0,012","0,441","0,126","-0,015","-0,318","-0,216","0,016","0,048","-0,196","0,037","-0,120","-0,170","0,002"
60,"0,421","-0,222","-0,038","0,101","0,200","-0,427","0,147","0,130","-0,011","0,376","-0,209","-0,007","-0,258","-0,070","0,024","0,303","0,059","0,038","0,337","0,330","-0,005"
61,"-0,053","-0,522","-0,045","-0,065","-0,106","-0,430","-0,143","-0,107","-0,012","-0,131","0,082","-0,001","-0,410","-0,474","0,030","-0,165","0,434","0,038","0,211","0,366","-0,006"
62,"0,435","-0,058","-0,050","-0,400","0,005","-0,434","-0,307","-0,775","0,000","-0,165","-0,197","0,007","-0,558","-0,466","0,034","0,301","0,337","0,031","-0,233","0,801","-0,013"
63,"0,286","0,070","-0,059","-0,064","0,053","-0,441","-0,241","-0,119","-0,008","-0,117","-0,056","0,014","-0,280","-0,476","0,040","0,202","-0,232","0,028","0,042","0,514","-0,009"
64,"0,152","-0,300","-0,069","0,106","-0,243","-0,448","-0,132","-0,114","-0,014","0,253","0,523","0,018","-0,269","0,196","0,050","-0,117","0,194","0,024","0,240","-0,123","-0,004"
65,"0,119","0,148","-0,071","-0,145","-0,483","-0,457","-0,297","-0,056","-0,010","-0,273","0,564","0,022","-0,394","-0,458","0,053","-0,019","-0,366","0,019","-0,198","-0,081","-0,006"
66,"0,167","0,318","-0,072","-0,003","-0,171","-0,465","0,064","0,267","-0,002","0,215","0,245","0,017","0,108","-0,133","0,056","0,026","-0,561","0,015","-0,042","-0,111","-0,007"
67,"0,615","0,537","-0,072","0,312","-0,309","-0,473","-0,421","-0,194","0,012","0,648","0,059","0,015","0,097","-0,161","0,055","0,441","-0,128","0,012","0,083","0,037","-0,009"
68,"0,285","0,084","-0,080","0,024","-0,116","-0,481","0,038","0,085","0,023","0,028","-0,024","0,018","-0,090","-0,645","0,054","0,121","0,333","0,009","0,138","0,269","-0,014"
69,"0,146","0,029","-0,084","-0,298","0,014","-0,491","0,040","0,089","0,032","-0,258","0,197","0,014","-0,402","-0,300","0,052","-0,264","0,304","0,008","0,159","0,386","-0,016"
70,"0,680","-0,406","-0,090","-0,358","0,352","-0,499","-0,194","-0,359","0,046","-0,086","0,118","0,013","-0,322","-0,316","0,052","0,165","0,154","0,003","-0,232","0,835","-0,015"
71,"0,671","-0,425","-0,094","-0,327","0,349","-0,510","-0,165","-0,339","0,051","-0,089","0,116","0,012","-0,252","-0,337","0,052","0,221","0,147","-0,002","-0,208","0,807","-0,011"
72,"0,618","-0,395","-0,105","-0,314","0,320","-0,521","-0,160","-0,314","0,059","-0,098","0,124","0,013","-0,239","-0,328","0,056","0,226","0,123","-0,002","-0,224","0,763","-0,011"
73,"0,570","-0,419","-0,109","-0,339","0,289","-0,534","-0,096","-0,324","0,077","-0,154","0,149","0,014","-0,172","-0,364","0,057","0,228","0,113","-0,009","-0,215","0,757","-0,019"
74,"0,539","-0,422","-0,112","-0,312","0,277","-0,545","-0,062","-0,304","0,103","-0,139","0,136","0,019","-0,167","-0,364","0,051","0,232","0,105","-0,021","-0,190","0,716","-0,029"
75,"0,528","-0,433","-0,128","-0,297","0,252","-0,559","-0,049","-0,310","0,121","-0,138","0,139","0,032","-0,132","-0,370","0,047","0,259","0,109","-0,031","-0,180","0,661","-0,032"
76,"0,522","-0,443","-0,145","-0,287","0,223","-0,573","-0,023","-0,320","0,130","-0,139","0,143","0,043","-0,091","-0,361","0,050","0,282","0,108","-0,037","-0,156","0,606","-0,031"
77,"0,501","-0,444","-0,160","-0,292","0,188","-0,588","-0,036","-0,325","0,132","-0,151","0,149","0,051","-0,079","-0,308","0,059","0,276","0,102","-0,043","-0,158","0,542","-0,027"
78,"0,503","-0,440","-0,172","-0,260","0,177","-0,604","-0,010","-0,313","0,140","-0,127","0,127","0,057","-0,073","-0,305","0,062","0,312","0,110","-0,052","-0,137","0,504","-0,023"
79,"0,499","-0,438","-0,181","-0,262","0,143","-0,619","0,006","-0,303","0,155","-0,143","0,130","0,057","-0,016","-0,264","0,058","0,319","0,106","-0,060","-0,155","0,441","-0,020"
80,"0,471","-0,414","-0,182","-0,228","0,146","-0,634","0,017","-0,294","0,168","-0,106","0,088","0,048","-0,020","-0,254","0,055","0,316","0,107","-0,062","-0,139","0,415","-0,016"
81,"0,461","-0,344","-0,174","-0,241","0,116","-0,648","0,006","-0,320","0,175","-0,109","0,079","0,031","0,035","-0,241","0,059","0,311","0,111","-0,064","-0,187","0,386","-0,014"
82,"0,452","-0,274","-0,166","-0,209","0,095","-0,660","0,007","-0,328","0,179","-0,091","0,066","0,016","0,074","-0,205","0,064","0,289","0,098","-0,066","-0,186","0,373","-0,011"
83,"0,394","-0,243","-0,154","-0,188","0,066","-0,671","-0,004","-0,306","0,185","-0,104","0,090","0,000","0,070","-0,247","0,065","0,275","0,042","-0,072","-0,200","0,343","-0,006"
84,"0,422","-0,266","-0,154","-0,208","0,092","-0,680","-0,006","-0,317","0,186","-0,094","0,055","-0,006","0,131","-0,231","0,066","0,249","0,052","-0,075","-0,251","0,376","0,001"
85,"0,364","-0,300","-0,159","-0,186","0,123","-0,688","-0,075","-0,317","0,178","-0,106","0,039","-0,007","0,060","-0,218","0,067","0,235","0,104","-0,077","-0,261","0,415","0,015"
86,"0,364","-0,251","-0,164","-0,174","0,157","-0,694","-0,057","-0,336","0,171","-0,123","-0,019","-0,004","0,076","-0,170","0,072","0,272","0,047","-0,082","-0,217","0,435","0,024"
87,"0,377","-0,208","-0,172","-0,181","0,193","-0,699","-0,060","-0,297","0,170","-0,150","-0,082","0,002","0,064","-0,160","0,079","0,288","0,065","-0,086","-0,194","0,450","0,024"
88,"0,382","-0,206","-0,169","-0,186","0,161","-0,702","-0,053","-0,259","0,167","-0,180","-0,030","0,003","0,002","-0,189","0,083","0,309","0,079","-0,093","-0,165","0,405","0,026"
89,"0,393","-0,175","-0,157","-0,157","0,176","-0,707","0,004","-0,285","0,160","-0,172","-0,073","0,000","0,056","-0,157","0,084","0,342","0,039","-0,105","-0,100","0,421","0,037"
90,"0,379","-0,181","-0,155","-0,126","0,165","-0,710","0,051","-0,301","0,147","-0,164","-0,088","0,000","0,034","-0,139","0,084","0,352","0,037","-0,111","-0,032","0,395","0,051"
91,"0,375","-0,183","-0,165","-0,104","0,135","-0,711","0,024","-0,253","0,137","-0,139","-0,092","0,002","-0,027","-0,122","0,089","0,379","0,070","-0,103","-0,004","0,329","0,058"
92,"0,360","-0,183","-0,176","-0,074","0,115","-0,711","0,041","-0,182","0,135","-0,109","-0,108","-0,004","-0,012","-0,125","0,091","0,340","0,081","-0,087","0,041","0,274","0,060"
93,"0,340","-0,132","-0,179","-0,109","0,110","-0,710","0,098","-0,199","0,134","-0,131","-0,136","-0,013","0,040","-0,083","0,088","0,283","0,043","-0,073","0,039","0,260","0,062"
94,"0,317","-0,070","-0,172","-0,141","0,093","-0,707","0,024","-0,206","0,138","-0,159","-0,154","-0,019","0,028","-0,103","0,085","0,277","0,047","-0,070","-0,032","0,247","0,059"
95,"0,309","-0,069","-0,160","-0,177","0,087","-0,703","0,037","-0,219","0,136","-0,172","-0,128","-0,023","0,088","-0,107","0,087","0,214","0,011","-0,074","-0,086","0,272","0,055"
96,"0,307","-0,062","-0,151","-0,187","0,052","-0,697","0,001","-0,216","0,138","-0,153","-0,078","-0,020","0,040","-0,121","0,086","0,217","0,002","-0,079","-0,113","0,265","0,049"
97,"0,283","-0,070","-0,151","-0,179","0,021","-0,690","-0,004","-0,274","0,137","-0,144","-0,015","-0,011","0,052","-0,054","0,082","0,180","0,011","-0,080","-0,122","0,261","0,048"
98,"0,220","-0,062","-0,156","-0,200","-0,006","-0,684","-0,039","-0,248","0,126","-0,196","0,007","-0,003","0,021","-0,103","0,076","0,174","-0,011","-0,078","-0,177","0,243","0,061"
99,"0,224","-0,033","-0,160","-0,219","0,026","-0,678","-0,084","-0,278","0,111","-0,181","-0,043","0,005","-0,013","-0,070","0,071","0,112","-0,013","-0,076","-0,207","0,306","0,076"
100,"0,218","0,031","-0,159","-0,197","0,055","-0,670","-0,127","-0,268","0,099","-0,152","-0,106","0,009","-0,029","-0,079","0,067","0,073","-0,023","-0,074","-0,202","0,303","0,084"
101,"0,221","0,045","-0,150","-0,230","0,057","-0,662","-0,102","-0,204","0,089","-0,218","-0,114","0,003","-0,039","-0,119","0,066","0,141","-0,036","-0,073","-0,232","0,266","0,087"
102,"0,209","0,026","-0,135","-0,265","0,070","-0,657","-0,103","-0,156","0,081","-0,286","-0,135","-0,007","-0,097","-0,117","0,065","0,175","-0,040","-0,073","-0,240","0,251","0,092"
103,"0,203","0,021","-0,125","-0,295","0,095","-0,651","-0,122","-0,138","0,076","-0,346","-0,181","-0,015","-0,113","-0,137","0,061","0,232","-0,017","-0,072","-0,258","0,244","0,096"
104,"0,217","-0,027","-0,118","-0,325","0,076","-0,649","-0,153","-0,174","0,078","-0,391","-0,130","-0,023","-0,107","-0,138","0,057","0,236","0,029","-0,068","-0,329","0,228","0,096"
105,"0,199","-0,020","-0,114","-0,307","0,047","-0,646","-0,158","-0,148","0,089","-0,398","-0,076","-0,026","-0,149","-0,117","0,056","0,212","-0,016","-0,067","-0,288","0,187","0,084"
106,"0,165","-0,011","-0,109","-0,319","0,014","-0,645","-0,137","-0,086","0,095","-0,430","-0,018","-0,029","-0,133","-0,174","0,055","0,227","-0,027","-0,069","-0,305","0,118","0,077"
107,"0,172","-0,058","-0,110","-0,327","0,049","-0,643","-0,110","-0,075","0,101","-0,413","-0,036","-0,026","-0,072","-0,139","0,051","0,184","0,027","-0,070","-0,314","0,118","0,074"
108,"0,229","-0,091","-0,118","-0,326","0,013","-0,642","-0,071","-0,090","0,108","-0,381","0,014","-0,014","-0,056","-0,187","0,047","0,226","0,018","-0,073","-0,306","0,115","0,070"
109,"0,217","-0,070","-0,133","-0,292","-0,005","-0,640","-0,055","-0,123","0,116","-0,324","0,013","-0,002","0,005","-0,203","0,042","0,199","-0,016","-0,068","-0,290","0,127","0,067"
110,"0,215","-0,060","-0,143","-0,323","-0,005","-0,636","-0,056","-0,119","0,119","-0,324","0,012","0,007","0,004","-0,246","0,036","0,188","0,008","-0,063","-0,351","0,147","0,065"
111,"0,231","-0,017","-0,139","-0,290","0,013","-0,634","-0,072","-0,127","0,116","-0,264","-0,017","0,007","0,014","-0,263","0,033","0,190","0,007","-0,066","-0,311","0,199","0,069"
112,"0,243","0,051","-0,130","-0,252","0,019","-0,631","-0,082","-0,129","0,112","-0,217","-0,054","0,009","0,013","-0,263","0,030","0,192","0,004","-0,073","-0,273","0,241","0,074"
113,"0,245","0,063","-0,115","-0,274","0,043","-0,628","-0,038","-0,143","0,114","-0,213","-0,064","0,005","0,063","-0,254","0,022","0,155","-0,054","-0,082","-0,271","0,253","0,077"
114,"0,238","0,052","-0,105","-0,240","0,048","-0,625","-0,036","-0,148","0,117","-0,155","-0,055","0,001","0,021","-0,246","0,014","0,105","-0,029","-0,086","-0,221","0,234","0,079"
115,"0,279","0,018","-0,095","-0,206","0,059","-0,623","-0,052","-0,138","0,120","-0,117","-0,029","-0,003","0,029","-0,209","0,008","0,134","-0,069","-0,091","-0,180","0,212","0,081"
116,"0,279","-0,027","-0,081","-0,192","0,030","-0,622","-0,095","-0,096","0,120","-0,132","0,021","-0,012","-0,034","-0,198","0,006","0,188","-0,073","-0,095","-0,177","0,149","0,084"
117,"0,285","-0,018","-0,077","-0,177","0,001","-0,619","-0,031","-0,109","0,123","-0,138","0,018","-0,012","0,005","-0,152","0,000","0,247","-0,035","-0,098","-0,132","0,123","0,083"
118,"0,216","-0,012","-0,077","-0,142","0,004","-0,616","0,039","-0,108","0,123","-0,140","0,019","-0,009","0,013","-0,133","-0,003","0,229","-0,078","-0,099","-0,064","0,124","0,082"
119,"0,210","-0,003","-0,073","-0,121","0,029","-0,613","0,035","-0,128","0,118","-0,159","-0,014","-0,005","-0,016","-0,157","-0,002","0,228","-0,072","-0,104","-0,016","0,159","0,082"
120,"0,254","0,003","-0,071","-0,155","0,036","-0,610","0,035","-0,158","0,112","-0,174","-0,048","0,003","-0,075","-0,132","-0,005","0,270","-0,021","-0,113","-0,025","0,181","0,088"
121,"0,309","-0,025","-0,074","-0,162","0,070","-0,607","-0,028","-0,156","0,111","-0,157","-0,065","0,014","-0,072","-0,139","-0,014","0,303","0,027","-0,118","-0,067","0,202","0,093"
122,"0,310","-0,038","-0,078","-0,178","0,039","-0,604","-0,018","-0,127","0,116","-0,144","-0,041","0,023","-0,062","-0,165","-0,026","0,259","0,017","-0,122","-0,112","0,149","0,098"
123,"0,264","0,019","-0,077","-0,195","0,010","-0,601","-0,021","-0,118","0,121","-0,190","-0,040","0,029","0,000","-0,167","-0,035","0,276","-0,003","-0,126","-0,165","0,135","0,099"
124,"0,235","0,081","-0,070","-0,226","0,019","-0,598","-0,020","-0,136","0,125","-0,228","-0,083","0,029","0,017","-0,134","-0,042","0,245","-0,063","-0,132","-0,231","0,158","0,098"
125,"0,222","0,082","-0,060","-0,241","-0,013","-0,595","-0,036","-0,116","0,125","-0,258","-0,085","0,026","0,037","-0,130","-0,047","0,216","-0,014","-0,136","-0,284","0,138","0,100"
126,"0,150","0,074","-0,047","-0,205","-0,011","-0,591","-0,074","-0,078","0,115","-0,262","-0,080","0,016","0,016","-0,186","-0,048","0,211","-0,033","-0,138","-0,289","0,137","0,108"
