Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,990","-0,142","0,018","0,000","0,994","0,100","0,043","0,000","0,994","-0,100","0,039","0,000","0,838","0,536","-0,101","0,000","0,888","0,456","0,058","0,000","0,879","0,447","-0,166","0,000","0,819","0,563","0,110","0,000"
1,"0,989","-0,143","0,018","0,000","0,994","0,100","0,043","0,000","0,994","-0,103","0,041","0,000","0,838","0,537","-0,101","0,000","0,889","0,454","0,058","0,000","0,879","0,448","-0,164","0,000","0,819","0,563","0,111","0,000"
2,"0,989","-0,143","0,018","0,000","0,994","0,100","0,043","0,000","0,994","-0,103","0,041","0,000","0,838","0,537","-0,101","0,000","0,889","0,454","0,058","0,000","0,879","0,448","-0,164","0,000","0,819","0,563","0,111","0,000"
3,"0,990","-0,143","0,018","0,000","0,994","0,101","0,043","0,000","0,994","-0,100","0,041","0,000","0,838","0,537","-0,102","0,000","0,889","0,454","0,057","0,000","0,879","0,448","-0,164","0,000","0,819","0,563","0,111","0,000"
4,"0,990","-0,143","0,018","0,000","0,994","0,101","0,043","0,000","0,994","-0,100","0,042","0,000","0,837","0,537","-0,101","0,000","0,889","0,454","0,057","0,000","0,879","0,447","-0,165","0,000","0,819","0,563","0,111","0,000"
5,"0,990","-0,142","0,018","0,000","0,994","0,101","0,043","0,000","0,994","-0,098","0,041","0,000","0,837","0,537","-0,102","0,000","0,889","0,454","0,056","0,000","0,879","0,447","-0,165","0,000","0,819","0,563","0,111","0,000"
6,"0,990","-0,142","0,018","0,000","0,994","0,101","0,043","0,000","0,994","-0,098","0,041","0,000","0,837","0,537","-0,102","0,000","0,889","0,454","0,057","0,000","0,879","0,447","-0,165","0,000","0,819","0,563","0,111","0,000"
7,"0,990","-0,142","0,018","0,000","0,994","0,101","0,043","0,000","0,994","-0,098","0,041","0,000","0,838","0,537","-0,102","0,000","0,889","0,454","0,056","0,000","0,880","0,446","-0,165","0,000","0,819","0,563","0,111","0,000"
8,"0,990","-0,142","0,018","0,000","0,994","0,101","0,043","0,000","0,994","-0,098","0,041","0,000","0,838","0,537","-0,101","0,000","0,889","0,454","0,056","0,000","0,879","0,447","-0,164","0,000","0,819","0,563","0,111","0,000"
9,"0,990","-0,142","0,018","0,000","0,994","0,101","0,043","0,000","0,994","-0,098","0,041","0,000","0,838","0,537","-0,102","0,000","0,889","0,455","0,056","0,000","0,880","0,447","-0,164","0,000","0,819","0,564","0,109","0,000"
