Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
389,"0,073","0,153","0,159","-0,127","0,057","-0,206","0,038","-0,036","-0,301","0,224","-0,205","0,000","-0,081","0,006","0,019","-0,019","-0,113","0,053","0,312","-0,119","-0,225"
390,"0,137","0,135","0,104","-0,003","0,127","-0,162","0,063","0,140","-0,025","0,156","0,262","0,087","0,040","0,013","0,007","-0,020","0,005","0,122","0,265","-0,180","-0,060"
391,"0,011","0,094","0,173","-0,061","0,079","-0,088","-0,043","0,056","0,187","-0,151","0,289","0,126","0,038","0,097","0,027","0,128","-0,029","0,020","0,078","-0,122","0,537"
392,"-0,045","0,134","0,094","-0,061","0,139","-0,099","0,018","0,055","0,182","-0,138","0,195","-0,170","0,149","0,123","-0,069","-0,027","-0,079","0,103","0,137","-0,068","0,506"
393,"0,022","0,099","-0,019","-0,061","0,079","-0,088","0,013","0,044","0,122","-0,070","0,054","-0,297","0,047","-0,039","0,039","0,040","-0,121","0,068","-0,039","-0,173","-0,031"
394,"-0,086","0,027","-0,259","0,058","-0,113","-0,121","-0,058","0,022","0,007","-0,252","-0,084","-0,299","-0,002","-0,146","0,108","0,099","-0,129","0,083","-0,046","-0,085","-0,136"
395,"-0,026","-0,031","-0,238","0,183","0,017","-0,087","-0,139","-0,083","-0,215","-0,148","0,124","0,079","0,100","-0,100","-0,071","0,076","-0,146","0,164","-0,029","-0,012","0,031"
396,"-0,037","-0,094","-0,028","0,119","-0,054","-0,134","-0,200","0,098","-0,244","0,032","0,155","0,140","0,094","-0,048","-0,103","0,010","-0,221","0,131","0,023","0,130","-0,103"
397,"-0,056","0,129","0,286","-0,003","-0,053","-0,129","-0,180","0,083","0,006","0,276","-0,170","0,192","-0,014","-0,042","0,045","0,009","-0,104","0,200","0,141","-0,010","-0,122"
398,"0,018","0,058","0,057","0,058","-0,053","-0,131","-0,189","-0,060","-0,091","0,708","-0,226","0,104","-0,025","-0,139","-0,110","0,017","-0,138","0,149","0,553","-0,013","-0,297"
399,"0,139","0,001","0,081","0,005","0,220","0,007","-0,180","0,023","0,017","0,269","0,109","0,316","0,047","-0,039","0,039","0,025","-0,171","0,099","0,298","0,000","-0,410"
400,"0,204","-0,017","0,027","0,124","0,208","-0,057","-0,190","0,000","-0,102","0,023","0,136","0,359","-0,084","-0,026","-0,032","0,018","-0,255","0,080","0,134","0,022","-0,202"
401,"0,075","0,018","0,136","0,068","0,290","0,054","-0,195","0,049","-0,173","-0,274","0,046","0,186","0,035","0,180","0,046","0,049","-0,272","-0,051","0,068","-0,057","-0,227"
402,"0,078","0,000","0,078","0,012","0,312","0,177","-0,174","-0,026","0,088","-0,387","0,063","-0,038","0,050","-0,007","0,090","-0,076","-0,222","-0,031","0,273","0,092","-0,046"
403,"0,085","-0,094","-0,021","0,070","0,241","0,125","-0,165","0,057","0,196","-0,389","0,092","0,015","0,155","0,071","-0,038","-0,026","-0,197","0,034","-0,072","0,063","0,204"
404,"0,098","-0,165","-0,254","0,136","0,082","0,275","-0,098","-0,052","0,274","0,239","-0,057","-0,361","-0,021","-0,107","-0,058","0,092","-0,213","0,064","-0,218","0,080","-0,056"
405,"0,096","-0,031","-0,231","0,073","0,132","0,207","-0,118","-0,097","0,035","-0,058","-0,283","-0,528","-0,014","-0,042","0,045","0,069","0,097","0,074","-0,169","0,029","-0,173"
406,"0,075","0,018","0,136","0,197","0,082","0,273","-0,062","-0,169","-0,018","0,053","-0,218","-0,280","0,062","-0,110","0,154","-0,027","-0,079","0,103","0,060","0,164","0,279"
407,"-0,013","0,160","0,598","0,014","0,083","0,280","-0,067","-0,181","-0,078","0,100","-0,123","0,018","0,037","-0,020","-0,045","0,047","-0,037","0,087","0,139","0,180","0,464"
408,"-0,070","0,201","0,519","0,138","0,093","0,335","-0,095","0,199","0,288","0,074","0,119","0,581","-0,017","0,042","0,065","0,062","0,013","0,055","0,269","0,034","0,582"
409,"0,011","0,094","0,173","0,248","0,038","0,031","-0,150","0,031","0,387","-0,060","0,319","0,812","-0,027","-0,055","-0,090","0,141","-0,070","0,198","0,387","-0,105","0,564"
410,"0,213","-0,129","-0,130","0,494","0,047","0,081","-0,083","-0,018","0,453","-0,049","0,201","0,599","0,044","0,045","0,058","0,099","-0,129","0,083","0,126","-0,116","0,395"
411,"0,089","-0,053","-0,097","0,555","0,167","0,057","-0,032","-0,101","0,340","0,082","0,030","0,421","0,039","-0,103","-0,065","-0,003","-0,180","-0,047","0,033","-0,069","0,050"
412,"-0,158","-0,037","-0,052","0,190","0,229","0,060","0,003","-0,039","0,014","0,025","0,107","0,306","0,174","-0,084","0,058","0,282","-0,187","0,076","-0,022","-0,044","0,111"
413,"-0,159","-0,095","-0,035","0,068","0,050","0,098","-0,062","-0,229","-0,007","0,205","0,138","0,367","0,049","-0,123","0,019","-0,151","-0,147","0,055","-0,363","-0,015","-0,267"
414,"0,024","-0,094","-0,024","0,009","0,241","0,127","-0,123","-0,169","-0,013","0,138","0,143","0,501","0,107","-0,036","0,032","0,011","-0,013","-0,009","-0,355","-0,102","-0,162"
415,"0,206","-0,093","-0,014","0,136","0,142","0,264","-0,129","-0,060","-0,096","-0,161","0,082","0,381","-0,084","-0,026","-0,032","-0,085","-0,071","0,089","0,099","0,009","0,075"
416,"0,196","-0,040","0,161","0,136","0,142","0,264","0,054","-0,062","-0,111","0,144","-0,052","0,400","-0,093","0,109","-0,044","-0,092","-0,155","0,070","0,128","-0,002","-0,257"
417,"0,243","-0,026","0,415","0,077","0,154","0,327","0,003","0,021","0,002","0,147","-0,082","0,346","0,053","-0,091","0,070","-0,129","-0,013","0,043","0,311","-0,063","-0,250"
418,"0,187","0,072","0,318","0,014","0,263","0,247","0,023","-0,053","0,264","-0,022","-0,314","0,048","-0,017","0,042","0,065","0,055","-0,071","0,037","0,258","-0,015","0,471"
419,"0,252","0,113","0,245","0,321","0,392","0,274","0,074","-0,077","0,140","0,102","-0,206","-0,006","0,101","0,016","0,000","-0,004","-0,063","0,022","0,393","-0,081","0,619"
