Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"-0,004","-0,003","1,028","0,001","-0,003","0,983","0,004","-0,004","1,002","-0,004","0,000","0,891","-0,003","0,002","0,950","0,001","0,002","0,958","-0,001","-0,002","0,956"
1,"0,002","-0,003","1,019","0,001","0,003","0,987","0,002","-0,010","1,004","-0,004","0,000","0,886","0,000","-0,003","0,942","-0,002","0,003","0,957","0,000","-0,002","0,948"
2,"-0,003","0,004","1,026","0,001","-0,001","0,986","0,001","0,006","0,998","-0,002","0,001","0,891","-0,001","-0,005","0,946","-0,003","0,001","0,960","-0,002","-0,006","0,947"
3,"-0,006","-0,004","1,026","-0,002","-0,002","0,989","-0,001","0,000","1,003","0,002","0,000","0,890","-0,001","0,003","0,949","0,000","0,002","0,960","-0,003","0,000","0,947"
4,"-0,003","0,001","1,024","0,000","-0,001","0,984","-0,001","-0,003","0,997","-0,005","0,003","0,892","0,002","-0,004","0,945","-0,001","-0,003","0,953","0,000","-0,002","0,948"
5,"-0,003","-0,002","1,023","0,001","-0,001","0,985","0,002","0,002","1,001","-0,002","0,002","0,889","0,000","-0,002","0,945","-0,001","0,000","0,959","-0,005","0,002","0,951"
6,"-0,004","0,003","1,022","0,000","0,004","0,989","0,001","0,000","1,004","-0,003","0,000","0,894","-0,002","0,000","0,946","-0,001","-0,002","0,960","0,001","-0,001","0,948"
7,"-0,006","-0,008","1,026","0,000","-0,001","0,988","0,001","0,004","0,999","-0,007","-0,003","0,885","0,001","0,003","0,945","-0,003","0,002","0,960","0,000","0,001","0,955"
8,"-0,006","0,000","1,026","0,003","-0,004","0,985","0,001","0,010","1,004","-0,005","0,002","0,895","0,003","-0,001","0,950","-0,003","0,003","0,953","0,000","-0,002","0,949"
9,"-0,004","-0,001","1,021","0,001","-0,006","0,986","-0,002","-0,002","1,010","-0,003","-0,004","0,888","0,001","0,002","0,943","-0,003","-0,001","0,956","0,003","0,003","0,950"
