Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"-11,330","-2,189","-0,224","12,964","-2,938","0,334","-14,295","-4,059","0,500","-16,847","3,981","1,507","71,780","2,620","0,857","78,128","12,034","-7,567","-13,761","4,543","0,716"
1,"-10,956","-2,186","-0,236","13,072","-2,937","0,337","-14,175","-4,341","0,517","-16,784","3,980","1,506","71,912","2,557","1,044","78,559","12,032","-7,569","-13,705","5,027","0,835"
2,"-10,952","-2,186","-0,236","13,072","-2,937","0,337","-14,175","-4,147","0,538","-16,784","3,980","1,506","71,899","2,536","1,188","78,479","11,946","-7,507","-13,705","5,027","0,835"
3,"-11,266","-2,080","-0,208","13,072","-2,937","0,337","-14,297","-4,000","0,543","-16,739","3,982","1,504","71,882","2,482","1,180","78,170","11,994","-7,462","-13,690","4,833","0,788"
4,"-11,223","-2,189","-0,228","13,072","-2,937","0,337","-14,297","-4,000","0,543","-16,777","3,982","1,506","71,842","2,550","1,141","78,203","12,063","-7,574","-13,690","4,833","0,788"
5,"-11,262","-2,189","-0,226","13,047","-2,904","0,332","-14,427","-4,070","0,542","-16,763","3,950","1,491","71,639","2,539","1,047","78,209","12,049","-7,578","-13,657","4,800","0,783"
6,"-11,194","-2,188","-0,228","13,069","-2,906","0,333","-14,218","-4,067","0,521","-16,740","3,952","1,491","71,846","2,573","1,037","78,276","12,049","-7,578","-13,634","4,798","0,783"
7,"-11,023","-2,189","-0,230","13,056","-2,906","0,333","-14,231","-3,907","0,519","-16,582","3,957","1,482","71,866","2,541","1,051","78,276","12,049","-7,578","-13,638","4,636","0,744"
8,"-10,980","-2,151","-0,229","13,069","-2,934","0,336","-14,221","-3,908","0,518","-16,582","3,944","1,483","71,857","2,572","1,035","78,289","12,065","-7,583","-13,636","4,613","0,736"
9,"-11,043","-2,152","-0,228","13,060","-2,904","0,332","-14,224","-3,835","0,518","-16,591","3,916","1,471","71,853","2,542","1,053","78,257","12,106","-7,611","-13,635","4,570","0,729"
10,"-10,758","-2,140","-0,225","13,266","-2,641","0,269","-14,735","-4,196","0,514","-16,239","3,416","1,162","71,456","2,769","0,622","78,650","12,136","-7,682","-13,739","4,907","0,887"
11,"-10,760","-1,931","-0,147","13,138","-2,949","0,342","-14,238","-4,170","0,457","-16,678","3,616","1,292","71,852","2,535","1,067","78,695","11,963","-7,379","-13,609","4,814","0,839"
12,"-10,593","-1,543","-0,006","13,007","-2,645","0,271","-14,756","-4,238","0,518","-16,503","3,267","1,072","71,303","2,366","1,284","78,504","11,977","-7,395","-13,978","5,309","1,066"
13,"-10,803","-1,715","-0,049","13,237","-2,896","0,330","-14,239","-4,307","0,432","-16,212","3,791","1,341","71,814","2,556","1,032","78,450","11,932","-7,321","-13,468","4,928","0,894"
14,"-11,176","-2,239","-0,207","12,914","-2,977","0,348","-14,159","-3,738","0,542","-16,699","4,117","1,547","71,937","2,444","1,250","78,022","11,986","-7,411","-13,586","4,625","0,735"
15,"-10,681","-2,642","-0,357","13,213","-2,823","0,312","-14,366","-4,289","0,446","-16,195","4,213","1,574","71,774","2,710","0,772","78,288","11,894","-7,262","-13,533","4,962","0,913"
16,"-11,264","-2,437","-0,282","13,407","-3,094","0,377","-14,697","-3,991","0,548","-16,325","4,429","1,714","71,360","2,538","1,011","78,061","11,972","-7,384","-13,319","4,405","0,650"
17,"-10,773","-2,044","-0,174","13,162","-2,863","0,324","-14,779","-3,829","0,580","-16,287","4,081","1,527","71,803","2,512","1,117","78,465","11,942","-7,347","-13,877","4,706","0,783"
18,"-10,951","-2,145","-0,211","13,458","-2,700","0,286","-14,815","-3,868","0,564","-16,210","3,731","1,337","71,221","2,513","1,043","78,321","12,073","-7,582","-13,294","4,912","0,931"
19,"-10,753","-1,529","-0,008","13,153","-2,828","0,320","-14,250","-4,174","0,419","-16,398","3,561","1,264","71,331","2,487","1,089","78,456","12,059","-7,574","-13,297","4,880","0,921"
20,"-10,987","-1,583","-0,024","13,451","-2,669","0,286","-13,896","-3,857","0,437","-16,264","3,173","1,043","71,928","2,499","1,130","78,345","12,067","-7,592","-12,982","4,716","0,864"
21,"-10,469","-1,956","-0,151","13,129","-2,603","0,273","-14,503","-3,818","0,518","-16,317","3,254","1,089","71,608","2,704","0,735","78,818","12,066","-7,610","-13,590","4,658","0,811"
22,"-11,056","-2,009","-0,161","13,370","-2,363","0,221","-14,235","-3,352","0,586","-16,364","2,956","0,920","71,978","2,485","1,152","78,349","12,033","-7,528","-13,393","4,571","0,775"
23,"-11,003","-2,038","-0,166","13,628","-2,582","0,278","-14,199","-3,614","0,531","-16,282","3,406","1,168","71,519","2,669","0,776","78,634","12,063","-7,583","-12,821","4,433","0,726"
24,"-10,709","-2,086","-0,182","13,296","-2,598","0,288","-13,982","-3,856","0,460","-16,531","3,697","1,345","71,868","2,473","1,133","78,565","12,006","-7,480","-13,275","4,706","0,832"
25,"-10,286","-2,470","-0,322","13,096","-2,864","0,357","-13,871","-4,236","0,361","-16,455","4,017","1,525","72,097","2,711","0,746","78,953","12,065","-7,593","-13,672","4,701","0,807"
26,"-10,910","-2,324","-0,259","13,010","-3,184","0,439","-14,518","-4,325","0,419","-16,874","4,269","1,708","72,029","2,710","0,735","78,534","12,162","-7,748","-14,068","4,435","0,651"
27,"-10,998","-2,478","-0,322","13,082","-2,852","0,367","-14,561","-4,441","0,392","-16,558","4,159","1,646","72,074","2,735","0,690","78,443","12,095","-7,629","-14,318","4,669","0,763"
28,"-10,872","-2,235","-0,264","13,134","-3,180","0,449","-14,579","-4,024","0,484","-16,228","4,493","1,836","72,029","2,540","1,010","77,987","12,027","-7,485","-14,007","4,177","0,527"
29,"-10,375","-2,136","-0,263","12,899","-2,939","0,398","-14,392","-3,535","0,560","-16,242","4,053","1,612","71,690","2,426","1,155","78,554","12,178","-7,757","-13,974","4,247","0,574"
30,"-10,426","-2,114","-0,270","12,934","-2,940","0,402","-14,419","-3,544","0,561","-16,227","4,017","1,613","71,675","2,423","1,138","78,510","12,172","-7,745","-13,937","4,266","0,593"
31,"-10,471","-2,107","-0,280","12,969","-2,937","0,405","-14,410","-3,589","0,550","-16,216","3,982","1,610","71,716","2,443","1,093","78,496","12,171","-7,740","-13,919","4,289","0,612"
32,"-10,526","-2,072","-0,272","13,003","-2,938","0,409","-14,425","-3,592","0,541","-16,205","3,954","1,601","71,661","2,424","1,113","78,437","12,162","-7,718","-13,872","4,304","0,632"
33,"-10,477","-2,030","-0,262","13,031","-2,926","0,409","-14,427","-3,584","0,540","-16,148","3,929","1,588","71,657","2,422","1,112","78,426","12,142","-7,680","-13,836","4,337","0,653"
34,"-10,526","-2,073","-0,278","13,060","-2,934","0,414","-14,410","-3,557","0,549","-16,150","3,952","1,606","71,632","2,415","1,107","78,390","12,144","-7,681","-13,777","4,335","0,654"
35,"-10,568","-2,046","-0,277","13,092","-2,928","0,415","-14,387","-3,593","0,546","-16,153","3,951","1,611","71,640","2,408","1,099","78,362","12,116","-7,620","-13,717","4,346","0,661"
36,"-10,599","-2,097","-0,302","13,065","-2,952","0,424","-14,368","-3,581","0,550","-16,197","3,994","1,643","71,640","2,404","1,098","78,321","12,135","-7,640","-13,726","4,346","0,656"
37,"-10,610","-2,094","-0,310","13,043","-2,927","0,422","-14,381","-3,641","0,538","-16,234","3,939","1,621","71,621","2,437","1,043","78,315","12,143","-7,642","-13,753","4,398","0,677"
38,"-10,596","-2,069","-0,303","13,049","-2,962","0,434","-14,413","-3,661","0,532","-16,246","3,939","1,626","71,614","2,438","1,040","78,322","12,137","-7,632","-13,750","4,394","0,677"
39,"-10,634","-2,071","-0,302","13,018","-2,976","0,440","-14,412","-3,654","0,528","-16,301","3,925","1,620","71,619","2,424","1,056","78,310","12,139","-7,631","-13,764","4,398","0,686"
