Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1216,"-0,122","-0,929","0,600","-0,050","-0,139","1,004","-0,077","-0,063","1,000","0,001","0,389","0,926","0,077","0,015","0,930","-0,384","-0,917","0,137","-0,059","-0,083","1,021"
1217,"-0,124","-0,923","0,605","-0,054","-0,143","1,000","-0,040","-0,053","0,998","0,010","0,392","0,922","0,091","0,028","0,926","-0,389","-0,918","0,147","-0,040","-0,077","1,018"
1218,"-0,125","-0,928","0,600","-0,054","-0,140","1,005","-0,045","-0,064","1,005","0,020","0,395","0,921","0,080","0,024","0,932","-0,400","-0,932","0,141","-0,030","-0,069","1,018"
1219,"-0,124","-0,926","0,601","-0,058","-0,134","1,000","-0,063","-0,082","1,018","0,028","0,388","0,916","0,090","0,029","0,926","-0,412","-0,931","0,135","-0,018","-0,066","1,024"
1220,"-0,120","-0,924","0,598","-0,067","-0,137","1,002","-0,012","-0,089","1,003","0,026","0,382","0,915","0,121","0,036","0,912","-0,434","-0,923","0,120","-0,003","-0,073","1,017"
1221,"-0,122","-0,926","0,597","-0,084","-0,131","1,004","0,035","-0,123","1,019","0,023","0,389","0,904","0,143","0,030","0,911","-0,437","-0,926","0,121","0,017","-0,057","1,028"
1222,"-0,117","-0,918","0,591","-0,094","-0,125","0,998","0,073","-0,061","1,019","0,022","0,389","0,900","0,106","0,021","0,942","-0,429","-0,928","0,120","0,043","-0,050","1,043"
1223,"-0,115","-0,919","0,586","-0,102","-0,121","1,002","-0,039","-0,037","1,032","0,029","0,387","0,893","0,024","0,000","0,968","-0,417","-0,927","0,119","0,071","-0,055","1,043"
1224,"-0,106","-0,915","0,584","-0,110","-0,113","1,005","-0,154","-0,017","1,016","0,033","0,391","0,876","0,027","0,005","0,973","-0,404","-0,926","0,118","0,057","-0,074","1,014"
1225,"-0,106","-0,919","0,590","-0,121","-0,116","1,005","-0,208","-0,040","0,994","0,040","0,390","0,876","0,005","-0,014","0,970","-0,410","-0,929","0,110","-0,039","-0,085","0,997"
1226,"-0,099","-0,923","0,594","-0,118","-0,109","1,004","-0,210","-0,041","0,983","0,048","0,388","0,882","-0,028","-0,027","0,961","-0,416","-0,928","0,120","-0,156","-0,089","1,002"
1227,"-0,095","-0,929","0,595","-0,114","-0,105","1,004","-0,191","-0,045","0,977","0,058","0,389","0,893","-0,041","-0,034","0,950","-0,424","-0,931","0,118","-0,201","-0,105","1,009"
